Protein.ID	protein_ZT0	protein_ZT4	protein_ZT8	protein_ZT12	protein_ZT16	protein_ZT20	protein_ZT24	protein_ZT28	protein_ZT32	protein_ZT36	protein_ZT40	protein_ZT44	protein_ZT48	protein_ZT52	protein_ZT56	protein_ZT60	protein_ZT64	protein_ZT68	protein_ZT72	protein_ZT76	protein_ZT80	protein_ZT84	protein_ZT88	protein_ZT92	protein_ZT96	protein_ZT100	protein_ZT104	protein_ZT108	protein_ZT112	protein_ZT116	protein_mean.level	protein_max.level	protein_rhythm.pvalue	Entry	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
OT_ostta01g01030	686462.7465	561192.0045	674963.2893	697376.565	736270.2292	747631.571	649268.1934	582456.9458	577373.7256	709046.9371	741188.419	824966.5989	635983.6282	442125.0339	633221.167	593205.475	753000.1141	694061.0802	747626.6236	554121.7874	540412.6852	735216.9014	780742.1081	834015.1295	686034.0552	582368.6811	712605.6018	665663.2286	576402.1767	747281.0597	670076.1254	834015.1295	8.11975677461061e-07	A0A090LXA9	527	21.78	24.18
OT_ostta01g01210	11289.16093	22399.30138	10969.24046	14395.59698	10131.51462	10167.68644	24772.91224	6190.309352	10297.56634	2415.022932	13589.12889	6417.62827	14322.17246	21421.56118	10621.71796	18104.56182	14134.98917	9279.774631	17991.19592	38406.8155	14773.74013	14628.0215	5723.104967	7911.453426	18052.94833	33430.67717	8665.31572	34812.20848	28096.10586	33361.23084	16225.7554632667	38406.8155	0.419283810085139	Q01GW3	162	21.58	22.4
OT_ostta01g01290	260583.5375	292435.3234	469621.3862	306746.9901	296948.907	272252.0333	229476.31	428080.5704	407061.9209	335238.329	295548.4613	362200.9286	179205.1948	328066.3564	351586.313	247626.2764	216625.4962	243012.3584	223495.669	314553.5348	302671.6971	258969.7714	381361.192	355334.4348	214171.8122	287212.3771	300298.3522	226631.4997	180915.9378	224362.8728	293076.528126667	469621.3862	0.0817949672857818	A0A090LXD4	309	21.49	23.19
OT_ostta01g01500	19354686.33	19068831.71	24361191.61	22448889.27	23707949.35	21780483.68	19209765.81	23883898.04	20772807.3	25401627.79	22593769.11	25959471.64	15998742.01	22342865	21015784.39	24980019.42	21752420.22	19764037.76	16125765.7	18705585.8	19520667.53	21163263.71	25261918.49	23474798.74	19644826.48	20925040.24	21094023.45	18770772.65	19172633.56	19711754.77	21265609.7186667	25959471.64	0.027316611845266	A0A090N2P0	477	22.23	24.83
OT_ostta01g01510	781571.053	569919.583	751879.9465	622670.4015	584968.4273	652859.6357	730296.3434	613873.0474	662531.1122	769849.8249	830402.9336	582782.97	635921.9483	346829.9278	696798.1526	478784.1094	555854.8195	651335.914	543544.6511	615132.9946	567440.8396	796995.9973	671912.0448	687547.0208	648121.8094	752648.9152	668659.541	628433.7539	596123.1828	571305.5598	642233.215346667	830402.9336	0.869046186935047	Q01GS9	246	24.29	26.77
OT_ostta01g01550	511113.797	445737.6591	497990.3166	421330.1293	491116.8862	515927.7681	460101.5453	458116.8934	374773.9585	517503.8914	514242.7462	539590.888	385986.0671	518952.5692	410908.6661	593573.4816	479824.6152	525067.7129	371915.4552	430020.2282	379840.0937	548159.4633	667246.8323	569730.0566	473779.1041	543480.4811	363726.8136	421614.1778	440811.9122	393148.8922	475511.103383333	667246.8323	0.161026671457336	A0A090LXP3	334	20.17	22.63
OT_ostta01g01560	66632805.02	55256243.18	78567167.47	73559295.8	72834640.3	67070837.07	57931074.7	62203547.4	61937765.88	70796058.92	68187352.74	76581010.91	48023550.45	56596818.69	65990913.43	74016116.76	62738616.5	60693935.77	46222651.87	53122167.41	57519673.04	62455873.98	76344401.08	65330377.37	53687585.98	59019280.9	67178792	54513916.33	55530808.36	62388097.68	63097712.5663333	78567167.47	0.00818908027057764	A0A090M213	407	21.82	24.76
OT_ostta01g01600	174099.6815	246280.8744	161039.2119	157154.0727	188325.6523	160446.7777	238080.8694	210263.1683	173793.0053	170850.3594	152928.0395	164578.7695	198734.0153	160972.7758	181988.4494	142953.4414	234367.0153	156425.5703	239788.5162	291557.4142	161039.4063	180094.9522	171097.4407	231709.8312	158945.9984	344055.3924	168186.9058	151333.7457	154235.4814	223203.5086	191617.678083333	344055.3924	0.0760143345564396	A0A090LXG1	680	20.15	22.69
OT_ostta01g01720	75509.82964	54933.51531	63358.51717	83448.93974	71525.41428	83617.8139	64947.19166	55844.60706	93884.1021	93194.68652	83112.01503	78250.48728	47244.44406	61432.92514	67746.12544	81021.20838	58724.91065	64049.651	40309.65704	68694.55681	66604.22746	56959.98411	71772.43698	61327.20934	61203.66038	55923.94396	62866.74285	52954.19645	71143.65552	48125.6212	66657.7425486667	93884.1021	0.0469215824209074	A0A090M3K2	1184	23.59	25.5
OT_ostta01g01830	1081051.278	992299.4113	1040852.974	1099067.99	1170187.328	1212152.174	1065535.299	1074116.052	1009983.189	1169000.32	1045983.715	1207012.387	843880.8896	1112725.045	981622.2763	1097467.658	982031.0513	998148.0947	902919.1411	944184.0265	874940.4371	1162322.692	1254864.091	1119085.769	1012411.81	1015332.13	973441.8333	855553.2496	954920.866	987421.6712	1041350.49496667	1254864.091	0.170767749279661	A0A090M234	1694	23.43	25.89
OT_ostta01g01960	9633.976281	8776.799502	6905.488593	7375.2713	9209.577988	5108.02227	13101.54188	1944.632519	6153.144829	6191.454121	7235.894712	6820.109215	16600.86118	11428.0826	6813.122646	8190.584723	6966.154022	8211.481433	9247.904827	8201.380808	10774.69905	3082.933161	8729.389282	12495.9061	10753.45298	14840.27007	6342.748236	11188.00172	7135.714991	17904.51035	8912.10371296667	17904.51035	0.061068955845851	A0A090LXS2	465	21.28	22.64
OT_ostta01g01980	1322072.128	1189892	1640403.047	1733700.508	1506492.715	1364247.537	1167950.015	1554093.5	1373731.597	1608213.696	1387690.566	1607820.695	820551.5554	1180061.055	1386625.613	1805265.06	1265183.115	1182537.345	799007.4301	965841.3703	1235248.162	1262445.565	1742697.312	1605884.708	1106903.625	1343044.142	1509913.014	989727.7129	1119113.356	1199556.536	1332530.48935667	1805265.06	0.0292836996637471	A0A090N2P7	414	22.45	24.51
OT_ostta01g02210	3567145.723	3197420.466	3901739.798	3927486.117	4176856.069	3800394.716	3384546.334	3796649.695	3065289.086	4149373.953	3713904.482	4267514.105	3165657.17	3728875.73	3222370.707	4170398.099	3630719.338	3620330.306	3008126.993	3022897.348	3096743.681	3888464.805	4452230.817	3937877.568	3478952.543	3195739.096	3303625.493	3196854.46	3132794.838	3438813.253	3587993.09296667	4452230.817	0.0110445404607598	A0A090LXT7	444	23.25	25.55
OT_ostta01g02220	3575303.253	3800707.301	4650221.07	4223162.204	4865427.253	3079195.569	4307551.732	4773492.092	2998127.011	3792990.364	4120989.334	5380306.18	3495200.558	2934440.38	3221106.786	3669925.046	3053233.638	2707453.809	2451662.409	2451684.588	2819800.93	3437533.459	3838691.715	3473012.782	3033070.608	2901702.961	3152667.702	2673783.718	2588572.95	2680037.957	3471701.8453	5380306.18	0.742641804451046	Q01GL3	282	21.14	23.74
OT_ostta01g02390	2637782.172	2479227.133	3562221.278	2572049.71	2745662.039	2301045.748	2149850.669	2969715.269	2586878.682	3064580.865	2307602.42	2427062.709	2163994.974	2625244.483	3079583.062	2891954.275	2416341.796	2197208.553	2443960.176	2650404.703	2989591.434	2439636.828	2885192.97	2393677.598	2564207.748	2486253.073	3302345.605	2808890.96	2459444.357	2381639.153	2632775.01473333	3562221.278	6.88764897011025e-07	A0A090M3P0	385	22.19	24.05
OT_ostta01g02400	143845.5626	203876.142	146410.3813	152019.0588	163338.3302	147131.9798	203082.4391	248745.8066	165957.1063	140599.5497	147638.3053	123295.304	203766.9679	294830.5516	185590.3593	203190.0274	209986.9736	155105.3485	195679.347	244376.9636	200423.965	199461.7075	166489.058	207661.0165	189062.9229	451236.0117	149091.9819	286722.6571	212571.2247	286513.8016	200923.361716667	451236.0117	0.429972497876935	A0A090LXM3	130	25.04	27.62
OT_ostta01g02440	270692.8423	251715.6455	247949.6651	246531.8172	279678.7192	293755.1811	346825.7109	285753.9246	262829.418	277334.133	306408.0811	293889.1833	188937.0116	201473.4306	289397.8308	332116.3632	233682.3409	269107.5663	180262.7891	178230.6252	224383.5698	252602.0849	298100.7525	273189.2861	259730.2245	229436.8457	251928.3607	163186.4438	219478.85	215691.6804	254143.345913333	346825.7109	0.373295378724313	Q01GJ2	1014	22.96	24.85
OT_ostta01g02480	3751540.975	3637162.048	4184193.249	3834451.075	3880576.715	4057148.017	3908136.08	3657474.283	3673489.947	4167073.067	3917638.339	4751059.949	2912327.701	4273456.017	3463279.502	4517302.964	3497346.72	3534526.531	3022235.745	3407782.866	3284697.239	3333308.564	4433675.243	3402968.467	3775313.073	3844442.519	3855679.36	3393280.863	3499898.647	2992741.109	3728806.8958	4751059.949	0.616320843744384	A0A090LXV8	367	22.43	24.7
OT_ostta01g02490	139988.9307	94400.16002	138700.1202	143373.3248	164958.5366	109628.3459	179685.2964	187488.1772	126537.0773	158719.1142	122252.9298	118793.5455	124447.369	151294.5188	113017.4581	142496.0315	189916.1201	108703.584	104973.9412	134204.899	122963.4694	143343.102	123085.319	142552.4264	153832.4315	230462.6649	164152.1612	187251.1277	140123.3418	267020.6678	147612.206400667	267020.6678	0.711593823520438	A0A090M278	936	23.22	25.52
OT_ostta01g02510	252708.3526	244017.2064	252544.3858	203908.5022	243353.8752	243656.9344	308167.7923	282518.6916	198403.2822	202339.2968	244196.747	250767.2343	257061.1677	325441.8425	188877.4001	228217.893	223295.554	225321.6982	188371.1551	252766.8188	166131.1742	238149.6246	237235.8163	282177.4632	214911.5484	221770.5429	213854.2142	220954.1001	199098.9265	221158.6589	234379.263316667	325441.8425	0.0915988239410059	Q01GI6	372	22.66	24.88
OT_ostta01g02760	1176279.437	854712.1538	853209.2667	514051.9683	839150.863	1060591.174	1069330.582	825111.65	677124.0741	1163633.111	707158.6158	1158761.409	952017.1337	1005696.854	821255.5535	510445.8781	866989.1873	987577.5587	1148903.703	844341.6803	598134.7366	1251038.78	924978.1928	1215700.208	1067757.473	192043.5277	663335.4379	1181704.333	823868.1876	751895.7162	890226.61487	1251038.78	6.51606121569257e-07	A0A090M3R4	1406	20.98	22.38
OT_ostta01g02780	517056.2627	457096.1508	503113.4149	470951.5625	575796.4374	487418.3645	578293.4364	565991.9688	435868.4101	550537.3082	465600.5374	512222.3106	439485.5082	299638.7366	484335.5575	363340.7404	483706.8503	433819.4311	420761.4707	461780.6037	418747.9128	542038.516	567594.7807	669652.1428	513632.8491	522463.6041	427375.3407	431468.0671	429136.8989	418267.259	481573.081133333	669652.1428	0.527815462174109	Q01GF4	768	22.33	24.28
OT_ostta01g02920	82549.57307	112271.3856	72577.36754	66823.19162	81275.55242	75974.98075	103403.2517	48904.55487	89016.42326	67068.36093	88666.58135	73699.5865	107240.3644	72184.49815	84598.82496	86437.13917	124649.2422	75515.62389	61603.3661	114779.188	77421.72956	56912.23545	82280.70968	116535.0421	101605.4446	119085.059	65300.79122	82988.31849	59544.3988	76446.84406	84245.3209813333	124649.2422	0.211461410497921	A0A090M2A2	189	24.04	26.04
OT_ostta01g02970	267137.4738	203218.3884	223297.9541	182682.5396	272428.3381	227099.6901	252204.7114	257909.7946	204703.965	280734.8359	241347.4187	269266.6398	192263.5874	2810.315336	246524.4912	36846.88261	127113.151	135136.0828	178445.3237	190325.8538	191995.5714	286816.7939	106732.4609	210087.6565	221068.3853	160030.8454	206767.4204	210694.3878	190616.8391	75308.91481	195053.890428533	286816.7939	0.873401584481916	A0A090LXY4	183	20.94	22.36
OT_ostta01g03030	2455755.646	2314471.712	3409894.248	3803333.35	3431195.548	3382379.167	2182017.208	3053494.53	3268135.876	4143173.426	3261096.559	3632961.706	2220068.322	2662510.876	3017618.469	4122257.29	3132863.718	2964443.45	2131175.667	2689239.601	2981183.378	3233703.438	3850628.893	3391368.081	2506498.77	2961559.371	3300074.551	2648388.529	2898654.728	2883380.273	3064450.87936667	4143173.426	6.41882110237909e-07	A0A090M2B2	1103	22.48	24.82
OT_ostta01g03040	70007352.55	67537679.9	91451981.57	73937695.34	75352512.85	70186897.68	68000234.1	82891552.57	78320192.41	79916198.07	67928098.39	78256591.37	65714228.15	83078229.29	76189652.84	84020846.03	69270711.37	66992629.86	64791832.03	74809385.86	68350043.54	75825086.3	80105942.02	74318642.86	68445856.08	64445602.26	74656299.52	70929429.99	63923293.66	61122924.39	73025920.7616667	91451981.57	0.0459941301585454	Q01GD0	382	22.39	24.85
OT_ostta01g03070	91970.49664	111395.3361	107082.1978	86682.67047	108316.2044	79930.25458	111440.2205	133478.5204	107106.5232	141557.8379	81856.5685	109085.4048	102840.0497	45889.906	94281.46975	17536.0672	90150.72976	101383.3887	95823.93234	138988.0191	100117.7092	128686.8635	99991.65102	111048.1164	114648.498	121429.4431	89999.31244	125961.3418	91286.16221	102472.1311	101414.567553667	141557.8379	0.372965997374981	A0A090N2R1	349	22.84	24.82
OT_ostta01g03140	547411.6385	427708.5037	424614.4021	461489.0373	462129.7019	508886.0519	498445.3716	454024.6945	462191.4858	627230.282	498978.0612	508697.3151	370179.7454	308491.8284	515784.2573	333806.7872	458601.1016	447882.6289	467650.3557	437190.7601	385782.4821	506571.5615	610498.7391	503624.1194	490451.5973	378446.8987	454985.2066	449442.8962	440113.6264	435095.9663	462546.90346	627230.282	0.212493516692375	A0A090N2R2	123	22.78	24.03
OT_ostta01g03150	1925415.915	2248629.749	2746002.908	2138770.794	2541403.525	2172270.246	2130357.019	2440237.797	2155890.502	2191902.617	2121370.024	2309447.346	1925337.104	2612757.028	2335514.734	2616224.862	2133760.003	2161652.512	1709981.31	2358949.901	2447053.85	2278636.014	2989558.125	2320834.172	2266040.341	2911004.158	2447730.103	1990666.969	2050147.671	2241408.537	2297298.52786667	2989558.125	0.267543410322623	Q01GC1	152	23.77	26.16
OT_ostta01g03190	1532254.759	1530006.172	2059841.086	1846579.098	1454056.536	1545324.593	1132098.906	1242008.255	1900266.112	1847723.652	2165262.54	1538398.924	1292926.211	1535495.565	1899607.047	1846812.706	1786405.754	1545934.335	1147719.95	2199832.467	2108309.459	1622706.98	2105651.016	1515999.877	1346452.14	2300340.823	1956673.741	1439195.59	1736584.86	1741704.665	1697405.79396667	2300340.823	0.0162023041053039	A0A090LXS9	166	21.82	23.83
OT_ostta01g03210	596663.9605	516923.2254	680533.758	496997.9669	657110.0495	660391.2263	548152.2249	675779.9736	496790.1977	710081.5229	578330.4313	764867.9471	495223.1737	549821.9206	491575.3777	672185.5178	515786.6105	541649.5955	366595.6609	468760.7025	505589.1184	570755.395	775495.3661	667765.7607	561031.6398	561962.3274	586922.5945	426713.7778	517033.8629	511598.5339	572302.98066	775495.3661	0.362617439383146	Q01GB6	141	23.62	26.28
OT_ostta01g03280	11430333.47	11744536.51	13765404.68	12181129.98	12123683.37	11885418.25	11987413.95	12119031.09	11768944.26	12403231.38	10987727.21	12500958.84	10653370.1	10704884.72	12565408.28	11526828.53	11591175.73	10984615.51	10864375.84	12427843.56	11523381.65	12138915.93	12604011.44	12670706.24	11645122.14	12197117.78	12447804.77	10400724.65	10556324.11	11501237.53	11796722.05	13765404.68	0.412473471265522	A0A090N2R3	2119	22.73	25
OT_ostta01g03310	74387.53534	52651.7313	90104.32371	53593.18278	79279.02183	67341.55203	70545.2216	70075.43306	60919.97224	67064.74506	70823.75659	72527.87276	68153.51724	3610.570609	49708.25021	4353.678224	56946.10411	78318.34411	95869.14076	72103.06302	66577.70965	68507.92561	57312.26256	90540.51957	53518.74402	50280.49198	52287.25149	57192.81974	62361.35924	49026.30733	62199.4135924333	95869.14076	0.292409079691592	A0A090LY06	561	21.93	23.95
OT_ostta01g03420	5427419.897	5724170.256	5106882.147	5404215.4	6152526.376	6338323.396	5736860.14	6300517.534	5666076.648	6028606.244	5601969.916	6357284.926	6043286.758	6742371.097	5977598.113	5115003.619	6393346.871	6481741.805	5707350.443	5726975.615	5171109.411	5840584.773	5723093.625	6826741.363	5545339.837	3679962.177	5199959.768	5555460.587	4906297.128	5035359.569	5717214.51463333	6826741.363	0.210769882972818	A0A090M3V7	763	23.02	26.37
OT_ostta01g03450	5847073.766	6053679.383	7660543.214	7455307.407	8133715.383	6800569.065	6453018.307	7928960.474	7606173.974	8934900.87	7002690.017	7856121.26	5274918.331	4888050.065	7053833.815	6332391.889	6034265.505	5708226.206	5064706.045	6567336.605	6662553.069	7259261.924	7383030.948	7674748.797	5978022.36	6033387.615	7065140.668	5891712.784	6125222.542	5389218.436	6670626.02413333	8934900.87	0.0398303214622956	A0A090LY18	252	23.35	25.25
OT_ostta01g03540	605724.5118	673881.5786	905320.4805	765828.6952	793148.1653	722657.4209	810942.0674	616283.1445	761230.8037	710039.4246	859591.8871	1090362.565	938359.5273	639088.1175	503652.2854	604614.9712	794206.7928	799644.9859	1154524.84	861475.8247	714196.4354	633797.5267	605506.7536	1430801.672	766372.4351	905789.3534	540398.5232	650616.0946	728606.9063	430849.4567	767250.441546667	1430801.672	0.128265031863221	A0A090M2E8	261	21.44	24.03
OT_ostta01g03600	57068.40957	52791.06306	48625.41168	61534.03665	73169.09956	70108.5742	47754.4147	56828.67241	54966.78355	56292.14592	41184.56561	51908.27498	53253.52122	92807.01522	51129.58678	81470.25031	68752.12651	63079.41494	59334.16973	41857.0496	58415.92825	46138.29974	70383.08251	66037.253	54027.64694	56134.85297	51814.6166	49732.47095	60527.79028	70796.64123	58930.772289	92807.01522	0.0114750793850562	A0A090N2R8	587	23.04	25.21
OT_ostta01g03760	1759465.985	1446955.101	2027354.804	1849924.307	1849314.105	1764411.046	1640784.514	1717343.5	1604369.685	2018824.863	1824772.749	2075012.158	1404504.783	1468998.556	1544383.274	2008345.39	1787407.539	1596458.204	1594388.825	1402576.679	1581000.632	1789562.939	2209080.848	2027215.849	1760063.132	1905101.9	1984114.377	1389565.756	1442953.27	1494474.455	1732290.97416667	2209080.848	0.149834927718679	A0A090LXX0	806	22.26	24.42
OT_ostta01g03770	2171387.637	1804248.687	2290652.905	2118873.548	2213294.083	2218929.982	1761241.979	2054815.914	1885202.521	2093933.937	1989228.022	2693780.147	1528757.854	1982958.142	1748214.808	2112391.401	1983386.341	1993625.457	1525020.067	1612094.859	1606049.547	1937830.057	2534509.592	2330331.275	2144327.558	1723222.185	1976544.799	1574028.253	1552099.757	2184002.473	1978166.12623333	2693780.147	0.087570907983701	A0A090LY52	315	21.45	23.77
OT_ostta01g03910	5353206.817	3881993.844	6198143.058	5335707.258	5996314.55	5961829.55	5435937.373	3938790.36	4340059.343	5486995.587	5503685.664	6714545.807	5719776.352	4278716.54	4708206.683	4939643.415	5792135.13	5637017.718	5000258.596	5788944.979	3704422.038	6928364.505	5097114.66	5188578.682	4881131.421	5188095.613	4858659.53	4921891.683	3792736.635	6572621.81	5238184.17336667	6928364.505	0.0206957850193435	A0A090M449	149	21.61	23.87
OT_ostta01g04150	217663.0353	230752.7243	289882.0471	201547.5978	199975.2382	172512.8957	183246.2397	315828.5702	169253.663	201327.8819	208449.814	195184.1934	195210.9887	252671.592	191678.1987	226408.6635	167334.1109	158966.4494	230238.7657	242377.5934	216471.6921	211934.5432	207429.8856	228876.4144	214036.3445	367057.7551	214268.4246	210421.2145	193948.9455	230188.3509	218171.46111	367057.7551	0.0407147542450274	A0A090N2S7	480	23.18	25.57
OT_ostta01g04240	446608.7217	431202.0814	507916.678	492864.97	484881.1964	515583.885	499797.0426	524598.3625	525915.9621	468308.2748	535834.872	568738.9558	524620.4308	599535.3438	426506.4667	570610.6195	641991.2277	473297.1666	530641.1899	475546.8437	493331.7729	505219.6714	540882.1159	524154.2085	520093.2103	757402.0548	458733.5327	550669.0703	501158.2449	608158.955	523493.43759	757402.0548	0.170200479907536	Q01G16	230	22.55	24.82
OT_ostta01g04340	246299.2168	240671.664	261208.9272	204278.7182	270873.8839	242248.4417	256630.7979	308400.2174	235577.6204	278655.6882	227474.8952	238918.5081	245692.0959	155012.1265	254050.3061	166220.1121	171700.0935	292852.3096	180898.6872	246899.7753	220232.3646	316383.1795	244350.4842	265975.5408	218711.6713	193053.0461	216747.4264	217671.8172	211473.9382	110729.5783	231329.77106	316383.1795	0.912300177850599	A0A090N2T0	814	22.87	25.05
