ID	ZT20	ZT24	ZT28	ZT32	ZT36	ZT40	ZT44	ZT48	ZT52	ZT56	ZT60	ZT64	ZT68	ZT72
Khsrp	2.244741	2.063511	2.18095	2.153891	2.23214	2.266827	2.298355	2.021511	1.95784	2.303209	2.293859	2.380211	2.240721	2.00359
Cox6b1	3.138191	3.53248	3.305349	3.643711	3.70562	3.530487	3.230936	2.951841	3.30102	3.645599	3.593748	3.527109	3.217051	2.888359
Cntnap1	2.356112	2.07299	1.95174	2.14974	2.46921	2.494877	2.316605	1.90447	2.307009	2.21727	2.595579	2.329231	2.317659	1.9753
Taf15	0.8949013	1.450701	1.42877	1.569851	0.9225388	0.7361755	1.273945	1.35103	1.259199	1.691339	1.266039	0.7824898	0.85145	1.22518
Epdr1	0.2363701	-0.3389893	-0.4523602	-0.2035999	0.4349289	0.3087254	0.3136845	-0.4728489	-0.05816078	0.1735382	0.5893288	0.3123512	0.2989807	-0.1732197
Emc7	-0.02680016	-0.7294598	-0.7499008	-1.1992	-0.4807205	-0.4500351	-0.2817059	-0.7070389	-0.8724499	-1.353701	-0.6212502	-0.08375931	0.1370907	-1.096121
Ndufs7	2.117001	1.666821	1.484829	1.86351	2.15539	2.264366	2.463243	1.604681	1.685789	1.958448	2.499838	2.06646	2.849562	1.49085
Sirpa	4.54908	3.99222	4.189558	4.27914	4.468239	4.294426	4.564054	4.102739	4.12438	4.25658	4.353388	4.395521	4.448	4.09586
Rab3d	2.589939	2.27602	2.76338	1.80611	1.28187	1.979607	2.609995	2.68223	2.0576	2.0301	1.601139	1.64257	3.009111	2.427559
Hagh	1.939611	1.824121	2.15473	1.915291	2.29917	2.521297	2.087444	1.906471	1.964249	2.075609	2.527109	2.34148	2.24827	2.17137
Pa2g4	1.11607	1.146582	1.24185	1.045431	1.454569	1.554535	1.567934	1.22147	1.17264	1.025518	1.5411	1.4601	1.57745	1.269091
Ptcd3	-1.905319	-2.23275	-2.601669	-2.490089	-1.758581	-1.912094	-2.098076	-2.46126	-2.366661	-2.28726	-2.21398	-2.120409	-1.888281	-2.26615
Emd	-0.6588993	-1.05509	-0.8063011	-1.34234	-0.581171	-0.2315235	-0.3453465	-0.9281902	-1.1224	-1.202911	-0.5273895	-0.5992203	-0.739851	-0.86936
Otub1	3.600479	3.856451	3.759649	3.714569	3.41177	3.296726	3.478155	3.725672	3.936647	3.754589	3.534819	3.614012	3.62314	3.99839
Dync1i2	1.71771	1.545961	1.6495	1.77841	2.110189	2.230927	1.486824	1.635141	1.77599	1.81395	1.85594	2.166901	1.49016	1.650829
Atad1	0.7564316	0.8037815	0.8339291	1.077351	0.5492287	0.3515949	0.913084	0.7863712	0.8793297	0.8703785	0.6561794	0.5325909	0.7516308	0.9703789
Golga7	-2.48251	NA	-2.232071	-1.678099	-1.826561	-1.983055	-2.312996	-2.39978	NA	-1.920111	-1.7798	-2.055269	-1.976471	NA
Nebl	2.14023	2.116282	2.22353	2.48233	2.425949	2.372686	1.985044	2.007021	2.027039	2.532558	2.355391	2.169941	2.23135	1.89533
Rnh1	0.3539314	0.5522709	0.30826	0.08498001	0.3918495	0.4033451	0.4704151	0.6649113	0.4146099	0.4352093	0.1744289	0.2149315	0.7184696	0.5192089
Kifap3	-0.8340988	-0.76441	-0.8273907	-0.9570904	-0.9385109	-1.285725	-0.7760448	-0.4122791	-0.8664398	-1.036331	-1.065731	-1.18372	-0.3523998	-0.5861397
Pnpo	-0.8948193	-0.06778908	-0.1210899	-0.4219303	-0.6926098	-0.4896641	-0.5779362	-0.3086891	0.1219196	-0.2478409	-0.9804401	-0.6312695	-0.4229698	-0.4027596
Tbc1d10b	0.8930302	0.49646	0.3533306	0.6506901	0.952919	0.9729748	0.8191452	0.4474602	0.5713501	0.6887398	0.9134998	0.8805714	0.82201	0.9965496
Fxr2	-1.464989	-1.679579	-1.421301	-1.133509	-1.37915	-1.615734	-1.379166	-1.705629	-1.40658	-1.24402	-1.103849	-1.329559	-1.50931	-1.63061
Psmb7	1.285021	1.289162	1.290279	1.50581	1.54855	1.751705	1.328114	1.40069	1.243198	1.63522	1.579411	1.559601	1.53443	1.475439
H2afy	2.4939	2.48444	2.38719	2.362841	2.800758	2.827087	2.584486	2.216921	2.685099	2.400549	2.843931	2.763079	2.57876	2.397709
Tmem222	-1.876219	-2.966169	NA	-2.17168	-1.655561	-1.733765	-2.204985	-3.06547	-2.372011	-2.445511	-1.349661	-2.085089	-2.25268	NA
Ccdc132	0.9197311	1.08156	1.18095	0.9588795	0.7099991	0.7126465	0.8615341	1.189671	1.251379	1.119808	0.9577999	0.8068905	1.177599	1.117769
Huwe1	0.9913902	1.32999	1.465679	1.40571	1.147209	1.062366	1.330254	1.24596	1.376678	1.4739	0.9353294	1.16239	1.323799	1.280279
Cd81	-1.022829	0.1974716	0.06092072	0.18083	-0.4878597	-0.6749535	-1.558306	0.2926407	0.8126984	0.001749039	-0.7910099	-0.5145588	-0.9641495	0.6058598
Oxr1	4.091751	4.11849	4.230871	4.35495	4.197941	4.034916	4.003653	4.180841	4.25733	4.326878	4.310019	4.074381	3.90344	4.293148
Vps45	0.9997616	1.295761	1.40893	0.8374901	1.066719	1.026285	1.102615	1.324532	1.156059	0.9826298	0.8515205	0.8857498	1.06111	1.14234
Usp9x	2.576111	2.61566	2.554491	2.608059	2.60318	2.657425	2.659395	2.558462	2.54001	2.526119	2.578291	2.71821	2.651499	2.568501
Mrps35	-1.80838	-2.462879	-2.56546	-2.715549	-2.431921	-2.418795	-1.977386	-2.059139	-2.94696	-2.575331	-2.235441	-2.199589	-2.07189	-2.006071
Prkcb	3.403461	3.37179	3.422331	3.10659	3.722691	3.699715	3.426146	3.268682	3.446871	3.264599	3.884829	3.626291	3.28639	3.286129
Erh	0.8012104	0.8336506	0.640749	0.6914501	1.10656	1.514996	0.7559643	0.7082615	0.5095901	0.6252384	1.35343	1.067711	1.314051	0.8808994
Ppp1cb	0.8444309	0.4247208	0.2616405	0.3906898	0.98629	0.838665	0.5107346	0.2878208	0.49786	0.09158897	1.22617	0.7594414	0.4048195	0.03192902
Aldh1l1	3.49789	3.224142	3.26322	3.19109	3.33149	3.367027	3.446634	3.138182	3.2941	3.218109	3.457949	3.44755	3.417429	3.156219
Spryd4	-1.643259	-2.14221	-2.14056	-3.612249	-1.76222	-1.716755	-1.464785	-2.22999	-2.62977	-3.414351	-2.79365	-1.77721	-2.034081	-2.53513
Srm	0.79245	0.6076317	0.1356392	0.4024696	1.00511	0.545435	0.7542152	0.4511604	0.5577297	0.3787994	0.7414494	0.7645206	0.9898796	0.3477001
Ptges2	0.2237606	-0.2119999	0.08267975	0.01266098	0.3911991	0.3083248	0.008255005	-0.3650799	0.03802872	-0.05309105	0.4808598	0.2163696	0.1808491	-0.1630611
Gpm6b	3.742722	3.573961	3.715929	3.831619	3.757969	3.883625	3.687174	3.667791	3.158609	3.96682	3.9671	3.915251	3.707258	3.701031
Elp3	-1.244389	-1.973749	-1.386431	-2.04406	-1.03512	-1.064085	-1.131386	-2.01586	-1.484451	-1.57937	-0.8601303	-0.9665794	-0.9390392	-2.1185
Acsbg1	2.569611	2.230581	2.403481	2.422491	2.645409	2.475307	2.741804	2.228691	2.367569	2.340858	2.836691	2.66173	2.788118	2.3678
Elmo2	0.3957806	0.07525063	0.005050659	0.1911011	0.3756504	0.3340855	0.1025143	0.1925907	0.1590099	0.1887398	0.4377499	0.2824898	0.3944702	0.03207016
Syt3	-0.4740086	-0.3401489	-0.6311398	-0.6541195	-1.002331	-0.5146751	-0.3044853	-0.4600201	-0.202961	-0.4922009	-0.8041	-0.5043392	-0.4310207	-0.3393612
Micu1	-0.4296894	-0.6431198	-0.3750496	-0.54986	0.02858925	-0.2302246	-0.2056961	-0.6550694	-0.4041805	-0.4042416	-0.2076397	-0.4391003	-0.3160706	-0.6479111
Cntfr	1.091501	0.7594013	0.8853207	0.7478504	1.30617	1.280876	1.011234	1.190491	0.9430084	0.7092896	1.17524	1.363161	0.9600906	0.5814495
Thrap3	0.7121315	0.8636513	0.9602089	0.9295006	1.09981	0.9340763	0.8619442	0.9092197	1.054449	1.04497	1.005039	0.92239	0.6234207	0.9744091
Dync1li2	1.74892	1.787451	1.851561	2.035261	1.68619	1.683496	1.695114	1.947271	1.989229	1.85944	1.967381	1.840021	1.689011	1.783699
Ndufa7	2.499352	1.81171	1.942039	2.01524	2.7127	2.580475	2.587076	2.1222	2.03257	2.305948	2.7278	2.1763	2.622049	2.15546
Acp6	-1.390949	-0.5646286	-0.4607811	-1.39123	-1.132261	-1.558674	-1.216776	-0.6045399	-0.4149799	-1.559441	-1.474279	-2.252609	-1.38018	-0.7449799
Msi2	-1.099569	-1.364429	-2.20013	-1.07604	-0.8894806	-1.186974	-1.085646	-1.391088	-1.82407	-1.62117	-0.9080105	-1.167849	-1.1572	-1.310961
Stam	1.345221	1.027241	0.95154	0.9323997	1.31074	1.465986	1.327234	1.26177	1.125809	0.7809696	1.551029	1.30097	1.417	1.170099
Shank1	2.014172	1.754002	1.97958	2.025421	2.26701	2.144655	2.311995	1.92383	1.89522	2.07057	2.25666	2.1028	2.17454	1.851509
Csk	-2.60578	-3.20768	-3.428471	-3.14901	-2.5313	-3.139345	-2.683075	NA	-3.061371	-3.191181	-2.71945	-2.48044	-3.033569	-3.40539
Cenpv	1.132801	0.8229408	1.040051	0.9619102	1.56744	1.016615	1.199234	0.7648907	0.7463799	0.9269485	1.387209	0.9879799	0.9476204	0.5639896
Fam114a2	-0.583189	-0.6321697	-0.4774208	-0.6043091	-0.9484406	-0.5885334	-0.625185	-0.3911896	-0.5968304	-0.8039112	-1.073181	-1.088949	-0.6852093	-0.6130695
Strbp	-1.51379	-1.604078	-1.67676	-2.10367	-2.05938	-2.322054	-1.879585	-1.680038	-1.747042	-2.112631	-2.66847	-1.744839	-1.647739	-1.511789
Pde10a	1.78006	1.688292	1.437029	1.439081	1.824789	1.735285	1.722195	1.681551	1.7157	1.41939	1.73477	1.709511	1.835871	1.77527
Vps52	0.8887711	1.126341	1.226521	1.22999	0.9692497	0.661026	0.9942341	1.270891	1.25696	1.053808	0.8513088	0.7347698	0.9668999	1.05719
Zfyve1	-1.003769	-1.484009	-1.685659	-1.822359	-1.105391	-1.068504	-1.360695	-1.63588	-1.5905	-2.30685	-1.18928	-1.240479	-1.1161	-1.692249
Eif2b2	-1.403259	-1.7859	-1.823471	-1.146049	-1.161781	-1.338665	-1.276386	-1.35821	-1.610682	-1.10601	-1.393311	-1.194389	-1.44005	-1.76162
Faah	-0.6540089	-1.032579	-1.018539	-0.9000092	-0.4679813	-0.07709503	-0.5211658	-0.6289902	-0.7329311	-1.039461	0.03927994	-0.1263599	-0.2258301	-0.8738995
Isca1;AK157302	-0.6461601	-0.9583302	-1.02548	-0.8163204	-0.7686005	-0.5736942	-0.5097351	-0.8292694	-1.00428	-1.081421	-0.9987411	-0.5982304	-0.5966797	-0.9086494
Lxn	0.1202106	0.5488911	0.7752304	0.2467403	0.2584496	-0.2566643	0.3381748	0.7755604	0.6058884	0.3231297	0.1999187	-0.362009	-0.1516399	0.5286789
Sdha	4.668381	4.363562	4.430391	4.358761	4.555458	4.566784	4.612394	4.17555	4.463648	4.448208	4.595438	4.668169	4.748491	4.373981
Dctn1	3.721191	3.87446	4.0264	3.716461	3.75288	3.653336	3.684153	3.838411	3.811121	3.774239	3.6863	3.616541	3.83259	3.759041
Psmd11	2.4963	2.462622	2.68825	2.61227	2.27327	2.231916	2.407145	2.651892	2.427729	2.47859	2.444519	2.197771	2.454821	2.499149
Hsd17b12	0.7455406	0.8481998	0.8941898	0.8388805	1.102209	1.197546	0.7033844	0.6515903	0.6805496	0.8394794	1.13916	1.017521	0.9516907	0.8185692
Smarce1	-1.84013	-1.709808	-1.377331	-1.356449	-2.209301	-2.432613	-2.023315	-1.87063	-1.773401	-1.628111	-2.04611	-2.230289	-2.09985	-1.87175
Cmtm4	-1.498999	-1.091549	NA	-0.563879	-1.00157	-1.250954	-1.570295	-1.194359	-1.074831	-0.6312103	-0.9079704	-1.08795	-1.11112	-1.00989
Ppp1r9a	2.663811	2.701479	2.70574	2.6628	2.698139	2.753956	2.743525	2.620729	2.624079	2.70219	2.823309	2.82353	2.635538	2.596081
Ube2l3	2.468151	2.25605	2.24552	2.381151	2.904781	2.708717	2.505564	2.12426	2.410479	2.213169	2.391819	2.693411	2.35405	2.28841
Slc25a20	0.06907082	-0.1985798	-0.4127808	-0.14748	-1.07708	-1.213854	-0.04169464	-0.02508926	-0.2449398	-0.09658051	-0.5992413	-0.6932201	-0.2166405	0.1269398
Etf1	0.2392807	-0.2505188	-0.1960602	-0.08884048	0.2045002	0.2484665	0.151844	0.1056309	-0.1664715	-0.12043	0.28475	0.2555904	0.2355404	-0.04017067
Rpl31	1.80126	2.133251	2.04019	1.99337	2.49007	2.257647	1.878094	1.79899	1.863869	2.16086	2.279459	2.125351	1.97772	2.03467
Abhd10	-1.10895	-0.8321285	-1.17865	-1.533289	-1.41795	-0.994175	-0.9939957	-1.053019	-0.8429699	-1.312851	-1.52482	-1.419199	-1.24708	-0.9490299
Iqgap1	-1.484869	-0.8326683	-0.6826305	-1.13146	-1.427801	-1.463375	-1.143286	-1.270329	-1.112701	-1.099621	-1.22328	-1.54966	-1.496799	-1.22287
Ndufb7	1.237371	1.32049	1.110559	1.3652	1.4715	1.349957	1.504814	1.093081	1.40354	1.284189	1.75363	1.387991	1.333479	1.249859
Eif2s2	0.64641	0.573391	0.4121304	0.8529606	0.707449	0.7300453	0.4151154	0.3657398	0.6658287	0.719759	0.7238998	0.9173298	0.5005093	0.4712601
Faim2	-0.6656895	-0.9599495	-1.260321	-1.400089	-0.5163002	-0.9870033	-0.8594856	-1.409409	-1.112061	-1.1485	-0.4372997	-0.4072495	-1.32777	-1.121019
Sf3a1	0.2718716	0.07485008	0.367239	0.4260406	0.24049	0.4664555	0.07582474	0.2760201	0.1786098	0.4078693	0.4191093	0.3045006	0.2225895	0.03184891
Itsn1	2.56456	2.38335	2.372971	2.303431	2.41367	2.581715	2.478045	2.242121	2.08334	2.237759	2.481989	2.469221	2.67425	2.1719
Lpgat1	-0.7339993	-1.447128	-0.9916	-0.8674488	-0.4264107	-0.6010838	-0.7661552	-1.25342	-0.77141	-1.10297	-0.4264908	-0.6310387	-0.5216408	-1.25807
Nubpl	-2.1243	-3.76272	-3.51786	-4.7938	-2.172211	-1.856005	-1.790865	-2.568899	-2.144461	-3.3948	-3.89056	-2.256899	-2.20981	-2.14171
Aldh3a2	0.3852901	0.2687016	0.4778595	-0.08073044	0.2248001	-0.1999245	0.2801838	0.3943501	0.4564285	-0.002960205	-0.006450653	0.3653297	0.5113106	0.4453907
Cldn11	4.3815	4.501642	4.496031	5.532021	5.197338	5.010315	4.626253	4.67222	4.40003	5.33493	5.477148	4.952272	4.33164	4.451778
Dr1	NA	-2.19429	-1.898281	-2.374449	-2.80287	-3.467443	NA	-2.172539	-2.592281	-2.237391	NA	-3.37244	NA	-2.51573
Plaa	0.6999912	0.7777214	0.8900204	0.8787613	1.086679	1.091486	1.000164	0.7811413	0.7950191	1.00181	0.9401798	0.9432812	0.8059406	0.8701591
Shank2	2.167542	1.992142	2.12175	2.03414	2.09693	2.266056	2.144005	2.079031	1.921309	1.957668	2.240231	2.102671	2.047461	1.98905
Apoa1bp	1.71648	1.671902	1.557381	1.975821	2.242079	2.152126	1.925804	1.422621	2.18375	1.69216	2.3435	2.264471	1.45401	1.762899
Cuedc2	-1.903399	-1.793659	-2.51808	-2.374739	-2.41297	-2.476543	-1.574646	-1.99432	-2.558901	-2.20643	-2.17486	-2.61833	-1.953529	-1.90909
Ddah2	-0.2777901	-0.4292183	-0.1698303	-0.2609901	0.2226601	-0.1032543	-0.3118858	-0.8006001	-0.8625412	-0.3222618	-0.2634907	-0.1863403	-0.3439198	-0.6158295
Hook3	0.9690914	0.9037609	1.03978	0.9731102	0.7769089	0.6001759	0.858675	0.9632416	0.83815	1.067259	0.6023598	0.8161812	1.05859	1.074869
Oat	2.005941	1.855421	1.951149	1.799011	2.15119	2.272665	2.107044	2.037771	1.878778	1.894539	2.359339	2.05022	2.00016	1.777161
Ppm1f	0.9349613	1.01741	0.7812901	0.8942013	0.8543091	0.8314056	0.7455139	1.00066	1.262899	0.9814796	0.7406788	0.7775803	0.7182503	1.251949
Acsl3	0.06157112	-0.1633587	-0.1892605	0.09276962	0.4849701	0.2393665	0.3178043	-0.1201401	0.211359	0.04459953	0.4288006	0.09885025	0.06078911	-0.09713936
Atp5c1	1.05039	-0.1077595	-0.09535027	-0.1050396	-0.62673	0.9987659	0.5576553	-0.153429	-0.09537125	0.01573944	0.7269306	0.6265812	0.6396008	-0.3312702
Chgb	0.2364101	0.2817001	0.2403603	0.41366	0.6393299	0.6879349	0.1386147	0.3149605	-0.2878513	0.831789	0.7010994	0.6172104	0.3418598	0.358139
Tmed9	-1.96356	-1.115549	-0.7029209	NA	-2.120251	NA	-2.387665	-1.027899	-1.35532	-1.28298	-3.015251	-1.82852	-1.74542	-1.328661
Glg1	-0.4701595	-0.3922787	-0.3166809	0.01340103	-0.6055698	-0.8715038	-0.5103951	-0.1136894	-0.2585411	-0.4039402	-0.2317696	-0.7836494	-0.4728909	-0.2237511
Cops7b	-0.6893787	-0.3509293	-0.3630295	-0.5431805	-0.8708801	-1.410254	-0.5168648	-0.8906898	-0.2713413	-1.04681	-1.498911	-0.6323795	-0.3062992	-0.4815903
Gcdh	-0.8310299	-0.7482185	-1.147911	-0.7301598	-0.85079	-0.397625	-0.5990963	-0.7969685	-0.7813206	-0.5490818	-0.6041508	-0.3417397	-0.4857693	-0.9566994
Pde2a	2.989799	2.97296	2.984079	3.172272	3.244389	3.236027	3.040514	3.068892	3.03948	3.074379	3.329668	3.33639	3.11294	3.07983
Slc38a3	0.6192112	0.2821712	0.3103504	0.05998993	0.923069	0.6303864	0.9693851	0.5788498	0.2260685	0.306139	0.5056801	0.8909111	1.10726	0.7568092
Eif2b3	-2.202559	-1.846659	-1.537399	-1.735569	-2.62706	-2.280455	-2.164085	-2.03903	-1.099171	-0.7828217	-2.24122	-2.729719	-1.67281	-2.354
Chchd6	1.85379	2.438961	2.33979	2.525711	2.15303	2.122425	2.245335	2.360161	2.545778	2.522869	2.164749	2.177671	2.28451	2.555439
Gabbr2	1.193871	1.054701	1.19849	1.350571	1.288549	1.315496	1.125874	1.176451	1.04014	1.484089	1.2572	1.25736	1.222559	1.030119
Atxn2l	0.5533905	0.3296814	0.3862591	0.447691	0.6276798	0.5456848	0.4061947	0.02655029	0.4122486	0.5460796	0.4451389	0.5605507	0.6474991	0.176569
Cttn	3.259171	3.48385	3.391169	3.468441	3.79221	3.772766	3.494154	3.17742	3.09572	3.294918	3.87435	3.452379	3.35277	3.219101
Sphk2	-1.853449	-2.353748	-2.612831	-1.98711	-1.7047	-1.633995	-1.891485	-2.491749	-2.08115	-1.786871	-1.73699	-1.95673	-1.849529	-2.494511
Rem2	-1.299068	-1.747068	-1.803631	-0.8575897	-0.5887108	0.03756523	NA	-1.83378	-1.76502	-1.610071	NA	-1.35129	-0.6077805	NA
Mapre3	3.682869	3.43828	3.501059	3.344761	3.651428	3.509674	3.791143	3.562971	3.430269	3.5023	3.378679	3.632292	3.657648	3.541168
Vcam1	0.5848999	0.1187706	0.2013397	0.1236496	0.7121792	0.7805958	0.6467953	0.4353008	0.4659595	-0.02581024	0.8070698	0.5360813	0.7278805	0.1891403
