Protein.ID	protein.length	aa.synthesis.average.cost
AT3G58110.1	784	18.96
AT3G58110.2	754	18.99
AT2G46900.1	627	19.65
AT3G13440.2	278	19.68
AT3G13440.1	278	19.68
AT3G13440.3	246	19.8
AT5G08370.1	396	20.49
AT5G08370.2	370	20.38
AT5G02720.1	142	20.56
AT5G02720.2	225	22.13
AT3G44750.2	242	18.04
AT3G44750.1	245	17.96
AT4G13020.7	373	21.18
AT4G13020.8	382	21.08
AT4G13020.1	435	21.06
AT4G13020.2	443	21.23
AT4G13020.4	405	21.01
AT4G13020.6	392	21.19
AT4G13020.5	444	20.97
AT4G13020.3	444	21.2
AT1G23530.1	189	19.15
AT4G28710.1	1516	20.01
AT1G30795.1	109	20.97
AT3G30841.2	495	19.06
AT3G30841.1	495	19.06
AT2G03667.2	597	19.64
AT2G03667.1	610	19.5
AT1G34770.3	237	19.53
AT1G34770.6	192	20.6
AT1G34770.2	186	19.72
AT1G34770.4	250	19.83
AT1G34770.5	181	20.4
AT1G34770.1	237	19.53
AT3G43240.1	747	19.71
AT1G79620.2	807	19.74
AT1G79620.3	731	19.72
AT1G79620.5	997	19.72
AT1G79620.4	680	19.84
AT1G79620.1	971	19.66
AT2G24820.1	539	20.82
AT4G33620.1	774	19.9
AT5G49310.1	519	19.57
AT1G29810.1	187	20.44
AT1G29810.2	148	19.66
AT4G28930.1	175	22.09
AT1G17470.2	399	19.95
AT1G17470.1	399	19.95
AT1G34380.1	264	20.5
AT1G34380.3	327	20.77
AT1G34380.2	347	20.27
AT5G36240.1	254	20.27
AT2G20120.1	268	21.09
AT2G20120.2	268	21.09
AT5G47670.3	234	19.64
AT5G47670.1	234	19.64
AT5G47670.2	205	19.63
AT5G04070.1	359	20.75
AT2G30690.2	760	18.56
AT2G30690.1	760	18.56
AT1G11785.1	46	19.46
AT1G27580.1	364	21.21
AT2G43850.1	479	20.44
AT2G43850.3	478	20.42
AT2G43850.2	479	20.44
AT4G18130.1	1112	19.51
AT1G23870.1	867	21.02
AT3G49560.1	261	19.11
AT5G36490.1	118	21.25
AT5G46030.2	120	19.32
AT5G46030.1	120	19.32
AT5G46030.3	120	19.32
AT5G09650.1	300	20.37
AT2G43000.1	275	20.92
AT2G43000.2	197	20.4
AT1G52040.1	462	20.1
AT3G05858.1	90	21.16
AT5G60860.1	217	19.9
AT5G54035.1	85	24.02
AT1G07901.1	50	21.78
AT4G10220.1	400	21.71
AT3G23790.1	722	20.51
AT4G02075.2	174	21.41
AT4G02075.3	199	21.52
AT4G02075.1	218	20.38
AT5G36190.1	145	24.34
AT1G52650.1	465	21.09
AT1G26750.1	195	19.82
AT5G14980.1	327	21.06
AT5G50150.1	420	20.78
AT2G15020.1	526	20.85
AT3G45070.3	328	21.69
AT3G45070.2	355	21.83
AT3G45070.1	323	21.67
AT4G22590.1	377	20.56
AT5G30490.3	236	18.33
AT5G30490.2	236	18.33
AT5G30490.1	236	18.33
AT5G22670.1	443	20.82
AT4G35060.1	153	19.82
AT1G11480.2	565	18.47
AT1G11480.1	578	18.4
AT3G49030.1	443	20.8
AT3G49030.2	417	20.84
AT1G12300.1	637	20.7
AT5G47930.1	84	20.29
AT1G61093.1	125	19.38
AT2G37970.1	246	20.49
AT3G02420.2	281	21.3
AT3G02420.1	348	21.36
AT1G58190.2	1029	20.72
AT1G58190.4	767	20.67
AT1G58190.3	940	20.93
AT1G58190.1	932	21.1
AT1G09860.1	383	21.94
AT1G13280.1	254	19.83
AT5G15300.1	548	20.99
AT4G34131.1	481	21.08
AT2G02130.1	77	21.55
AT5G03435.2	557	20.46
AT5G03435.1	745	21.22
AT3G18830.1	539	20.35
AT2G03570.1	89	17.87
AT4G21670.1	967	18.99
AT1G02230.1	359	19.95
AT5G20140.1	378	21.01
AT5G20140.2	395	20.87
AT1G11630.1	405	20.99
AT4G19440.1	838	20.91
AT4G19440.3	838	20.91
AT4G19440.2	838	20.91
AT4G19440.4	838	20.91
AT3G51890.1	258	18.66
AT1G44085.1	90	16.93
AT1G07390.1	1034	20.25
AT1G07390.4	1077	20.42
AT1G07390.3	1083	20.29
AT1G07390.5	1048	20.51
AT1G07390.2	913	20.16
AT1G13607.1	72	21.39
AT1G08580.1	123	19.41
AT2G25125.1	74	20.88
AT1G59750.2	662	19.23
AT1G59750.3	665	19.22
AT1G59750.1	665	19.22
AT1G59750.4	660	19.25
AT3G25950.1	251	22.8
AT5G22145.1	69	18.77
AT1G70209.1	47	23.4
AT1G63660.1	534	20.19
AT1G63660.2	434	20.08
AT2G21660.1	176	16.99
AT2G21660.2	159	17.23
AT1G15320.2	289	19.65
AT1G15320.1	307	20.04
AT1G79310.1	403	19.65
AT5G42980.1	118	20.91
AT1G70750.1	749	19.35
AT5G35840.1	1111	19.72
AT2G45210.1	162	22.19
AT1G29390.1	226	21.03
AT1G29390.2	183	21.32
AT4G16460.2	176	17.77
AT4G16460.3	176	17.77
AT4G16460.1	176	17.77
AT5G50210.1	718	19.6
AT1G17870.1	573	19.77
AT5G38360.2	188	19.87
AT5G38360.1	337	20.07
AT5G38360.3	211	20.28
AT1G15020.1	502	20.99
AT1G15020.2	528	21.14
AT1G15020.3	502	20.99
AT1G23090.4	499	20.9
AT1G23090.1	631	20.79
AT1G23090.3	499	20.9
AT1G23090.2	499	20.9
AT4G01790.1	167	19.08
AT4G38190.1	1111	20.88
AT1G72810.1	516	20.06
AT5G45573.1	195	19.19
AT2G01755.1	173	20.01
AT2G01755.2	179	20.3
AT5G25770.2	418	20.59
AT5G25770.1	360	20.63
AT5G25770.3	421	20.59
AT1G56610.3	433	21.04
AT1G56610.2	472	21.07
AT1G56610.1	535	21.74
AT4G09649.1	45	19.91
AT2G03210.2	573	20.94
AT2G03210.3	570	20.98
AT2G03210.1	539	21.12
AT3G45990.1	133	22.02
AT5G51470.2	491	21.32
AT5G51470.1	581	20.92
AT3G46350.1	444	20.67
AT5G64170.1	566	18.3
AT5G64170.2	616	18.4
AT5G64170.3	616	18.4
AT3G24850.1	359	20.08
AT2G27630.1	1122	20.24
AT4G01590.2	199	19.88
AT4G01590.3	200	19.77
AT4G01590.1	200	19.77
AT5G35970.1	961	19
AT2G31390.1	325	19.4
AT4G14315.1	59	23.22
AT2G14635.1	61	21.57
AT1G53460.1	314	20.82
AT5G52240.2	175	20.75
AT5G52240.1	220	19.68
AT2G23250.1	438	20.18
AT3G62270.1	703	21.23
AT2G04400.1	402	19.46
AT1G76420.1	334	20.78
AT2G29150.1	268	18.98
AT5G58090.1	477	20.46
AT5G06950.3	330	18.26
AT5G06950.5	330	18.26
AT5G06950.1	330	18.26
AT5G06950.4	330	18.26
AT5G06950.2	330	18.26
AT4G35350.2	288	20.26
AT4G35350.1	355	20.3
AT4G04930.1	332	23.28
AT2G37900.2	496	21.78
AT2G37900.1	575	21.61
AT5G19875.1	123	24.46
AT1G19350.3	357	19.03
AT1G19350.4	335	18.73
AT1G19350.6	335	18.73
AT1G19350.1	335	18.73
AT1G19350.5	335	18.73
AT3G06710.1	245	23.41
AT4G29190.1	356	20
AT1G68220.1	201	20.39
AT2G33060.1	808	20.27
AT4G17080.1	513	20.99
AT4G15700.1	102	20.05
AT1G28327.1	274	20.16
AT3G56900.1	447	19.79
AT3G25200.1	168	21.01
AT1G15825.1	126	19.55
AT3G49307.1	76	21.22
ATMG00500.1	141	22.51
AT4G12680.1	575	21.21
AT2G19540.1	469	19.25
AT2G40190.1	463	21.15
AT1G59830.1	306	20.73
AT1G59830.2	262	21.13
AT1G67325.2	288	19
AT1G67325.1	287	19.03
AT5G64310.1	131	16.01
AT5G24280.3	1566	19.83
AT5G24280.1	1598	19.93
AT5G24280.2	1566	19.83
AT3G06360.1	125	17.87
AT5G53770.1	530	19.74
AT3G25719.1	50	20.2
AT3G07230.1	46	19.33
AT3G21352.1	74	18.57
AT2G32835.1	95	21.09
AT5G50345.1	88	22.28
AT3G02610.1	411	20.42
AT3G02610.2	413	20.46
AT4G31354.2	65	22.38
AT4G31354.1	65	22.38
AT4G31354.3	65	22.38
AT3G18270.1	410	19.49
AT4G35680.1	313	19.93
AT2G28490.1	511	20.16
AT1G54215.1	169	19.67
AT3G24200.2	507	19.26
AT3G24200.1	505	19.27
AT5G46680.1	468	20.85
AT1G13080.2	384	21.19
AT1G13080.1	502	21.2
AT3G49630.3	328	21.07
AT3G49630.1	332	20.97
AT3G49630.2	259	21.31
AT3G47965.1	44	23.66
AT1G53060.1	242	20.78
AT2G26920.1	646	18.19
AT5G66980.1	334	21.19
AT5G19175.1	82	22.82
AT5G04770.1	583	21.14
AT5G04770.2	411	20.63
AT5G04770.3	436	21.72
AT5G45400.1	853	19.06
AT1G75945.1	61	18.87
AT1G19980.1	342	19.57
AT3G19810.1	321	19.55
AT3G19810.2	321	19.55
AT4G24670.1	440	21.15
AT4G24670.2	440	21.15
AT2G04066.1	171	21.33
AT1G30520.1	560	20.12
AT1G30520.4	477	20.29
AT1G30520.2	560	20.12
AT1G30520.3	477	20.29
AT5G22030.1	871	20.1
AT5G22030.2	913	20.23
AT1G19490.1	471	18.38
AT4G27780.1	354	18.32
AT4G27780.2	263	18.2
AT1G56130.1	884	19.68
AT1G56130.3	833	19.69
AT1G56130.2	1032	19.7
AT5G16270.1	1031	17.77
AT3G24460.1	409	23
AT3G24460.2	409	23
AT4G16280.3	533	18.31
AT4G16280.1	505	17.64
AT4G16280.2	747	18.25
AT4G16280.4	672	18.04
AT1G17990.2	261	20.02
AT1G17990.1	269	19.98
AT5G45550.1	215	21.6
AT1G16916.2	102	19.5
AT1G16916.1	65	20.43
AT5G57280.1	289	18.99
AT5G17340.1	160	22.06
AT2G24460.1	150	19.26
AT3G50380.1	3072	20.24
AT3G50380.3	2461	20.13
AT3G50380.2	3132	20.31
AT3G50380.4	3125	20.3
AT1G12580.1	522	19.5
AT3G43432.1	73	17.23
AT3G56420.3	154	20.38
AT3G56420.2	154	20.38
AT3G56420.1	154	20.38
AT1G22030.1	333	19.41
AT3G17740.1	1149	19.63
AT4G20690.1	138	19.66
AT3G06920.1	871	20.73
AT3G06920.3	885	20.72
AT3G06920.2	885	20.72
AT5G44785.1	440	20.8
AT5G44785.2	442	20.79
AT3G22723.1	51	21.24
AT5G50290.1	303	20.78
AT3G59200.2	365	20.48
AT3G59200.1	520	20.55
AT5G11360.3	195	20.57
AT5G11360.1	196	20.53
AT5G11360.2	187	20.44
AT4G10260.1	324	19.63
AT5G03520.2	206	20.17
AT5G03520.1	216	19.95
AT4G36430.1	331	18.92
AT3G11240.5	446	19.84
AT3G11240.1	605	19.66
AT3G11240.2	446	19.84
AT3G11240.3	562	19.81
AT3G11240.4	446	19.84
AT2G07687.1	265	23.61
AT1G50820.1	528	21.43
AT1G50820.2	787	20.14
AT1G55917.1	61	21
AT5G23100.1	277	19.08
AT4G16690.1	262	20.64
AT2G03770.1	324	21.78
AT1G72460.1	644	19.42
AT2G44160.1	594	20.63
AT4G10730.2	691	18.76
AT4G10730.1	711	18.81
AT5G33290.1	500	21.05
AT2G34810.1	540	21.73
AT2G25305.1	83	20.05
AT1G73010.1	295	20.53
AT5G53050.3	396	20.53
AT5G53050.5	353	20.53
AT5G53050.1	312	20.18
AT5G53050.2	396	20.53
AT5G53050.6	311	20.17
AT5G53050.4	438	20.79
AT1G77920.1	368	19.09
AT1G75720.3	151	20.58
AT1G75720.1	195	20.45
AT1G75720.2	193	20.46
AT3G03630.1	404	18.96
AT5G23570.2	501	19.18
AT5G23570.4	501	19.18
AT5G23570.3	625	19.37
AT5G23570.1	625	19.37
AT4G05520.1	546	20.38
AT4G05520.2	545	20.38
AT5G15920.1	1053	19.65
AT1G68585.1	116	18.89
AT4G28405.1	78	21.91
AT5G43000.1	282	19.35
AT2G38040.2	769	19.07
AT2G38040.1	769	19.07
AT4G29820.1	222	21.28
AT4G24400.2	416	20.7
AT4G24400.1	445	20.87
AT5G20440.1	216	21.91
AT4G32980.2	473	20.2
AT4G32980.1	473	20.2
AT5G53150.5	549	19.57
AT5G53150.1	726	19.69
AT5G53150.2	755	19.57
AT5G53150.6	755	19.57
AT5G53150.3	755	19.57
AT5G53150.4	726	19.69
AT1G31140.2	215	20.5
AT1G31140.1	213	20.59
AT5G07572.1	116	19.7
AT3G20300.1	452	21.43
ATMG00910.1	215	21.4
AT5G50030.1	187	18.37
AT1G11280.3	808	20.67
AT1G11280.4	818	20.68
AT1G11280.1	830	20.71
AT1G11280.2	820	20.7
AT1G11280.5	671	20.99
AT5G06530.1	751	20.32
AT5G06530.3	691	20.06
AT5G06530.4	496	20.85
AT5G06530.2	751	20.32
AT3G59520.1	269	22.37
AT1G33870.1	252	20.18
AT5G60805.1	106	22.07
AT5G40880.2	443	19.77
AT5G40880.1	472	19.86
AT3G49390.1	353	18.74
AT3G49390.3	353	18.74
AT3G49390.2	353	18.74
AT5G19820.1	1116	19.04
AT3G27750.1	222	19.13
AT5G64667.1	95	21.22
AT1G72790.1	561	19.29
AT1G58180.1	256	20.08
AT1G58180.4	290	20.42
AT1G58180.6	239	20.72
AT1G58180.3	239	20.72
AT1G58180.2	290	20.42
AT1G58180.7	239	20.72
AT1G58180.5	279	20.16
AT4G21050.1	210	19.77
AT2G24580.1	416	20.54
AT3G13550.1	182	20.92
AT3G13550.2	170	20.76
AT1G01380.2	60	20.8
AT1G01380.3	64	19.72
AT1G01380.1	83	20.58
AT3G27140.1	245	19.05
AT1G16690.1	439	20.19
AT2G31200.1	146	20.26
AT3G56140.3	745	19.17
AT3G56140.2	526	19.35
AT3G56140.1	745	19.17
AT1G72010.1	375	17.67
AT3G21550.1	184	21.48
AT2G29460.1	224	21.87
AT3G20220.1	118	20.45
AT1G08120.1	87	20.54
AT2G35790.1	238	20.8
AT1G26850.1	616	20.84
AT1G26850.2	616	20.84
AT1G26850.3	506	20.54
AT3G59430.7	451	18.03
AT3G59430.8	451	18.03
AT3G59430.5	345	17.96
AT3G59430.2	451	18.03
AT3G59430.4	345	17.96
AT3G59430.3	345	17.96
AT3G59430.6	451	18.03
AT3G59430.1	451	18.03
AT5G02650.1	226	19.75
AT4G11300.1	371	18.71
AT3G18165.1	253	19.64
AT3G32040.1	360	18.91
AT3G14830.4	476	20.2
AT3G14830.1	476	20.2
AT3G14830.3	476	20.2
AT3G14830.2	476	20.2
AT5G36170.3	391	18.74
AT5G36170.1	456	19.36
AT5G36170.2	455	19.36
AT5G36170.4	390	18.74
AT5G06600.1	1116	21.09
AT5G06600.2	1115	21.1
AT5G06600.3	985	21.09
AT1G18070.2	532	19.47
AT1G18070.1	532	19.47
AT1G18070.3	543	19.53
AT2G40711.2	105	22.88
AT2G40711.1	105	22.88
AT5G63900.1	557	19.9
AT1G56290.1	692	19.33
AT4G25707.2	40	20.52
AT4G25707.1	40	20.52
AT3G51210.1	67	20.76
AT4G29300.1	77	20.43
AT3G24830.1	206	20.94
AT5G02995.1	313	22.12
AT1G26920.1	173	17.95
AT3G49610.1	334	20.37
AT2G03270.1	639	19.08
AT3G07830.1	397	19.7
AT1G12370.1	490	21.29
AT1G12370.3	466	21.23
AT1G12370.2	496	21.29
AT2G29340.4	202	19.33
AT2G29340.3	202	19.33
AT2G29340.2	262	19.24
AT2G29340.1	307	19.27
AT5G03500.1	168	19.65
AT5G03500.7	168	19.65
AT5G03500.5	168	19.65
AT5G03500.2	168	19.65
AT5G03500.4	168	19.65
AT5G03500.3	168	19.65
AT5G03500.6	178	19.92
AT1G25211.1	433	20.7
AT5G17600.1	362	18.93
AT4G35650.1	368	19.28
AT2G32400.1	921	20.95
AT4G17560.1	225	20.12
AT1G10350.1	349	19.29
AT1G24160.2	540	18.26
AT1G24160.1	540	18.26
AT5G45800.2	490	20.75
AT5G45800.1	666	20.34
AT3G04590.1	309	17.49
AT3G04590.2	411	17.66
AT5G59560.2	275	20.12
AT5G59560.1	275	20.12
AT2G37030.1	124	21.7
AT4G31351.1	65	22.12
AT2G35795.1	112	19.86
AT3G06380.2	288	20.16
AT3G06380.1	380	20.01
AT1G15580.1	163	20.21
AT2G07835.1	128	19.75
AT1G08280.1	398	21.45
AT4G20030.1	152	21.03
AT1G59560.4	268	20.37
AT1G59560.1	338	20.15
AT1G59560.2	295	20.16
AT1G59560.3	305	19.98
AT1G20687.1	78	21.86
AT5G16720.1	675	18.71
AT3G12930.1	238	19.95
AT2G32080.1	296	19.15
AT2G32080.2	295	19.15
AT2G19600.1	592	20.27
AT1G74890.1	206	18.04
AT2G36950.1	386	18.19
AT1G80000.3	605	17.62
AT1G80000.4	599	17.58
AT1G80000.2	605	17.62
AT1G80000.1	605	17.62
AT4G39670.1	229	20.29
AT5G41020.1	588	19.95
AT1G71070.1	395	21.43
AT3G28860.1	1252	19.97
AT5G09310.1	146	21.65
AT2G24000.1	464	21.36
AT2G24000.2	401	21.35
AT2G25410.1	377	20.41
AT3G45220.1	393	20.85
AT1G62262.1	365	22.74
AT3G14700.2	204	19.48
AT3G14700.1	204	19.48
AT1G06820.3	586	20.53
AT1G06820.1	595	20.43
AT1G06820.2	521	20.5
AT1G06820.4	476	20.66
AT5G19920.1	656	19.32
AT1G56590.1	415	20.47
AT2G25500.1	98	19.41
ATMG00050.1	131	20.95
AT1G03260.1	274	20.85
ATCG00380.1	201	20.27
AT1G58100.1	401	17.33
AT1G58100.2	377	17.28
AT1G64195.1	72	20.64
AT1G46912.1	312	22.9
AT1G46912.2	220	21.32
AT5G50270.1	408	20.97
AT5G50270.2	307	21
AT2G35130.1	591	20.69
AT2G35130.3	588	20.67
AT2G35130.2	613	21
AT3G19895.1	554	18.63
AT5G55190.1	221	20.86
AT4G10930.2	1178	18.46
AT4G10930.1	1183	18.44
AT1G24909.1	222	20.27
AT4G37980.1	357	19.8
AT4G37980.2	298	19.94
AT1G27440.1	412	21.55
AT3G03680.1	1017	20.09
AT1G05490.1	1410	19.09
AT1G69030.1	317	18.1
AT3G28216.1	48	23.21
AT5G18340.1	456	19.37
AT5G02250.1	803	19.82
AT5G60790.1	595	19.93
AT2G42810.4	484	20.61
AT2G42810.5	484	20.61
AT2G42810.1	484	20.61
AT2G42810.3	537	20.59
AT2G42810.2	538	20.6
AT5G50443.1	83	21.06
AT2G39851.1	119	20.89
AT4G07325.1	139	23.01
AT3G43710.1	378	21.59
AT2G32320.2	537	22.05
AT2G32320.3	532	21.83
AT2G32320.1	525	21.83
AT1G72710.1	465	20.01
AT4G40080.1	365	20.48
AT5G06140.1	402	20.27
AT4G09870.1	337	22.04
AT3G03070.1	110	19.86
AT4G03320.1	284	22.81
AT1G04190.1	328	20.36
AT5G19400.5	1027	19.37
AT5G19400.3	1059	19.28
AT5G19400.4	1027	19.37
AT5G19400.1	1059	19.28
AT5G19400.2	1059	19.28
AT1G61475.1	212	19.84
AT2G04190.1	411	20.19
AT1G05615.1	172	20.57
AT3G44060.1	427	21.1
