Protein.ID	protein_phase	protein_LL12	protein_LL16	protein_LL20	protein_LL24	protein_LL28	protein_LL32	protein_LL36	protein_LL40	protein_LL44	protein_LL48	protein_LL52	protein_LL56	protein_LL60	protein_LL64	protein_LL68	protein_LL72	protein_LL76	protein_LL80	protein_LL84	protein_LL88	protein_LL92	protein_LL96	protein_LL100	protein_LL104	protein_LL108	protein_LL112	protein_LL116	protein_LL120	protein_LL124	protein_LL128	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
AT1G02780.1	12.0000600137165	2787101.652	2428375.287	2490613.469	2429169.28	1511347.418	2422946.633	2326300.614	2701158.621	2276150.991	1230572.704	2664723.006	2817199.123	1902976.852	2329330.448	2005965.754	1918182.078	1985882.469	1693121.666	2759221.235	2532906.372	1913353.278	2270384.026	2351111.261	2559735.902	3298050.046	2237069.329	1823652.358	2359984.696	2505998.365	3513965.654	2334885.01956667	3513965.654	0.0326932639318408	214	24.08	25.84
AT1G02910.1	12.0000600137165	6441.14737	7205.941326	17982.97937	12799.2619	4947.342208	6111.557083	4606.311323	13020.57034	11374.82598	7407.153902	6588.427859	10718.81394	8337.983412	5597.106383	5662.317665	12613.59022	7052.474301	7757.64134	2232.367426	9797.494075	8143.31873	9817.346836	6228.785275	8363.272042	8203.513378	6812.630635	7842.829039	2910.555504	6970.454444	5973.425834	7984.04797133333	17982.97937	0.280750574155693	453	23.06	25.11
AT1G02920.1	17.0949545932474	114346.4121	131285.9167	134992.9393	189857.7948	252904.4767	267405.3819	159762.0982	132600.577	182571.1901	164129.2813	234982.5928	216526.0746	172277.1828	152290.7356	195932.5682	119094.0416	150073.3723	307396.6717	115876.2157	110540.2105	120078.6119	128642.0541	183933.1182	153470.3191	155643.0503	125328.0205	141414.7565	132815.2766	142301.8052	176165.2947	165487.9347	307396.6717	0.0140930789376686	209	24.68	27.23
AT1G03160.1	8.33397459344398	13031.8217	16905.29006	7097.547742	9930.367675	14414.67201	22183.74129	13263.26198	11131.05269	13576.0761	19053.65334	11723.99882	12091.40717	10908.95272	12311.03526	14114.60496	18366.97248	10964.68589	13291.4806	9931.465813	27422.21689	18856.8047	15234.88839	18146.36886	24771.207	22591.83188	17582.27362	18324.60351	22721.47523	23512.68424	30048.78016	16450.1740926667	30048.78016	0.742524697370205	912	22.28	24.95
AT1G03220.1	4.8036083984926	566142.6617	539456.8481	510777.7403	524326.9609	476138.5369	526895.0426	632696.726	492682.5916	556600.9983	869736.3834	573614.5123	532198.0787	520764.2841	571829.0882	676686.5065	471079.0179	485787.2701	560557.8727	616996.1612	633535.7038	485931.4306	575400.2222	599561.2574	570484.0284	454017.4964	533241.4085	494879.7974	633620.3958	559930.4013	593983.0265	561318.414993333	869736.3834	0.769142161342953	433	22.56	25.63
AT1G03230.1	21.5346276947532	151748.0578	162723.413	120095.3155	146680.234	153811.0623	159342.4557	149014.3987	177456.3754	125122.5245	159349.0762	138375.7668	118240.0831	110336.3018	116181.5023	169678.9294	139452.7413	90458.87221	129843.1402	122907.9655	161253.1761	115354.5525	101525.3239	184075.0643	125045.4945	146650.5231	96208.21039	103704.1779	139257.7408	90421.13057	143834.2753	134938.262835667	184075.0643	0.88459028181376	434	22.97	26.04
AT1G03600.1	6.0304597796741	1355842.924	1438703.59	1156136.38	1767522.658	1674688.528	920230.5954	1741340.354	1214577.373	1831212.062	823911.8332	1370069.421	1525777.343	2907951.326	1441048.468	2319916.04	944745.8723	1148836.355	914737.0553	1534910.363	1229188.21	1193496.422	1060144.685	1435492.445	1444230.793	1129009.755	1115580.395	1482037.678	920567.0813	1020331.959	1002831.185	1368835.63831667	2907951.326	0.622956158437868	174	21.87	23.9
AT1G03630.1	11.8566823823459	1329773.985	1261460.57	1146108.923	1207207.527	1099761.743	1540402.309	1531303.814	1530963.765	1527740.247	892416.5336	1152756.765	1147428.795	1391107.626	1163826.152	1467138.596	1048742.61	1128937.158	949474.8363	1219836.837	1159499.621	1071014.707	1229451.671	1230432.242	941270.1783	1273419.919	1082790.329	1111726.466	1214304.775	1144104.936	1355708.626	1218337.07540667	1540402.309	0.186431918597961	401	22.69	25.19
AT1G03680.1	21.2446011072574	2977225.021	3298071.623	3163034.099	3304360.755	3938228.167	2674757.521	4189661.014	4128162.626	4997732.838	2431401.848	3489283.857	3504219.148	3539970.659	3193723.531	4960112.604	2657359.06	3003506.305	3146445.842	3476081.202	3213702.085	2940211.806	2792914.733	4738721.144	3564603.852	2746254.528	3345249.133	3931748.253	2697246.811	2894931.485	3523288.918	3415407.0156	4997732.838	0.471618769684958	179	23.17	25.61
AT1G03860.1	12.999941714815	174234.6198	165651.3328	129435.3936	104078.9318	133466.7197	219399.334	154970.3166	178620.4591	164249.0118	138516.8809	169871.6948	132290.5397	172546.1578	143494.1238	126842.8679	139348.9905	156443.0493	157255.7606	159355.73	182247.8414	173247.7244	123363.8797	200618.3751	195777.9973	179516.4018	101859.1719	183806.9125	174411.1239	236479.5866	230545.2885	163398.207253333	236479.5866	0.129788393267139	286	22.76	24.98
AT1G03870.1	13.2833673026089	1152637.267	1100870.579	813461.5742	733032.1506	844439.3747	1033447.849	1036565.225	1062335.381	1002765.87	745531.6879	739668.9335	753675.0613	940472.3296	866458.3123	1007552.286	810744.463	669632.8669	825824.6282	1050145.354	893187.4857	781331.7193	834649.1227	1070882.434	766367.19	816658.1007	586320.5774	848445.2612	798536.3483	687746.2723	965207.1594	874619.76214	1152637.267	0.0332043053764281	247	21.74	24.64
AT1G04040.1	5.650800986304	290193.8641	239865.9636	188105.4075	134420.0344	118922.5769	145652.4934	294519.3178	364477.3666	247582.3391	247127.8861	171475.1136	131926.8495	208293.0422	251913.94	223367.6178	106441.6114	136492.6753	233395.7141	226965.1077	235157.9435	151524.3648	132297.2622	298690.5318	101947.1196	186473.1416	161469.4723	116846.1402	180326.7377	150270.9285	179079.4861	195174.068313333	364477.3666	0.0141180755482548	271	25.32	28.15
AT1G04170.1	6.7087793412706	34363.85447	30885.64009	106040.597	119565.1143	134742.9957	73449.13675	105195.8603	92061.86881	108864.2386	103217.9608	176968.2211	59807.15406	97932.11218	102473.4627	101520.7638	105849.9164	101030.0322	79412.67837	91379.91215	151271.951	117378.5037	147899.4713	120550.3958	114562.9056	71253.84161	148178.3965	88086.62905	93109.69198	84016.72626	137881.0294	103298.368732667	176968.2211	0.236121858553551	465	22.9	25.33
AT1G04420.1	15.5732267417778	783541.5251	911891.286	622250.9497	790430.5886	778858.203	1034531.094	933325.4975	837080.9707	891371.6614	791776.6597	826025.5917	779142.2009	798353.6046	710650.2862	873887.7998	673898.3763	695279.5284	725883.7717	703022.6307	985198.2563	698158.1066	659750.1444	818519.7887	802542.6408	604778.4138	584203.0563	691179.3444	902719.117	868492.6093	792988.7177	785657.747376667	1034531.094	0.813755354273256	412	23.67	26.29
AT1G04430.1	17.3637713256912	NA	2848.682285	11438.39563	11394.94448	7030.751365	406.9378252	2057.773185	6832.07241	3920.021648	5842.466015	5122.480169	4102.270549	2653.196905	2997.477416	2940.661026	2029.188428	4087.49575	900.6249973	1832.611435	1997.727832	10333.51127	8894.624619	2153.980196	4667.57048	4018.784854	3215.581778	7833.237046	2987.756126	4123.303787	5938.388815	4641.46614901724	11438.39563	0.0107032884512322	623	24.04	26.36
AT1G04480.1	13.755571791892	2330662.711	2515354.149	2373235.939	2703712.807	2734116.095	2752554.45	2197118.298	2850986.637	2478146.624	1716083.196	2658164.806	3021083.729	2537909.95	2083284.107	2501205.524	2509684.997	2275900.308	2033945.612	2201457.232	2824944.664	2704415.417	2203879.158	3031051.21	3139017.469	2251972.272	2438549.877	2800364.491	1878664.343	2148714.104	3153810.415	2501666.35303333	3153810.415	0.65341181408689	140	22.83	25.51
AT1G04630.1	18.6296716679217	54476.83276	81959.09655	62634.2013	67367.78312	78921.41695	96805.80599	84258.35345	74799.18363	78248.78473	53767.78754	86684.14084	94127.26597	68778.59128	72982.76292	63644.35192	64252.91832	71738.09523	89190.08557	68850.19704	64835.05474	53338.55652	54041.739	40655.43094	80941.38031	22913.08857	14750.47442	56302.51706	57177.6222	81742.35388	46305.72295	66216.3865233333	96805.80599	0.0387383766696186	143	24.29	25.98
AT1G04690.1	2.4716012560097	27348.92997	33985.10665	35898.69843	49002.20571	49337.92408	32845.55228	22078.90765	37934.78709	27052.71372	32751.96589	31349.24653	34982.37417	40398.90998	29898.68534	22247.33381	29105.08381	30712.87709	20333.80214	29190.28176	28545.58001	38579.9194	36936.74222	17259.39909	26689.80577	31539.10835	32878.23094	32975.50328	34230.2977	27898.27026	20986.13071	31499.1457943333	49337.92408	0.235153256761785	328	23.66	26.09
AT1G04810.1	12.0000600137165	58177.83997	58913.04426	59121.44847	52083.24482	40308.35259	50783.48886	46172.39975	54517.09714	66088.24601	60502.93642	51623.28197	39727.84476	50165.8972	42323.47317	57264.64097	62401.47079	40456.7272	44083.6246	52607.94149	56162.07073	44049.88749	52926.33873	60466.90945	14642.66974	69218.33872	44384.86375	50714.95333	54398.81584	58223.72794	82530.90682	52501.4160993333	82530.90682	0.395135778171966	1001	22.32	24.77
AT1G04820.1	11.3531636718555	566013.4295	535864.0268	346767.2898	353123.3447	371439.1372	679755.9551	552161.1254	442331.4612	543350.2039	694148.5078	451264.8326	492556.3551	391843.7733	392436.4669	592007.8705	729942.6161	400098.9064	341036.2068	518651.8833	821873.229	682112.3854	654506.8032	1027702.188	822770.2475	586997.9943	691925.6202	745138.6201	1012222.44	764141.9952	1092723.071	609896.932876667	1092723.071	0.642788714009264	450	23.01	25.31
AT1G05010.1	11.6311622379228	534209.3954	379887.4305	247668.1977	202452.064	205473.8332	302247.2278	341095.9658	334509.3516	308441.0728	229905.8843	258568.8982	142227.3497	201685.1091	245935.943	272594.5688	250165.9716	186280.9273	241530.4872	268764.9302	262654.8575	255062.3549	181202.2068	262351.3341	180426.2382	268697.5865	157722.6529	195469.2133	236120.7386	226302.9714	270514.6969	255005.648643333	534209.3954	0.0917485620861397	323	23.88	26.52
AT1G05190.1	2.99994171481499	3274718.397	2973029.685	2773998.677	3127026.473	2926371.059	3722553.26	3498958.102	3730842.008	3347950.085	3144150.555	2827943.218	3315378.615	3195734.051	3175821.225	3542293.567	3252548.93	2837525.856	2619679.606	3241923.785	3504411.233	3298015.73	3585975.617	3771769.983	3435807.296	3087589.528	3088072.671	3378868.083	3273354.261	3006872.212	3913312.721	3262416.54963333	3913312.721	0.746367672732638	223	23.12	25.57
AT1G06000.1	17.8837070767926	NA	442.1819272	6633.553733	15348.17938	20657.7774	8970.41559	1607.399805	3353.304078	14103.21757	11669.36729	9098.844331	15293.82058	15247.99649	276.1802073	5864.355118	4682.499245	4150.107884	2401.078748	NA	8108.590906	10791.3342	8002.660091	5865.046411	11254.29317	846.4852727	16397.26697	9902.581482	11282.50864	6454.634724	10423.80402	8540.3387594	20657.7774	0.316865088049979	435	23.52	25.75
AT1G06020.1	20.6988836256885	13497.24034	27779.97595	26224.85839	22335.25204	51327.92941	57575.9071	32724.03439	25503.02945	38340.21441	35364.7197	74386.39383	27045.92892	44098.11539	28633.93694	107393.8352	53235.00255	30248.61869	38849.55426	56253.78697	142628.3442	35023.12935	53996.64508	70763.95938	36131.95615	89567.62108	33750.95541	55118.43864	65869.42066	44217.96711	58425.19542	49210.3988803333	142628.3442	0.198076859501291	345	22.89	25.56
AT1G06430.1	10.1471018941736	493644.3758	422583.2557	459283.5181	383553.7786	267666.5547	368750.8199	531661.8692	467557.9405	405003.7833	407959.2377	450461.1629	463254.7728	407699.9857	424359.2861	377891.1422	392837.7729	485691.3507	413907.27	445350.6002	332341.6528	466749.8974	405839.7566	426402.4979	367229.4771	434269.2498	433336.835	394091.3177	442102.8426	377888.0616	476692.7556	420868.760703333	531661.8692	0.399212473758946	685	21.61	24.02
AT1G06460.1	15.4953536899204	55431.62313	58863.33512	41886.63749	30028.00654	48521.36185	35510.90978	51941.68688	54695.96054	48917.29952	40748.9973	66408.4817	41223.49098	58613.76603	63378.91018	73192.96025	69210.34834	43417.54252	48864.65811	72409.53618	55120.33005	57100.85421	48808.28098	84806.21531	46873.61913	67357.67341	50461.68609	61640.88381	54567.24296	61217.4174	72157.36637	55445.9027386667	84806.21531	0.666325262883594	285	22.37	24.54
AT1G06690.1	17.4134369538966	66359.14656	95793.97828	59319.99183	60724.8315	69611.45054	85069.49069	82013.01454	77636.25109	63315.45882	77242.75725	47285.72097	85856.81095	68263.94758	58136.01665	82773.92951	69360.97733	42828.1142	63512.01207	87632.03641	112017.0274	78447.6512	66691.91613	83733.43788	81553.04363	63101.31569	33856.6304	85282.58977	86945.24032	81201.70587	83681.81217	73308.2769076667	112017.0274	0.719921181123948	377	23.37	25.98
AT1G06950.1	5.143708896128	1946032.555	2103490.304	1648058.581	1703383.689	1620017.626	2190389.378	2152251.403	1978897.505	1959613.763	1653779.068	1801349.428	1898375.373	1787620.257	1761773.136	1963568.696	1572270.037	1752211.478	1656260.917	1756505.644	1988451.807	1719602.771	1710073.793	2319267.136	1976475.908	2199030.41	1810748.775	1655343.527	2004494.248	2025293.701	2543612.221	1895274.77116667	2543612.221	0.0602840138583129	1016	21.87	24.15
AT1G07070.1	12.0000600137165	6433.474142	16089.72869	33374.32032	12119.87719	4147.424368	5767.018198	1787.112589	28926.8955	10578.21729	11942.32996	7060.305151	7360.844983	7228.763833	9573.61439	3590.470152	6279.372326	5314.501699	NA	13172.78862	3561.543143	3065.222038	13127.86547	3485.275036	1424.39512	12517.51429	5169.867022	15113.29198	3011.827039	418.2504098	6058.524557	8886.22881054483	33374.32032	0.126565021465305	112	24.99	27.24
AT1G07320.1	4.8537377477761	1834891.917	1836086.682	1598848.057	1824431.095	1273678.73	1429508.564	2038669.674	2197320.586	1741104.065	1904793.793	2079702.326	1973456.092	1579444.607	1877253.541	1558703.587	1668506.802	1495056.295	1602811.312	1760351.87	1665968.458	2153035.168	1918221.69	1829200.835	2007402.778	1766258.623	1699571.166	1726586.486	1800982.282	2035714.826	2080759.605	1798610.71706667	2197320.586	0.787373906967903	282	21.83	24.15
AT1G07370.1	3.6348244540398	7439.23745	14509.75963	14638.28827	16289.27142	19255.64391	25540.44619	13225.34711	19272.88387	15666.08609	11694.46302	13659.93846	13345.84336	20082.14828	13426.20187	26260.0835	10153.30709	15440.25546	12308.6156	23141.39734	23663.26597	14692.17355	7125.996561	14295.79909	10370.76467	26354.59608	6343.435572	13661.95871	10691.30447	6056.132572	9975.359675	14952.666828	26354.59608	0.238052733381161	263	22.68	25.54
AT1G07660.1	1.6388542662399	635725.7477	1233486.827	949284.2104	962712.2371	719638.7561	1950017.308	900461.7493	1184040.04	1047895.209	925673.1602	1224263.187	1040440.378	1348114.438	1114870.182	849345.1055	10265130.68	882335.1769	2479932.794	1429282.655	1778331.072	834030.9198	751714.7017	790685.7139	1152373.75	1374121.996	793007.4737	1004190.954	916776.9143	814746.9773	1167212.11	1417328.08079667	10265130.68	0.00809211647278138	103	23.39	25.58
AT1G07670.1	5.93560830466579	1079.842251	7477.201203	1092.041537	NA	679.0455487	6.40099703	389.5272022	14.26433575	NA	0.009532874	9.625811809	NA	4.183469771	NA	54.61628272	72.20267312	16.91681147	213.7495882	3844.505391	35.26430596	77.5395049	NA	1201.24448	394.0267769	417.6970166	119.5512023	3815.819171	601.10207	0.548241765	387.1581143	880.16334077476	7477.201203	0.799352268940563	1061	23.03	25.72
AT1G07890.3	7.9025489625638	8377627.181	9300665.65	8318127.651	9418679.162	9762113.334	9372626.953	9075537.624	8027532.579	8793008.305	8080230.19	10273360.26	9632992.933	8123394.5	7545227.293	8873923.944	7791086.935	7271829.568	8222645.976	8932229.091	8465070.173	7776359.033	7526708.244	10301178.73	9030863.541	7948806.908	7193728.646	8308733.965	8259593.288	8790771.031	10019242.75	8627129.84793333	10301178.73	0.0295872079920105	250	23.19	25.21
AT1G08110.4	15.9393061800163	183606.8915	182198.3682	169905.5351	186811.6319	190911.5788	161865.4326	215692.6681	220321.8277	256313.1287	164614.7472	178190.7964	197751.9892	191784.7339	188115.0547	176989.9747	124145.0023	174242.8957	154949.9429	210565.6365	155938.071	133769.5205	115001.0265	134025.2709	192444.2358	140191.8212	72537.70298	244402.3176	174465.5183	204560.7666	92675.80229	172966.329659	256313.1287	0.597963647510302	235	24.25	26.64
AT1G08200.1	16.161349910224	230176.7984	278109.7296	208346.4252	234157.9819	258207.1311	230881.4771	195828.5408	190417.8815	264966.984	153064.3581	278207.8486	271853.9908	197230.1475	205339.3052	322262.5217	176443.9316	194898.1451	219230.9589	277729.379	196204.09	189193.7076	193580.7876	312940.8406	210447.6965	251372.9273	173848.6478	294142.5343	210592.4892	206557.866	263633.9888	229662.303726667	322262.5217	0.718521445743266	389	23.97	26.32
AT1G08360.1	14.0630619876694	36928.84968	43271.51181	41726.9279	38680.13833	4976.555686	41978.76972	47771.17663	38123.68801	27697.53301	29312.35737	49953.22776	48396.32727	14846.81128	53019.05848	20282.85953	56781.20934	42732.25859	30135.28073	31679.91928	41552.22354	49822.79394	36657.10634	28275.84153	47049.39197	41087.68076	26397.11352	32335.97649	42311.0414	41816.31237	57644.75668	38108.1566315333	57644.75668	0.759435974109415	216	23.82	26.49
AT1G08380.1	16.6855122732111	1182548.085	1011775.189	840273.7864	855990.5652	393443.4148	825883.7012	1205169.365	1126616.406	811775.6836	1268490.335	824267.14	903661.8385	551212.9912	1318652.23	747187.8684	843970.7644	832483.5264	1254916.789	1423991.044	1246581.885	1231718.99	1030418.957	716395.6942	1360160.752	906202.3266	706692.0336	775284.6609	1358877.635	1261104.637	1244279.888	1002000.93941333	1423991.044	0.473897634781662	140	25.08	28.29
AT1G08420.1	18.3183161509208	10076.07652	7414.112318	21342.34429	18604.35642	15132.1888	12050.83555	6235.054655	8701.149556	24555.21742	12744.27301	23811.00824	10798.31285	12353.69332	10890.95183	17082.70093	10637.90762	7367.815878	5512.917052	6920.098588	5435.741967	12294.05197	15500.85153	16017.26571	7550.922651	9174.115508	16950.31016	15123.42813	8088.731504	7381.888273	7289.677454	12101.2666568	24555.21742	0.00965678667600566	1018	21.69	23.35
AT1G08450.1	5.6392891057766	23767.91741	19771.62065	46237.05776	37541.35757	55451.15	39511.51156	21102.61916	26857.19404	22162.5427	23090.1527	38715.06234	35130.56654	32528.2013	20907.28967	19310.01258	18598.14509	17514.62681	13943.34774	17060.88666	12012.78432	15524.84955	41044.31879	25659.1119	33310.8494	16629.16313	30075.22933	19988.87779	9976.053544	14548.25271	21633.82678	25653.4859841333	55451.15	0.45345378363427	424	25.16	27.11
AT1G08480.1	12.0000600137165	117862.2438	107024.9392	69167.36577	65578.15136	70620.63267	104671.1885	100710.1184	110738.8829	104229.0794	73283.73128	66258.49552	60148.10286	79636.32355	58792.09248	86253.61091	79293.87385	63048.95852	64034.66819	65556.86981	68111.09515	59520.03336	74338.48205	39732.05243	60616.17108	41015.42796	8171.929433	76332.2381	61136.67297	82159.6749	40259.39508	71943.4167161	117862.2438	0.194080862106091	142	24.99	27.54
AT1G08520.1	12.534197536617	729366.0485	729475.258	543920.9044	668742.6858	645438.8526	754364.1337	822131.5173	678208.6909	700800.5329	530421.7992	626516.8428	749702.3767	615655.3662	632881.106	604589.1248	567822.2466	637341.5995	612292.8632	684428.1815	761951.8091	607347.5512	609888.3004	785710.8336	722772.067	644405.6787	625317.4123	607375.2308	660133.0083	734306.1057	986478.8834	675992.90037	986478.8834	0.0132675529238645	760	21.59	23.45
AT1G08550.1	20.3761893477962	198573.1968	188469.6865	155110.2921	195045.1136	152055.8977	201406.8977	258039.5512	177316.6346	198264.3418	141519.6567	181907.7691	159258.2011	275670.0405	182421.6536	186371.1331	169458.7858	162697.726	160896.5507	180129.0042	143299.6752	201289.4189	217750.3712	181830.3284	149008.5943	163108.134	161073.5879	187354.0304	139488.6523	175415.1206	163561.2786	180259.71082	275670.0405	0.672739621665354	462	23.42	25.71
AT1G08970.4	12.032927305236	28696.40254	27982.56803	25531.0305	30024.27828	8120.190707	12949.9787	40062.05996	23537.23367	23918.23778	21912.74009	35700.02339	39453.43727	19531.9822	53179.67402	22340.43131	13459.07234	30772.46078	27377.52317	33391.57428	18064.23568	18044.90449	23772.01945	19597.62892	27432.47523	15994.992	14080.66118	14680.32116	25477.92421	34836.67354	18260.54783	24939.4427569	53179.67402	0.507902997479391	231	22.4	23.56
AT1G09020.1	18.5662715843458	1578.297865	36077.08911	33724.57958	31850.45611	29057.44945	62126.45908	44397.4392	30512.18435	38434.78013	27719.20198	37855.42551	34397.71357	33817.56159	32322.4523	34408.54637	27029.25822	29864.10148	35315.36379	29011.49413	25211.09318	24237.63873	26751.42268	22228.49103	25659.8257	11166.46566	13399.64302	24613.75278	21594.32498	33458.23423	8191.455127	28867.0733644	62126.45908	0.923734229823781	487	23.31	25.57
AT1G09130.3	8.2345099293474	799985.664	837049.4645	684343.9472	786227.7092	614586.7975	598429.6769	880828.8274	725216.4033	785820.3309	632310.4312	762646.0502	841438.7839	694635.6066	795373.5885	791805.691	572311.6408	639685.4438	720421.7814	758376.4959	642229.4901	601268.0567	621103.3906	791416.3115	728911.7361	711910.1709	760898.8467	594188.1788	563211.6393	644568.7892	854829.6686	714534.353756667	880828.8274	0.0572983544443839	370	22.96	25.16
AT1G09210.1	12.0000600137165	556868.4658	418719.8319	410348.6178	548509.9434	467766.9608	410561.8411	404932.6774	380668.6347	375933.4471	439619.728	379835.3448	416098.9114	334092.7021	269625.6795	205311.7402	353174.5286	241738.7134	387475.3989	254966.6722	259120.2315	237233.1122	271544.5138	336106.5184	259497.3719	430319.6767	230332.8672	318138.7575	267196.2297	324397.9959	332471.9342	350753.634936667	556868.4658	0.576499164953373	424	23.46	25.75
AT1G09310.1	12.999941714815	4118556.208	3329938.329	3674442.359	3445401.226	3891971.633	3140584.88	3551433.297	3668401.4	3509991.525	2871023.594	3755711.576	3522706.832	2966609.265	3189084.884	3686747.897	3089359.343	3065923.966	3257877.096	3735337.927	3397640.365	3355996.563	3276733.928	4745203.124	3647268.926	3102828.281	3771372.061	3654060.819	3441603.277	3696280.157	4116078.592	3522538.97766667	4745203.124	0.816403257188494	179	23.19	25.39
AT1G09340.1	12.4865699213873	29251682.71	29100522.95	24269479.4	25799718	24133286.8	27008115.6	31121026.09	28529409.23	27925170.66	22093180.86	28870056.35	28992687.46	27852911.13	25278112.07	29825498.3	23066360.79	23679382.62	24256779.76	27147039.75	27222276.27	25083907.66	25153557	30988471.09	28222034.07	28849056.75	26631568.42	26647930.21	25261132.37	25852254.63	30618403.59	26957700.4196667	31121026.09	0.00627501744482782	378	24.37	26.98
