Gene	P_expression	S_expression	t	DNDS	DN	DS	ploidy
AT1G03000.1	601.39	627.7655	0.1385	0.2529	0.0264	0.1046	both
AT1G03030.1	619.11	316.64	0.1303	0.1143	0.0159	0.139	both
AT1G03040.2	0	2519.006667	0.1297	0.0971	0.0122	0.1257	D
AT1G03050.1	8314.76	0	0.1262	0.1324	0.0162	0.1224	H
AT1G03055.2	0	220.5436667	0.1408	0.1084	0.0153	0.141	D
AT1G03060.1	1354.88	591.293	0.0751	0.1399	0.0098	0.0699	both
AT1G03070.2	6445.79	381.1873333	0.1575	0.0402	0.0062	0.1537	both
AT1G03080.1	0	1306.396667	0.0971	0.2879	0.0202	0.0701	D
AT1G03090.2	958.04	1061.69	0.1081	0.1881	0.017	0.0901	both
AT1G03160.2	0	394.9086389	0.1503	0.1971	0.0244	0.124	D
AT1G03180.2	1874.64	136.1373333	0.1201	0.4767	0.0307	0.0643	both
AT1G03190.2	232.44	372.143	0.0664	0.0778	0.0054	0.0696	both
AT1G03210.1	2095.3	1336.893333	0.1769	0.3275	0.0388	0.1184	both
AT1G03250.2	1293.19	356.041	0.1487	0.1086	0.0165	0.1515	both
AT1G03270.1	287.99	66.4775	0.1018	0.07	0.0074	0.1057	both
AT1G03290.2	1799.29	864.7036667	0.1955	0.4107	0.0488	0.1187	both
AT1G03300.1	0	197.55	0.3428	0.5478	0.0971	0.1772	D
AT1G03310.2	180.96	987.2913333	0.1593	0.2294	0.0288	0.1255	both
AT1G03320.1	265.78	0	0.3044	1.0403	0.1024	0.0984	H
AT1G03350.1	968.33	691.467	0.202	0.2752	0.0435	0.1579	both
AT1G03360.1	1167.62	282.7	0.1156	0.1016	0.0115	0.1128	both
AT1G03380.1	522.74	1176.97	0.1238	0.225	0.0225	0.0999	both
AT1G03440.1	276.66	478.8194444	0.1903	0.0998	0.0187	0.1876	both
AT1G03445.1	3153.87	0	0.211	0.449	0.055	0.1224	H
AT1G03457.2	2912.19	427.726	0.1517	0.2412	0.0271	0.1123	both
AT1G03530.1	400.24	276.776	0.1765	0.4241	0.0446	0.1052	both
AT1G03550.1	3283.08	1400.263333	0.0859	0.0742	0.0065	0.0877	both
AT1G03560.1	0	181.524	0.155	0.105	0.0182	0.173	D
AT1G03600.1	177.71	5929.803333	0.1074	0.1241	0.0112	0.0905	both
AT1G03610.1	3380.68	1606.299333	0.0849	0.1185	0.0101	0.0849	both
AT1G03630.2	0	2692.315694	0.1596	0.0348	0.0067	0.1923	D
AT1G03680.1	987.96	5477.623333	0.2364	0.1974	0.0386	0.1955	both
AT1G03710.2	1470.66	0	0.3025	0.2744	0.0687	0.2504	H
AT1G03730.1	0	920.073	0.0495	0.001	1e-04	0.0558	D
AT1G03770.3	0	240.308	0.1845	0.5446	0.0517	0.095	D
AT1G03780.3	876.11	0	0.1584	0.3788	0.0365	0.0963	H
AT1G03840.2	0	214.4683333	0.1923	0.155	0.0273	0.1761	D
AT1G03860.3	1833.36	1227.63	0.1124	0.0603	0.0067	0.1113	both
AT1G03870.1	0	8209.513333	0.1564	0.1693	0.0218	0.1288	D
AT1G03905.1	1328.67	733.6426667	0.0973	0.0476	0.0049	0.102	both
AT1G03910.2	1464.51	1695.423333	0.1366	0.1085	0.0161	0.1487	both
AT1G03920.1	3711.87	610.795	0.1157	0.1326	0.0159	0.1197	both
AT1G03960.2	464.07	219.1753333	0.1595	0.1875	0.0265	0.1415	both
AT1G03970.1	866.18	1400.756667	0.1926	0.1138	0.0226	0.1985	both
AT1G03980.1	0	128.1946667	0.1342	0.1416	0.0183	0.1289	D
AT1G04000.1	750.08	377.601	0.2548	1.069	0.0865	0.081	both
AT1G04010.1	584.81	386.9326667	0.0804	0.1045	0.0085	0.0816	both
AT1G04020.2	0	191.7906667	0.2016	0.2403	0.0387	0.1611	D
AT1G04030.1	962.03	235.0061818	0.1668	0.383	0.04	0.1046	both
AT1G04040.1	0	4738.536667	0.1526	0.197	0.0264	0.1339	D
AT1G04050.1	965.41	222.8276667	0.2513	0.5462	0.0696	0.1274	both
AT1G04080.3	1609.12	1240.516667	0.1939	0.3208	0.0424	0.1323	both
AT1G04100.1	1099.77	736.14	0.2562	0.3052	0.0541	0.1771	both
AT1G04110.1	0	152.1406667	0.1064	0.1228	0.0124	0.1009	D
AT1G04130.1	620.37	294.8486667	0.1199	0.1883	0.0194	0.1028	both
AT1G04140.2	1441.69	2143.51	0.1159	0.1987	0.0192	0.0965	both
AT1G04200.1	493.94	426.1396667	0.1548	0.1349	0.0198	0.1467	both
AT1G04220.1	0	725.8923636	0.1482	0.0512	0.0092	0.1796	D
AT1G04230.1	2522.58	431.774	0.1028	0.2886	0.0217	0.0752	both
AT1G04250.1	927.53	4974.116667	0.1561	0.0665	0.0116	0.1744	both
AT1G04260.1	496.36	584.1736667	0.1558	0.0333	0.0054	0.1623	both
AT1G04270.2	5988.84	5357.065455	0.1602	0.0294	0.0058	0.1974	both
AT1G04300.4	2371.06	1613.383333	0.1846	0.4411	0.047	0.1066	both
AT1G04340.1	1640.86	1017.173273	19.6202	99	8.4219	0.0851	both
AT1G04350.1	422.81	1513.798556	0.1973	0.2431	0.0368	0.1516	both
AT1G04400.2	0	2328.29	0.1106	0.1022	0.0112	0.1092	D
AT1G04410.1	2766.07	11091.66667	0.1122	0.0311	0.0041	0.1313	both
AT1G04430.2	3369.05	1657.79	0.1321	0.0563	0.0086	0.1527	both
AT1G04490.2	0	281.9133333	0.3367	0.4734	0.0907	0.1916	D
AT1G04520.1	0	309.74	0.1234	0.116	0.0136	0.1171	D
AT1G04530.1	402.61	1113.464889	0.1806	0.2866	0.0389	0.1357	both
AT1G04540.1	11263.17	0	0.2488	0.1216	0.0281	0.2314	H
AT1G04550.2	98.31	957.3706667	0.1205	0.1176	0.0147	0.1246	both
AT1G04610.1	383.36	364.3540909	0.102	0.0527	0.0062	0.1175	both
AT1G04620.1	0	460.3870278	0.1051	0.2561	0.0194	0.0759	D
AT1G04640.2	0	1025.620694	0.1127	0.0815	0.011	0.135	D
AT1G04690.1	1632.07	3209.123333	0.1052	0.0229	0.0028	0.1231	both
AT1G04700.1	4244.61	396.934	0.1012	0.1967	0.0178	0.0906	both
AT1G04780.1	507.76	1110.46	0.1355	0.0924	0.0126	0.1359	both
AT1G04790.1	2671.8	607.3833333	0.2331	0.4599	0.0619	0.1345	both
AT1G04810.1	1329.37	701.63425	0.1241	0.1104	0.0133	0.1201	both
AT1G04830.2	3663.17	938.6723333	0.1761	0.1476	0.0245	0.1657	both
AT1G04850.1	975.96	1077.553333	0.0954	0.098	0.009	0.0916	both
AT1G04860.1	809.49	934.8885	0.1959	0.3185	0.0437	0.1372	both
AT1G04880.1	4028.65	0	0.1497	0.4338	0.0372	0.0857	H
AT1G04900.1	741.9	243.2223333	0.1043	0.1016	0.0117	0.1152	both
AT1G04910.1	749.98	611.558	0.0971	0.0813	0.0086	0.1057	both
AT1G04920.1	1513.37	0	0.101	0.0572	0.0067	0.1169	H
AT1G04945.3	0	266.6453333	0.2168	0.3703	0.051	0.1378	D
AT1G04950.3	421.36	465.1906667	0.107	0.2259	0.0188	0.0831	both
AT1G04960.2	521.59	873.9025	0.2655	0.3806	0.063	0.1656	both
AT1G04980.1	552.03	607.4207273	0.1055	0.1836	0.0171	0.0929	both
AT1G05000.2	0	1125.21	0.2154	0.1377	0.0265	0.1922	D
AT1G05030.1	361.35	496.0066667	0.1451	0.3402	0.0318	0.0936	both
AT1G05040.2	1741.09	0	0.2526	0.2588	0.0496	0.1916	H
AT1G05055.1	754.49	562.457	0.1113	0.0245	0.0032	0.1322	both
AT1G05060.1	718.7	1950.296667	0.172	0.116	0.0194	0.1675	both
AT1G05070.1	0	522.0331389	0.1621	0.1802	0.0237	0.1313	D
AT1G05120.1	2900.2	362.9216667	0.1452	0.3096	0.0314	0.1013	both
AT1G05140.1	0	1199.536194	0.1641	0.2432	0.0295	0.1212	D
AT1G05150.1	612.12	746.549	0.1301	0.0528	0.0083	0.1572	both
AT1G05160.1	644.52	619.5966667	0.1483	0.1331	0.0191	0.1433	both
AT1G05170.2	0	1206.77	0.1008	0.1328	0.0124	0.0932	D
AT1G05180.3	1436.86	1092.01	0.1448	0.1546	0.0202	0.1304	both
AT1G05190.1	422.39	3536.814917	0.1347	0.0359	0.006	0.1674	both
AT1G05200.2	0	542.136	0.1272	0.1393	0.0161	0.1157	D
AT1G05210.1	2200.04	1102.194667	0.1989	0.1341	0.0228	0.1703	both
AT1G05260.1	1365.36	4135.846667	0.1568	0.1175	0.0172	0.1467	both
AT1G05290.1	1552.11	0	0.3016	0.4015	0.0767	0.1911	H
AT1G05300.2	0	541.6736667	0.1517	0.1795	0.0214	0.1194	D
AT1G05350.1	1345.85	507.985	0.1126	0.0522	0.0064	0.1221	both
AT1G05380.2	4871.04	722.4353333	0.1567	0.3256	0.0356	0.1093	both
AT1G05385.1	448.32	661.6496667	0.1187	0.2271	0.0225	0.099	both
AT1G05410.2	310.28	208.453	0.1429	0.3404	0.032	0.094	both
AT1G05430.1	842.76	532.797	0.1902	0.3844	0.0465	0.121	both
AT1G05470.1	0	119.8563333	0.1231	0.0494	0.0072	0.1465	D
AT1G05500.1	478.47	959.3193333	0.0793	0.0744	0.0059	0.0794	both
AT1G05520.1	1821.71	652.844	0.1245	0.1275	0.0159	0.1244	both
AT1G05540.1	303.31	316.929	0.1702	0.3921	0.04	0.1021	both
AT1G05577.1	954.49	0	0.1199	0.1863	0.0194	0.1039	H
AT1G05590.1	0	289.7253333	0.1555	0.2747	0.0308	0.1122	D
AT1G05600.2	350.75	518.1603333	0.1378	0.2061	0.0247	0.1197	both
AT1G05620.2	1352.63	867.006	0.1232	0.1331	0.0155	0.1162	both
AT1G05630.2	1708.87	281.0103333	0.1052	0.0974	0.0102	0.1047	both
AT1G05670.2	433.14	89.82693333	0.222	0.2125	0.0403	0.1894	both
AT1G05750.1	820.71	0	0.1556	0.2535	0.0305	0.1203	H
AT1G05790.2	3116.02	412.6925	0.1049	0.2203	0.0181	0.0824	both
AT1G05805.1	190.22	959.564	0.1518	0.2192	0.0271	0.1237	both
AT1G05840.1	669.96	1283.533333	0.1105	0.1296	0.0147	0.1132	both
AT1G05850.1	718.02	9689.9	0.1782	0.0835	0.0156	0.1872	both
AT1G05860.1	0	160.6066667	0.2007	0.1508	0.027	0.1787	D
AT1G05890.2	2210.85	980.9793333	0.155	0.461	0.0408	0.0885	both
AT1G05910.1	3233.42	371.2096667	0.1009	0.2065	0.0172	0.0834	both
AT1G05940.1	728.28	1331.455	0.1046	0.1677	0.0148	0.088	both
AT1G06060.1	1424.86	614.1075	0.1619	0.1862	0.028	0.1505	both
AT1G06110.1	1301.48	1335.413333	0.1697	0.2118	0.0295	0.1392	both
AT1G06130.2	593.35	431.873	0.2408	0.2252	0.0432	0.1918	both
AT1G06160.1	0	262.3983333	0.1504	0.2163	0.0253	0.117	D
AT1G06180.1	0	418.566875	0.164	0.4058	0.0396	0.0975	D
AT1G06210.2	703.84	446.881	0.1604	0.0935	0.0179	0.1919	both
AT1G06230.3	657.44	1111.406667	0.1926	0.2248	0.0354	0.1577	both
AT1G06240.1	430.96	553.27475	0.1701	0.148	0.0233	0.1576	both
AT1G06390.2	0	1003.748333	0.1155	0.0628	0.0078	0.1243	D
AT1G06410.1	967.22	983.44	0.092	0.0395	0.0046	0.1161	both
AT1G06490.1	286.79	303.6593333	0.1188	0.1434	0.0158	0.1105	both
AT1G06650.2	0	1019.101	0.2226	0.3855	0.0514	0.1333	D
AT1G06670.1	848.75	586.201375	0.1671	0.4706	0.0442	0.0939	both
AT1G06680.2	450.63	13052.06667	0.0565	0.0915	0.0052	0.0571	both
AT1G06690.1	393.15	747.0508889	0.1345	0.1127	0.0148	0.131	both
AT1G06720.1	671.11	381.8093333	0.1715	0.3885	0.043	0.1107	both
AT1G06750.2	1985.39	0	0.1542	0.127	0.0185	0.1459	H
AT1G06760.1	722.19	3635.843333	0.2135	0.2228	0.0365	0.164	both
AT1G06780.2	2481.4	918.9533333	0.1137	0.1811	0.0183	0.1013	both
AT1G06820.1	470.24	598.4368889	0.1342	0.1958	0.0223	0.114	both
AT1G06890.3	3876.65	1041.54575	0.0562	0.0219	0.0013	0.0614	both
AT1G06950.1	735.18	1146.86	0.0939	0.1069	0.0094	0.0875	both
AT1G06970.1	1662.76	0	0.1401	0.1061	0.0144	0.1353	H
AT1G06980.1	0	334.784	0.1125	0.2119	0.0191	0.0903	D
AT1G07000.1	0	1254.426667	0.1713	0.1262	0.0205	0.1627	D
AT1G07010.3	0	876.5841944	0.1535	0.2896	0.0318	0.1096	D
AT1G07030.1	947.04	545.5423333	0.1521	0.0809	0.0127	0.1567	both
AT1G07060.1	2111.58	0	0.4497	0.475	0.1196	0.2518	H
AT1G07080.1	1159.08	2973.58	0.1805	0.1973	0.0307	0.1554	both
AT1G07110.1	922.34	1339.458694	0.1015	0.1357	0.0132	0.0975	both
AT1G07120.1	0	1209.9005	0.1712	0.46	0.0438	0.0952	D
AT1G07150.2	0	329.716	0.4123	0.4548	0.1041	0.2289	D
AT1G07160.1	1164.99	0	0.23	0.2671	0.0436	0.1634	H
AT1G07240.1	0	1804.696667	0.2503	0.1876	0.0371	0.1978	D
AT1G07260.1	0	585.1703333	0.2071	0.2045	0.0318	0.1557	D
AT1G07270.1	2012.79	0	0.2042	0.2948	0.0429	0.1455	H
AT1G07280.3	1166.37	1306.633333	0.2271	0.1762	0.0331	0.1881	both
AT1G07310.1	2062.8	1954.4	0.1433	0.1497	0.0172	0.1148	both
AT1G07320.4	369.59	3771.08	0.2109	0.0927	0.0197	0.2128	both
AT1G07330.1	3083	0	0.2654	0.3232	0.0608	0.1881	H
AT1G07340.1	5461	0	0.1541	0.3117	0.0317	0.1016	H
AT1G07350.2	794.01	1234.733333	0.3935	0.5378	0.1068	0.1986	both
AT1G07360.1	1958.38	772.94625	0.1679	0.1396	0.0206	0.1473	both
AT1G07380.1	320.75	573.94	0.132	0.1407	0.0172	0.1219	both
AT1G07430.1	1052.97	447.9125	0.2174	0.124	0.0258	0.2084	both
AT1G07440.2	0	1579.862861	0.1905	0.2248	0.0335	0.149	D
AT1G07450.1	231.33	213.561	0.2023	0.2588	0.0388	0.1499	both
AT1G07570.3	0	626.5993333	0.1991	0.1801	0.0316	0.1754	D
AT1G07590.1	0	228.9236667	0.1818	0.0905	0.0177	0.1957	D
AT1G07630.1	79.18	807.1163333	0.1287	0.0597	0.0092	0.1541	both
AT1G07650.2	107.03	771.1586667	0.1637	0.204	0.027	0.1323	both
AT1G07680.1	0	395.065	0.3068	0.6885	0.091	0.1322	D
AT1G07690.1	199.63	0	0.4915	1.0079	0.1641	0.1629	H
AT1G07720.1	0	444.71	0.1424	0.1242	0.017	0.1371	D
AT1G07750.1	7416.04	2021.896667	0.1625	0.1995	0.0276	0.1384	both
AT1G07870.2	216.17	527.0563333	0.195	0.0645	0.0147	0.2286	both
AT1G07890.8	6635.4	9443.806667	0.1237	0.0567	0.0074	0.1303	both
AT1G07910.2	1895.41	294.175	0.1708	0.2606	0.0344	0.132	both
AT1G07970.1	658.42	567.14225	0.1369	0.2785	0.0269	0.0967	both
AT1G07980.1	839.96	441.9063333	0.2088	0.4465	0.0529	0.1186	both
AT1G08030.1	1931.9	471.4823333	0.1561	0.2076	0.0263	0.1265	both
AT1G08060.2	1011.25	570.3573333	0.1981	0.6432	0.0579	0.09	both
AT1G08070.1	1171	0	0.1691	0.1602	0.0248	0.1546	H
AT1G08110.4	1339.52	4236.79	0.1298	0.18	0.0196	0.109	both
AT1G08135.1	2030.53	253.5336667	0.1928	0.2897	0.039	0.1345	both
AT1G08170.1	4465.3	0	0.174	0.0965	0.0178	0.1847	H
AT1G08210.1	0	794.609	0.1318	0.0957	0.0123	0.129	D
AT1G08220.2	676.14	528.7926667	0.1776	0.2778	0.0354	0.1273	both
AT1G08280.1	0	359.739	0.1716	0.1478	0.0233	0.1578	D
AT1G08320.3	0	1388.293333	0.3024	0.3783	0.0703	0.1858	D
AT1G08340.1	523.5	1842.1	0.1393	0.1351	0.0168	0.1243	both
AT1G08370.1	914.77	748.1585	0.1072	0.3541	0.0239	0.0675	both
AT1G08460.1	2121.46	1198.533333	0.1822	0.1593	0.0249	0.1561	both
AT1G08470.1	1016.64	734.6753333	0.1305	0.0818	0.0115	0.1402	both
AT1G08490.1	655.3	722.4868333	0.1236	0.0875	0.0116	0.132	both
AT1G08500.1	0	976.0643333	0.1486	0.3804	0.035	0.0919	D
AT1G08520.1	1277.35	2486.19	0.0929	0.0511	0.0054	0.1049	both
AT1G08540.1	0	819.49	0.1068	0.0845	0.0095	0.1119	D
AT1G08550.2	0	983.7813333	0.1524	0.0683	0.011	0.1614	D
AT1G08560.1	665.3	624.67	0.1393	0.0691	0.0123	0.1783	both
AT1G08570.4	0	3276.88	0.2079	0.2044	0.0372	0.1821	D
AT1G08590.1	0	871.8096667	0.1589	0.1829	0.0227	0.124	D
AT1G08600.4	8571.52	539.7676667	0.1451	0.343	0.0333	0.0971	both
AT1G08610.1	222.35	168.6913333	0.1968	0.1456	0.0281	0.1933	both
AT1G08620.2	638.33	914.663	0.1423	0.3594	0.0333	0.0926	both
AT1G08640.1	720.78	1602.804528	0.1258	0.2429	0.0232	0.0956	both
AT1G08660.2	273.93	366.4786667	0.0877	0.0851	0.0077	0.09	both
AT1G08670.1	643.36	186.7166667	0.1806	0.3159	0.0366	0.1159	both
AT1G08680.4	0	290.988	0.1637	0.6094	0.0466	0.0765	D
AT1G08700.1	573.28	889.117	0.2349	0.1092	0.0239	0.2185	both
AT1G08710.2	0	198.8113333	0.3359	0.3387	0.0778	0.2295	D
AT1G08800.2	0	455.472	0.255	0.338	0.058	0.1717	D
AT1G08860.1	1348.64	0	0.1264	0.1774	0.0192	0.1081	H
AT1G08920.3	0	1248.626	0.1698	0.2951	0.0343	0.1163	D
AT1G08940.1	0	1887.173333	0.1659	0.0958	0.017	0.1777	D
AT1G08970.4	946.99	2331.716667	0.1512	0.0427	0.0077	0.1806	both
AT1G08990.1	0	551.253	0.1709	0.2537	0.0323	0.1272	D
AT1G09020.1	1127.69	486.7326667	0.0828	0.029	0.0028	0.0976	both
AT1G09060.3	2814.98	666.4043333	0.1674	0.2543	0.0327	0.1285	both
AT1G09080.2	1280.93	0	0.1828	0.1954	0.0303	0.1553	H
AT1G09140.2	3756.59	1246.163333	0.2051	0.2976	0.0444	0.1493	both
AT1G09155.1	0	180.3566667	0.2207	0.2318	0.0402	0.1735	D
AT1G09160.2	0	498.05	0.1326	0.1222	0.0158	0.1293	D
AT1G09170.1	867.21	364.8866667	0.1932	0.2386	0.0367	0.154	both
AT1G09230.1	273.65	372.959	0.1407	0.2584	0.0267	0.1032	both
AT1G09240.1	0	792.7513333	0.136	0.2307	0.0238	0.1029	D
AT1G09280.1	629.33	973.4323333	0.1199	0.1934	0.0187	0.0966	both
AT1G09290.1	0	292.5963333	0.1804	0.5218	0.0486	0.0932	D
AT1G09300.2	370.67	252.656625	0.1397	0.1477	0.0198	0.1339	both
AT1G09310.1	0	11944.63333	0.0659	0.0345	0.0026	0.0751	D
AT1G09320.1	739.24	354.9153333	0.1666	0.1458	0.0236	0.1618	both
AT1G09330.1	2140.86	1663.676667	0.0977	0.001	1e-04	0.1173	both
AT1G09340.1	0	6760.286667	0.1006	0.1085	0.01	0.092	D
AT1G09350.1	0	430.0016667	0.1454	0.1005	0.0158	0.1569	D
AT1G09390.1	0	428.5736667	0.2023	0.1718	0.03	0.1748	D
AT1G09420.2	0	1062.56	0.1533	0.3115	0.0325	0.1042	D
AT1G09430.1	0	2741.135	0.1363	0.0291	0.0044	0.1516	D
AT1G09440.1	0	1501.53	0.1205	0.1685	0.0183	0.1089	D
AT1G09450.1	102.51	93.93956667	0.1667	0.2183	0.03	0.1374	both
AT1G09510.1	0	140.2356667	0.1781	0.226	0.0308	0.1364	D
AT1G09530.2	0	542.12	0.1969	0.2015	0.0333	0.1653	D
AT1G09570.2	0	1995.06	0.1015	0.0517	0.0057	0.1109	D
AT1G09620.1	1270.48	1214.8925	0.1621	0.2043	0.029	0.1419	both
AT1G09660.2	1479.15	268.7736667	0.1544	0.098	0.0152	0.1546	both
AT1G09720.1	1321.94	0	0.1907	0.5402	0.0528	0.0977	H
AT1G09730.2	532.44	832.8473333	0.1724	0.42	0.0438	0.1042	both
AT1G09740.1	0	2080.083333	0.1553	0.0525	0.0083	0.1587	D
AT1G09750.1	0	6273.333333	0.1529	0.0986	0.0154	0.1557	D
AT1G09760.1	881.6	762.434875	0.1078	0.1091	0.0124	0.1136	both
AT1G09770.1	1508.29	1653.903333	0.0861	0.1174	0.0104	0.0887	both
AT1G09780.1	2209.2	4359.69	0.1031	0.0584	0.0071	0.1218	both
AT1G09790.1	2612.95	189.6153333	0.1697	0.146	0.0241	0.1649	both
AT1G09795.1	488.64	687.6991111	0.2003	0.253	0.0374	0.1477	both
AT1G09800.1	0	327.9686667	0.1184	0.1849	0.0184	0.0997	D
AT1G09810.1	1860.24	263.197	0.2082	0.4914	0.0556	0.1132	both
AT1G09820.1	0	134.1253625	0.1774	0.1736	0.0293	0.1688	D
AT1G09830.1	1237.58	429.27	0.1468	0.119	0.0165	0.1385	both
AT1G09840.6	438.11	886.388	0.1059	0.0173	0.0022	0.126	both
AT1G09850.1	1138.2	950.067	0.1711	0.1168	0.0203	0.1736	both
AT1G09870.1	1177.13	594.4146364	0.0854	0.0859	0.0075	0.0876	both
AT1G09900.1	281.75	476.9698333	0.1533	0.089	0.0164	0.1845	both
AT1G09930.1	2023	0	0.1218	0.0889	0.0111	0.125	H
AT1G09940.1	2663.95	589.5863333	0.1638	0.1475	0.0214	0.1449	both
AT1G09960.1	0	663.58875	0.15	0.1107	0.0157	0.1418	D
AT1G10050.1	0	554.8393333	0.1537	0.2787	0.0309	0.1108	D
AT1G10090.1	5602.76	649.4503333	0.1392	0.3123	0.0298	0.0953	both
