Gene.ID	AFFY.ATH1	Protein.ID	Transcript.ID
AT5G62260	247473_at	AT5G62260.3	AT5G62260.3
AT5G62260	247473_at	AT5G62260.1	AT5G62260.1
AT5G62260	247473_at	AT5G62260.2	AT5G62260.2
AT4G16955		AT4G16955.1	AT4G16955.1
AT3G25717		AT3G25717.1	AT3G25717.1
AT1G45223		AT1G45223.1	AT1G45223.1
AT5G35715		AT5G35715.1	AT5G35715.1
AT5G41908		AT5G41908.1	AT5G41908.1
AT2G21390	263743_at	AT2G21390.1	AT2G21390.1
AT3G48330		AT3G48330.2	AT3G48330.2
AT3G48330		AT3G48330.3	AT3G48330.3
AT3G48330		AT3G48330.4	AT3G48330.4
AT3G48330		AT3G48330.1	AT3G48330.1
AT4G32710	253397_at	AT4G32710.1	AT4G32710.1
AT3G46440	252527_at	AT3G46440.1	AT3G46440.1
AT3G46440	252527_at	AT3G46440.2	AT3G46440.2
AT2G21930	263896_at	AT2G21930.1	AT2G21930.1
AT2G21930	263896_at	AT2G21930.2	AT2G21930.2
AT3G53910	251913_at	AT3G53910.1	AT3G53910.1
AT4G25090	254092_at	AT4G25090.1	AT4G25090.1
AT4G25090	254092_at	AT4G25090.2	AT4G25090.2
AT2G18870		AT2G18870.1	AT2G18870.1
AT1G56250		AT1G56250.1	AT1G56250.1
AT3G16830	257553_at	AT3G16830.1	AT3G16830.1
AT5G20470	246081_s_at	AT5G20470.1	AT5G20470.1
AT5G04950	250832_at	AT5G04950.1	AT5G04950.1
AT4G13720	254686_at	AT4G13720.1	AT4G13720.1
AT4G13720	254686_at	AT4G13720.2	AT4G13720.2
AT5G50110	248538_at	AT5G50110.1	AT5G50110.1
AT5G50110	248538_at	AT5G50110.2	AT5G50110.2
AT3G03305	258848_at	AT3G03305.1	AT3G03305.1
AT5G66670	247051_at	AT5G66670.2	AT5G66670.2
AT5G66670	247051_at	AT5G66670.4	AT5G66670.4
AT5G66670	247051_at	AT5G66670.3	AT5G66670.3
AT5G66670	247051_at	AT5G66670.1	AT5G66670.1
AT4G08039		AT4G08039.1	AT4G08039.1
AT2G38310	267034_at	AT2G38310.1	AT2G38310.1
AT2G26900	266857_at	AT2G26900.1	AT2G26900.1
AT5G23000	249858_at	AT5G23000.1	AT5G23000.1
AT1G66852		AT1G66852.1	AT1G66852.1
AT1G69810	260403_at	AT1G69810.2	AT1G69810.2
AT1G69810	260403_at	AT1G69810.1	AT1G69810.1
AT1G72450	260429_at	AT1G72450.2	AT1G72450.2
AT1G72450	260429_at	AT1G72450.1	AT1G72450.1
AT5G03560	250896_at	AT5G03560.3	AT5G03560.3
AT5G03560		AT5G03560.4	AT5G03560.4
AT5G03560	250896_at	AT5G03560.1	AT5G03560.1
AT5G03560	250896_at	AT5G03560.2	AT5G03560.2
AT4G27340		AT4G27340.3	AT4G27340.3
AT4G27340	253912_at	AT4G27340.2	AT4G27340.2
AT4G27340	253912_at	AT4G27340.1	AT4G27340.1
AT1G76280	261775_at	AT1G76280.4	AT1G76280.4
AT1G76280	261775_at	AT1G76280.2	AT1G76280.2
AT1G76280	261775_at	AT1G76280.5	AT1G76280.5
AT1G76280	261775_at	AT1G76280.3	AT1G76280.3
AT1G76280	261775_at	AT1G76280.1	AT1G76280.1
AT3G03272		AT3G03272.1	AT3G03272.1
AT3G28960	257543_at	AT3G28960.1	AT3G28960.1
AT3G28960	257543_at	AT3G28960.4	AT3G28960.4
AT3G28960	257543_at	AT3G28960.3	AT3G28960.3
AT3G28960	257543_at	AT3G28960.2	AT3G28960.2
AT3G28960	257543_at	AT3G28960.5	AT3G28960.5
AT1G65630	264631_at	AT1G65630.1	AT1G65630.1
AT3G10210	259152_at	AT3G10210.1	AT3G10210.1
AT4G27830	253841_at	AT4G27830.2	AT4G27830.2
AT4G27830	253841_at	AT4G27830.1	AT4G27830.1
AT1G71390	259893_at	AT1G71390.2	AT1G71390.2
AT1G71390	259893_at	AT1G71390.1	AT1G71390.1
AT5G46260	248851_s_at	AT5G46260.1	AT5G46260.1
AT2G32710	267557_at	AT2G32710.2	AT2G32710.2
AT2G32710	267557_at	AT2G32710.1	AT2G32710.1
AT5G27680	246734_at	AT5G27680.2	AT5G27680.2
AT5G27680	246734_at	AT5G27680.3	AT5G27680.3
AT5G27680	246734_at	AT5G27680.5	AT5G27680.5
AT5G27680	246734_at	AT5G27680.4	AT5G27680.4
AT5G27680	246734_at	AT5G27680.1	AT5G27680.1
AT5G27680	246734_at	AT5G27680.6	AT5G27680.6
AT4G19380	254572_at	AT4G19380.1	AT4G19380.1
AT4G19380	254572_at	AT4G19380.2	AT4G19380.2
AT5G61960	247506_at	AT5G61960.2	AT5G61960.2
AT5G61960	247506_at	AT5G61960.10	AT5G61960.10
AT5G61960	247506_at	AT5G61960.5	AT5G61960.5
AT5G61960	247506_at	AT5G61960.9	AT5G61960.9
AT5G61960	247506_at	AT5G61960.6	AT5G61960.6
AT5G61960	247506_at	AT5G61960.11	AT5G61960.11
AT5G61960	247506_at	AT5G61960.1	AT5G61960.1
AT5G61960	247506_at	AT5G61960.3	AT5G61960.3
AT5G61960	247506_at	AT5G61960.8	AT5G61960.8
AT5G61960	247506_at	AT5G61960.4	AT5G61960.4
AT5G61960	247506_at	AT5G61960.7	AT5G61960.7
AT4G29180	253734_at	AT4G29180.2	AT4G29180.2
AT4G29180	253734_at	AT4G29180.1	AT4G29180.1
AT4G29180	253734_at	AT4G29180.3	AT4G29180.3
AT3G09680	258712_s_at	AT3G09680.1	AT3G09680.1
AT1G56233		AT1G56233.1	AT1G56233.1
AT1G15210	262575_at	AT1G15210.1	AT1G15210.1
AT3G63470	251116_at	AT3G63470.1	AT3G63470.1
AT2G16970	266525_at	AT2G16970.1	AT2G16970.1
AT2G16970		AT2G16970.8	AT2G16970.8
AT2G16970		AT2G16970.6	AT2G16970.6
AT2G16970		AT2G16970.3	AT2G16970.3
AT2G16970	266525_at	AT2G16970.7	AT2G16970.7
AT2G16970		AT2G16970.4	AT2G16970.4
AT2G16970	266525_at	AT2G16970.2	AT2G16970.2
AT2G16970	266525_at	AT2G16970.5	AT2G16970.5
AT1G15250	262594_at	AT1G15250.1	AT1G15250.1
AT1G15250	262594_at	AT1G15250.2	AT1G15250.2
AT1G79700	261395_at	AT1G79700.2	AT1G79700.2
AT1G79700	261395_at	AT1G79700.3	AT1G79700.3
AT1G79700	261395_at	AT1G79700.1	AT1G79700.1
AT1G79700	261395_at	AT1G79700.4	AT1G79700.4
AT2G46620	265450_at	AT2G46620.1	AT2G46620.1
AT3G46920	252469_at	AT3G46920.1	AT3G46920.1
AT3G46920	252469_at	AT3G46920.2	AT3G46920.2
AT2G43750	260566_at	AT2G43750.2	AT2G43750.2
AT2G43750	260566_at	AT2G43750.1	AT2G43750.1
AT1G62895		AT1G62895.1	AT1G62895.1
AT2G24490	265695_at	AT2G24490.2	AT2G24490.2
AT2G24490	265695_at	AT2G24490.1	AT2G24490.1
AT3G57080	251662_at	AT3G57080.1	AT3G57080.1
AT3G13820	257603_at	AT3G13820.1	AT3G13820.1
AT2G15080	265917_at	AT2G15080.2	AT2G15080.2
AT2G15080	265917_at	AT2G15080.1	AT2G15080.1
AT1G73360	245726_at	AT1G73360.1	AT1G73360.1
AT1G16360	262755_at	AT1G16360.1	AT1G16360.1
AT1G16360	262755_at	AT1G16360.4	AT1G16360.4
AT1G16360	262755_at	AT1G16360.5	AT1G16360.5
AT1G16360	262755_at	AT1G16360.3	AT1G16360.3
AT1G16360	262755_at	AT1G16360.2	AT1G16360.2
AT1G10225		AT1G10225.1	AT1G10225.1
AT3G49770	252249_at	AT3G49770.1	AT3G49770.1
AT4G31660		AT4G31660.1	AT4G31660.1
AT1G26670	261276_at	AT1G26670.1	AT1G26670.1
AT1G34855		AT1G34855.1	AT1G34855.1
AT1G52200	259841_at	AT1G52200.1	AT1G52200.1
AT1G52200	259841_at	AT1G52200.2	AT1G52200.2
AT1G57800		AT1G57800.2	AT1G57800.2
AT1G57800		AT1G57800.1	AT1G57800.1
AT4G23200	254242_at	AT4G23200.1	AT4G23200.1
AT4G23200	254242_at	AT4G23200.2	AT4G23200.2
AT1G69460		AT1G69460.1	AT1G69460.1
AT1G04310	263653_at	AT1G04310.2	AT1G04310.2
AT1G04310	263653_at	AT1G04310.1	AT1G04310.1
AT1G08080	260649_at	AT1G08080.1	AT1G08080.1
AT2G37678	267161_at	AT2G37678.1	AT2G37678.1
AT2G37678	267161_at	AT2G37678.2	AT2G37678.2
AT3G56070	251740_at	AT3G56070.2	AT3G56070.2
AT3G56070	251740_at	AT3G56070.1	AT3G56070.1
AT5G15420	246552_at	AT5G15420.1	AT5G15420.1
AT5G06020	250759_at	AT5G06020.1	AT5G06020.1
AT3G15251		AT3G15251.1	AT3G15251.1
AT1G75550	262974_at	AT1G75550.2	AT1G75550.2
AT1G75550	262974_at	AT1G75550.1	AT1G75550.1
AT1G71890	260170_at	AT1G71890.1	AT1G71890.1
AT1G05430	261386_at	AT1G05430.1	AT1G05430.1
AT4G29810	253646_at	AT4G29810.3	AT4G29810.3
AT4G29810	253646_at	AT4G29810.1	AT4G29810.1
AT4G29810	253646_at	AT4G29810.2	AT4G29810.2
AT3G02780	258619_at	AT3G02780.1	AT3G02780.1
AT3G02780	258619_at	AT3G02780.2	AT3G02780.2
AT4G26560	253968_at	AT4G26560.1	AT4G26560.1
AT1G80870	261883_at	AT1G80870.1	AT1G80870.1
AT4G23670	254225_at	AT4G23670.1	AT4G23670.1
AT2G46225	266591_at	AT2G46225.3	AT2G46225.3
AT2G46225	266591_at	AT2G46225.2	AT2G46225.2
AT2G46225	266591_at	AT2G46225.1	AT2G46225.1
AT5G18730		AT5G18730.1	AT5G18730.1
AT5G67570	247004_at	AT5G67570.1	AT5G67570.1
AT1G75310	261117_at	AT1G75310.1	AT1G75310.1
AT1G75310	261117_at	AT1G75310.2	AT1G75310.2
AT5G29054		AT5G29054.1	AT5G29054.1
AT2G27700	266245_at	AT2G27700.2	AT2G27700.2
AT2G27700	266245_at	AT2G27700.1	AT2G27700.1
AT1G02010		AT1G02010.4	AT1G02010.4
AT1G02010		AT1G02010.6	AT1G02010.6
AT1G02010		AT1G02010.1	AT1G02010.1
AT1G02010		AT1G02010.5	AT1G02010.5
AT1G02010		AT1G02010.2	AT1G02010.2
AT1G02010		AT1G02010.3	AT1G02010.3
AT1G47900	259806_at	AT1G47900.1	AT1G47900.1
AT1G47900	259806_at	AT1G47900.3	AT1G47900.3
AT1G47900	259806_at	AT1G47900.2	AT1G47900.2
AT5G57625		AT5G57625.1	AT5G57625.1
AT4G02725		AT4G02725.1	AT4G02725.1
AT4G02725		AT4G02725.2	AT4G02725.2
AT1G14315		AT1G14315.2	AT1G14315.2
AT1G14315		AT1G14315.1	AT1G14315.1
AT5G66440	247049_at	AT5G66440.1	AT5G66440.1
AT4G35440	253141_at	AT4G35440.2	AT4G35440.2
AT4G35440	253141_at	AT4G35440.1	AT4G35440.1
AT3G52460	252046_at	AT3G52460.1	AT3G52460.1
AT4G26240	254010_at	AT4G26240.1	AT4G26240.1
AT3G55380	251802_at	AT3G55380.2	AT3G55380.2
AT3G55380	251802_at	AT3G55380.1	AT3G55380.1
AT2G16953		AT2G16953.1	AT2G16953.1
AT2G22320	263455_at	AT2G22320.1	AT2G22320.1
AT1G26760	261262_at	AT1G26760.1	AT1G26760.1
AT1G05250	264567_s_at	AT1G05250.1	AT1G05250.1
AT3G44560	252640_at	AT3G44560.1	AT3G44560.1
AT3G44560	252640_at	AT3G44560.2	AT3G44560.2
AT3G44560	252640_at	AT3G44560.3	AT3G44560.3
AT1G67260		AT1G67260.3	AT1G67260.3
AT1G67260		AT1G67260.2	AT1G67260.2
AT1G67260		AT1G67260.1	AT1G67260.1
AT4G31950	253503_at	AT4G31950.1	AT4G31950.1
AT5G51680	248424_at	AT5G51680.1	AT5G51680.1
AT4G10925	254953_at	AT4G10925.1	AT4G10925.1
AT4G10925	254953_at	AT4G10925.5	AT4G10925.5
AT4G10925	254953_at	AT4G10925.4	AT4G10925.4
AT4G10925	254953_at	AT4G10925.2	AT4G10925.2
AT4G10925	254953_at	AT4G10925.3	AT4G10925.3
AT3G56520	251691_at	AT3G56520.1	AT3G56520.1
AT1G24575	265025_at	AT1G24575.1	AT1G24575.1
AT4G31690		AT4G31690.1	AT4G31690.1
AT1G12790	261205_at	AT1G12790.1	AT1G12790.1
AT4G34640	253206_at	AT4G34640.1	AT4G34640.1
AT4G34640	253206_at	AT4G34640.2	AT4G34640.2
AT4G03340	255424_at	AT4G03340.2	AT4G03340.2
AT4G03340	255424_at	AT4G03340.1	AT4G03340.1
AT2G37260	265954_at	AT2G37260.1	AT2G37260.1
AT2G37260	265954_at	AT2G37260.2	AT2G37260.2
AT2G37260	265954_at	AT2G37260.3	AT2G37260.3
AT5G54610	248169_at	AT5G54610.1	AT5G54610.1
AT3G27970		AT3G27970.1	AT3G27970.1
AT4G13550	254715_at	AT4G13550.1	AT4G13550.1
AT4G13550	254715_at	AT4G13550.3	AT4G13550.3
AT4G13550	254715_at	AT4G13550.2	AT4G13550.2
AT1G04850	261153_at	AT1G04850.1	AT1G04850.1
AT1G04850	261153_at	AT1G04850.2	AT1G04850.2
AT5G20560	246086_at	AT5G20560.1	AT5G20560.1
AT3G17420	257295_at	AT3G17420.1	AT3G17420.1
AT3G08780	258668_at	AT3G08780.1	AT3G08780.1
AT3G08780	258668_at	AT3G08780.2	AT3G08780.2
AT1G31760	246581_at	AT1G31760.1	AT1G31760.1
AT5G65470	247186_at	AT5G65470.1	AT5G65470.1
AT1G33250	256533_at	AT1G33250.1	AT1G33250.1
AT1G74000	260335_at	AT1G74000.1	AT1G74000.1
AT3G55660	251778_at	AT3G55660.1	AT3G55660.1
AT3G55660	251778_at	AT3G55660.2	AT3G55660.2
AT4G15562		AT4G15562.1	AT4G15562.1
AT3G48480	252360_at	AT3G48480.1	AT3G48480.1
AT5G66420	247077_at	AT5G66420.3	AT5G66420.3
AT5G66420	247077_at	AT5G66420.1	AT5G66420.1
AT5G66420	247077_at	AT5G66420.2	AT5G66420.2
AT3G02740	258615_at	AT3G02740.1	AT3G02740.1
AT3G02740	258615_at	AT3G02740.2	AT3G02740.2
AT1G55580	265072_at	AT1G55580.1	AT1G55580.1
AT1G53903	262226_at	AT1G53903.1	AT1G53903.1
AT3G63400	251177_at	AT3G63400.1	AT3G63400.1
AT3G63400	251177_at	AT3G63400.4	AT3G63400.4
AT3G63400	251177_at	AT3G63400.3	AT3G63400.3
AT3G63400		AT3G63400.2	AT3G63400.2
AT1G19715	261133_at	AT1G19715.1	AT1G19715.1
AT1G19715	261133_at	AT1G19715.2	AT1G19715.2
AT1G19715	261133_at	AT1G19715.3	AT1G19715.3
AT5G62750	247402_at	AT5G62750.1	AT5G62750.1
AT2G04031		AT2G04031.1	AT2G04031.1
AT3G06130		AT3G06130.2	AT3G06130.2
AT3G06130	256402_at	AT3G06130.1	AT3G06130.1
AT5G50000	248529_at	AT5G50000.2	AT5G50000.2
AT5G50000	248529_at	AT5G50000.1	AT5G50000.1
AT1G69430	256292_at	AT1G69430.1	AT1G69430.1
AT1G53340	260646_at	AT1G53340.3	AT1G53340.3
AT1G53340	260646_at	AT1G53340.2	AT1G53340.2
AT1G53340	260646_at	AT1G53340.1	AT1G53340.1
ATCG00160	244996_at	ATCG00160.1	ATCG00160.1
AT3G05660	258893_at	AT3G05660.1	AT3G05660.1
AT2G16130	263087_s_at	AT2G16130.1	AT2G16130.1
AT5G63820	247349_at	AT5G63820.1	AT5G63820.1
AT3G17140	257877_at	AT3G17140.1	AT3G17140.1
AT3G24110	257245_at	AT3G24110.1	AT3G24110.1
AT3G24110	257245_at	AT3G24110.2	AT3G24110.2
AT1G29890		AT1G29890.3	AT1G29890.3
AT1G29890		AT1G29890.1	AT1G29890.1
AT1G29890		AT1G29890.2	AT1G29890.2
AT2G47560	245171_at	AT2G47560.1	AT2G47560.1
AT4G28600	253783_at	AT4G28600.3	AT4G28600.3
AT4G28600	253783_at	AT4G28600.2	AT4G28600.2
AT4G28600	253783_at	AT4G28600.1	AT4G28600.1
AT1G80290	260301_at	AT1G80290.2	AT1G80290.2
AT1G80290	260301_at	AT1G80290.1	AT1G80290.1
AT1G56540	245654_at	AT1G56540.1	AT1G56540.1
AT1G56540	245654_at	AT1G56540.2	AT1G56540.2
AT2G37390	266008_at	AT2G37390.1	AT2G37390.1
AT2G37390	266008_at	AT2G37390.2	AT2G37390.2
AT2G06050	265530_at	AT2G06050.3	AT2G06050.3
AT2G06050	265530_at	AT2G06050.1	AT2G06050.1
AT2G06050	265530_at	AT2G06050.2	AT2G06050.2
AT3G20920	256804_at	AT3G20920.1	AT3G20920.1
AT3G20920	256804_at	AT3G20920.2	AT3G20920.2
AT5G26220	246884_at	AT5G26220.1	AT5G26220.1
AT5G26220	246884_at	AT5G26220.2	AT5G26220.2
AT3G54830		AT3G54830.1	AT3G54830.1
AT3G54830		AT3G54830.2	AT3G54830.2
AT3G09190		AT3G09190.1	AT3G09190.1
AT3G05545		AT3G05545.1	AT3G05545.1
AT1G48650	256140_at	AT1G48650.2	AT1G48650.2
AT1G48650	256140_at	AT1G48650.1	AT1G48650.1
AT4G27400	253914_at	AT4G27400.1	AT4G27400.1
AT2G35250		AT2G35250.1	AT2G35250.1
AT5G15730	246529_at	AT5G15730.1	AT5G15730.1
AT5G15730	246529_at	AT5G15730.2	AT5G15730.2
AT5G15730	246529_at	AT5G15730.3	AT5G15730.3
AT1G22670	264196_at	AT1G22670.1	AT1G22670.1
AT1G07030	256055_at	AT1G07030.1	AT1G07030.1
AT5G61930	247507_at	AT5G61930.2	AT5G61930.2
AT5G61930	247507_at	AT5G61930.1	AT5G61930.1
AT4G27260	253908_at	AT4G27260.1	AT4G27260.1
AT1G69860	260400_at	AT1G69860.1	AT1G69860.1
AT1G10120	264517_at	AT1G10120.1	AT1G10120.1
AT1G10120	264517_at	AT1G10120.2	AT1G10120.2
AT5G08760		AT5G08760.1	AT5G08760.1
AT2G38390	267053_s_at	AT2G38390.1	AT2G38390.1
AT1G43650	260812_at	AT1G43650.2	AT1G43650.2
AT1G43650	260812_at	AT1G43650.1	AT1G43650.1
AT3G26470	256877_at	AT3G26470.1	AT3G26470.1
AT1G09960	264662_at	AT1G09960.1	AT1G09960.1
AT4G27370	253913_at	AT4G27370.3	AT4G27370.3
AT4G27370	253913_at	AT4G27370.4	AT4G27370.4
AT4G27370	253913_at	AT4G27370.1	AT4G27370.1
AT4G27370	253913_at	AT4G27370.2	AT4G27370.2
AT2G25250	263613_at	AT2G25250.1	AT2G25250.1
AT5G42110		AT5G42110.1	AT5G42110.1
AT1G51990	265052_at	AT1G51990.2	AT1G51990.2
AT1G51990	265052_at	AT1G51990.1	AT1G51990.1
AT5G23030	249868_at	AT5G23030.1	AT5G23030.1
AT3G51100	252141_at	AT3G51100.3	AT3G51100.3
AT3G51100	252141_at	AT3G51100.1	AT3G51100.1
AT3G51100	252141_at	AT3G51100.2	AT3G51100.2
AT3G29580		AT3G29580.1	AT3G29580.1
AT3G28370		AT3G28370.5	AT3G28370.5
AT3G28370		AT3G28370.3	AT3G28370.3
AT3G28370		AT3G28370.2	AT3G28370.2
AT3G28370		AT3G28370.1	AT3G28370.1
AT3G28370		AT3G28370.4	AT3G28370.4
AT2G15710		AT2G15710.1	AT2G15710.1
AT5G20250	246114_at	AT5G20250.2	AT5G20250.2
AT5G20250	246114_at	AT5G20250.4	AT5G20250.4
AT5G20250	246114_at	AT5G20250.1	AT5G20250.1
AT5G20250	246114_at	AT5G20250.3	AT5G20250.3
AT4G21470	254417_at	AT4G21470.1	AT4G21470.1
AT4G05220		AT4G05220.1	AT4G05220.1
AT4G04730	255293_at	AT4G04730.1	AT4G04730.1
AT2G33520	255840_at	AT2G33520.1	AT2G33520.1
AT1G53625		AT1G53625.1	AT1G53625.1
AT1G63360	265109_s_at	AT1G63360.1	AT1G63360.1
AT1G63360	265109_s_at	AT1G63360.2	AT1G63360.2
AT1G33330	256536_at	AT1G33330.2	AT1G33330.2
AT1G33330	256536_at	AT1G33330.3	AT1G33330.3
AT1G33330	256536_at	AT1G33330.1	AT1G33330.1
AT3G26840	258259_s_at	AT3G26840.1	AT3G26840.1
AT1G74929		AT1G74929.1	AT1G74929.1
AT3G29010	258056_at	AT3G29010.1	AT3G29010.1
AT3G29010	258056_at	AT3G29010.2	AT3G29010.2
AT3G29010	258056_at	AT3G29010.5	AT3G29010.5
AT3G29010	258056_at	AT3G29010.3	AT3G29010.3
AT3G29010	258056_at	AT3G29010.6	AT3G29010.6
AT3G29010	258056_at	AT3G29010.4	AT3G29010.4
AT3G10450	258923_at	AT3G10450.1	AT3G10450.1
AT3G10450	258923_at	AT3G10450.3	AT3G10450.3
AT3G10450	258923_at	AT3G10450.2	AT3G10450.2
AT3G10450	258923_at	AT3G10450.4	AT3G10450.4
AT4G12485		AT4G12485.1	AT4G12485.1
AT4G34800		AT4G34800.1	AT4G34800.1
AT4G28340		AT4G28340.1	AT4G28340.1
AT1G63430	261552_at	AT1G63430.1	AT1G63430.1
AT1G63430	261552_at	AT1G63430.2	AT1G63430.2
AT1G63430	261552_at	AT1G63430.3	AT1G63430.3
AT3G14510	257274_at	AT3G14510.1	AT3G14510.1
AT1G80720	261898_at	AT1G80720.2	AT1G80720.2
AT1G80720	261898_at	AT1G80720.1	AT1G80720.1
AT1G69770	260417_at	AT1G69770.1	AT1G69770.1
AT1G08460	261720_at	AT1G08460.1	AT1G08460.1
AT1G08460	261720_at	AT1G08460.2	AT1G08460.2
AT1G78710	264297_at	AT1G78710.1	AT1G78710.1
AT1G78710	264297_at	AT1G78710.2	AT1G78710.2
AT4G03820	255348_at	AT4G03820.2	AT4G03820.2
AT4G03820	255348_at	AT4G03820.1	AT4G03820.1
AT4G03820	255348_at	AT4G03820.3	AT4G03820.3
AT4G03820	255348_at	AT4G03820.4	AT4G03820.4
AT3G28930	258002_at	AT3G28930.3	AT3G28930.3
AT3G28930	258002_at	AT3G28930.2	AT3G28930.2
AT3G28930	258002_at	AT3G28930.1	AT3G28930.1
AT3G52950	252016_at	AT3G52950.2	AT3G52950.2
AT3G52950	252016_at	AT3G52950.1	AT3G52950.1
AT2G26330	267376_at	AT2G26330.1	AT2G26330.1
AT1G08610	264806_at	AT1G08610.1	AT1G08610.1
AT3G57620	251595_at	AT3G57620.1	AT3G57620.1
AT5G08070	250566_at	AT5G08070.1	AT5G08070.1
AT5G08070	250566_at	AT5G08070.2	AT5G08070.2
AT1G17540	260737_at	AT1G17540.1	AT1G17540.1
AT2G39280	266987_at	AT2G39280.1	AT2G39280.1
AT2G39280	266987_at	AT2G39280.2	AT2G39280.2
AT1G27380	264495_at	AT1G27380.3	AT1G27380.3
AT1G27380	264495_at	AT1G27380.4	AT1G27380.4
AT1G27380	264495_at	AT1G27380.2	AT1G27380.2
AT1G27380	264495_at	AT1G27380.1	AT1G27380.1
AT1G58643		AT1G58643.2	AT1G58643.2
AT1G58643		AT1G58643.1	AT1G58643.1
AT5G08450	246059_at	AT5G08450.2	AT5G08450.2
AT5G08450	246059_at	AT5G08450.1	AT5G08450.1
AT5G08450	246059_at	AT5G08450.3	AT5G08450.3
AT5G14030	250209_at	AT5G14030.3	AT5G14030.3
AT5G14030	250209_at	AT5G14030.4	AT5G14030.4
AT5G14030	250209_at	AT5G14030.1	AT5G14030.1
AT5G14030	250209_at	AT5G14030.5	AT5G14030.5
AT5G14030	250209_at	AT5G14030.2	AT5G14030.2
AT1G48953		AT1G48953.1	AT1G48953.1
AT5G66080	247126_at	AT5G66080.1	AT5G66080.1
AT5G66080	247126_at	AT5G66080.2	AT5G66080.2
AT2G47730	266502_at	AT2G47730.1	AT2G47730.1
AT2G47730	266461_at	AT2G47730.1	AT2G47730.1
AT2G47730	266461_at	AT2G47730.2	AT2G47730.2
AT2G02310	266232_at	AT2G02310.1	AT2G02310.1
AT4G11020	254949_at	AT4G11020.1	AT4G11020.1
AT3G50670	252182_at	AT3G50670.2	AT3G50670.2
AT3G50670	252182_at	AT3G50670.1	AT3G50670.1
AT1G51440	260491_at	AT1G51440.1	AT1G51440.1
AT2G07719	265235_s_at	AT2G07719.1	AT2G07719.1
AT1G18871		AT1G18871.1	AT1G18871.1
AT1G25210		AT1G25210.2	AT1G25210.2
AT1G25210		AT1G25210.1	AT1G25210.1
AT1G21610	262487_at	AT1G21610.6	AT1G21610.6
AT1G21610	262487_at	AT1G21610.1	AT1G21610.1
AT1G21610	262487_at	AT1G21610.4	AT1G21610.4
AT1G21610	262487_at	AT1G21610.5	AT1G21610.5
AT1G21610	262487_at	AT1G21610.3	AT1G21610.3
AT1G21610	262487_at	AT1G21610.2	AT1G21610.2
AT5G05340	250798_at	AT5G05340.1	AT5G05340.1
AT5G45440	248943_s_at	AT5G45440.1	AT5G45440.1
AT4G05110	255261_s_at	AT4G05110.1	AT4G05110.1
AT4G05110	255261_s_at	AT4G05110.3	AT4G05110.3
AT4G05110	255261_s_at	AT4G05110.2	AT4G05110.2
AT5G25380	246938_at	AT5G25380.4	AT5G25380.4
AT5G25380	246938_at	AT5G25380.1	AT5G25380.1
AT5G25380	246938_at	AT5G25380.2	AT5G25380.2
AT5G25380	246938_at	AT5G25380.3	AT5G25380.3
AT3G44080	252664_at	AT3G44080.1	AT3G44080.1
AT1G79710	261344_at	AT1G79710.3	AT1G79710.3
AT1G79710	261344_at	AT1G79710.1	AT1G79710.1
AT1G79710	261344_at	AT1G79710.2	AT1G79710.2
AT5G56920	247932_at	AT5G56920.1	AT5G56920.1
