Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
Q8K0L9	741	21.84	23.16
P11344	533	24.84	27.11
Q14AK4	347	26.44	29.25
Q9CWU2	622	26.25	29.23
P07607	307	24.49	26.69
Q810J8	777	23.25	24.97
Q8CFJ9	790	23.34	25.08
Q3UDP0	460	23.41	25.65
Q8BHB4	942	23.54	25.98
O70230	638	21.71	23.14
P35918	1367	23.35	25.62
P13439	481	22.46	24.9
Q8C1M2	176	19.28	18.77
Q7TSI0	686	24.32	25.57
O35633	525	24.63	27.76
Q9ERU3	237	24.25	25.31
P83741	2377	20.59	22.02
Q8BY46	900	22.55	23.14
Q8CJ78	1038	21.24	22.01
Q8VIC7	318	26.23	29.61
Q91ZC0	321	26.36	29.95
Q8C7U1	537	21.52	22.2
Q8R0M8	500	25.62	29.17
Q7TT50	1713	22.98	24.71
O54909	317	24.61	27.61
P58069	847	23.85	26.21
Q9DB60	201	22.3	24.95
Q9CWH4	259	22.13	24.03
Q9WUK4	349	23.05	25.36
Q9D0F6	339	23.54	26.01
Q8VCG9	231	19.87	21.07
P46664	456	23.13	25.59
Q9DBX1	137	20.95	22.99
P08556	189	22.93	25.49
P82343	430	25.42	27.2
O08989	208	24.36	26.73
P35285	194	23.68	25.86
P83861	433	25.64	28.48
P49194	1234	22.54	24.67
O35963	229	23.84	25.88
Q3UA37	777	22.15	23.32
Q8BX09	538	22.38	24.52
Q0VBP7	198	25.24	27.04
Q99LM9	335	23.19	25.13
Q05A13	316	24.85	28.24
Q8BN82	495	25.33	28.6
P59158	1002	24.43	27.27
Q91Y63	600	25.15	28.24
Q8CGF7	1100	22.43	23.21
Q924T3	326	22.46	24.23
Q8VDI7	409	21.75	23.48
Q9ES00	1173	23.36	25.42
Q62520	530	21.67	22.83
A4Q9F4	727	23.74	25.61
D4PHA7	571	24.46	26.63
O54929	404	24.69	26.93
Q78T54	101	24.98	28.2
Q9CQU5	252	21.78	23.5
Q3UDE2	639	24.93	26.54
Q9EQ48	279	25.75	29.12
Q61467	341	23.31	24.32
A2A791	1549	22.63	24.67
G5E869	1843	23.1	23.87
Q0KK59	2596	23.37	25.51
Q3U3I9	1058	22.27	23.49
Q9EP53	1161	21.95	23.57
Q61037	1814	23.18	25.29
B2RUI1	696	23.36	23.88
Q9CQK1	151	21.86	23.34
Q80VJ6	506	22.55	23.61
Q80X41	440	23.35	25.33
D3YX43	558	22.04	24.01
Q9D3A9	450	23	25.63
Q9Z0K8	512	24.57	27.25
P70460	375	20.6	21.12
Q80W47	445	22.49	25
P22893	319	21.46	22.56
P27870	845	24.41	26.38
Q9QZ88	182	24.75	27.62
Q5KU39	853	24.38	26.6
Q5SPW0	977	23.42	25.74
P29788	478	24.13	25.75
Q99KJ5	263	21.36	22.77
Q3TYE7	245	26.94	29.69
P14131	146	23.73	25.96
Q717B4	365	25.1	27.81
Q8C4U2	746	24.31	26.61
P05531	208	23.57	25.69
Q9R0G7	1215	22.37	23.84
P25688	303	25.17	27.44
Q99K23	461	24.49	26.8
P51612	930	22.55	24
Q5NCI0	926	23.6	25.49
Q3U3V8	786	23.4	25.25
Q9JKB3	361	20.59	21
Q9DBR1	951	23.99	25.57
Q9ES64	910	22.93	24.33
Q9Z255	152	23.35	24.92
P52479	792	22.32	24.2
Q4G0F8	1135	21.48	23.36
P56399	858	23.12	25.11
Q69AB2	127	24.78	27.46
Q6WKZ8	1755	23.98	25.89
B1AX39	541	23.22	24.32
Q6PGE4	1016	21.99	22.46
Q9JII7	171	23.69	24.78
P23607	742	23.62	25.12
Q9JMH6	613	23.2	25.41
Q62463	423	25.05	27.58
Q8R090	521	24.06	27.26
B2KFW1	1030	22.63	23.58
P42932	548	22.47	25.16
Q8CH02	643	22.79	24.04
P10754	512	22.63	23.45
Q62521	466	22.98	24.07
Q8C6G8	641	22.67	24.77
Q6P1E1	1072	21.98	23.02
Q80VW5	918	21.16	22.77
Q8BL48	810	21.89	23.08
Q80WR1	248	25.73	29.32
Q8BJM5	460	24.58	27.32
Q6DI92	447	23.69	25.42
Q9D6E4	239	21.32	22.47
Q80WQ2	782	23.46	26.08
Q91V51	423	25.17	27.78
Q62523	564	21.54	21.98
Q9R1Q9	463	24.03	27.03
Q8BWQ6	963	24.05	26.7
Q8R0A2	453	22.02	23.64
Q68FG0	224	22.75	23.59
P59267	366	25.83	28.36
Q3UR50	1248	21.62	22.87
Q8C8N3	324	21.74	22.46
Q9JJA4	423	23.82	26.29
Q4VBE8	431	23.25	25.58
Q9CPW7	199	23.87	25.76
Q9EP82	413	23.03	25.08
Q8R5C8	602	24.56	25.8
Q3U3T8	1523	22.44	24.23
Q8CA03	479	24.17	27.57
Q8BH05	703	21.62	22.74
Q8C0P7	1056	23.74	25.2
O54887	585	20.61	21.68
Q8BJU2	239	25.68	29.38
Q8BGV5	572	22.71	23.62
Q9DAH2	327	22.43	23.8
P97931	306	23.71	25.34
Q3URS2	506	22.59	23.69
Q8K387	813	22.8	24.77
B2RRE4	1077	22.32	24.05
Q8BUH1	149	24.88	28.17
Q60585	533	25.22	26.25
P17141	594	22.86	23.98
P70701	417	23.28	24.2
O54775	367	23.22	24.8
Q0GGX2	1363	21.85	23.01
O88196	1979	23.27	25.36
Q8CHS8	397	22.94	24.9
Q8C3Q5	558	21.45	22.66
Q6PDF3	494	25	28.18
Q99J77	359	23.66	25.82
O54864	412	24.29	26.31
O88413	460	22.1	23.71
Q5BLK4	1491	23.12	24.97
Q8BG60	397	23.43	25.8
Q9JJN2	3550	22.04	23.65
P46684	447	23.1	24.38
P59328	1117	22.66	24.75
Q9D994	303	23.69	26.01
Q8BGS3	561	22.53	23.42
Q8CIE2	920	21.53	22.88
Q7TNU6	535	23.44	24.26
Q8BFU8	601	24.55	27.2
Q8JZL0	594	22.75	22.85
Q07231	555	22.91	23.75
Q8CD92	847	23.73	26.06
A4Q9F6	804	23.68	25.03
Q692V3	1318	24.62	27.16
Q80TY5	3993	23.39	25.62
P59016	617	23.97	26.6
P13373	142	24.21	25.75
Q91W86	941	24.1	26.12
O88384	232	22.81	24.59
Q99LQ4	66	22.62	22.8
V9GXG1	899	23.84	25.98
P30933	122	21.73	23.72
Q8BZW2	760	22.03	22.91
Q9JM95	333	24.92	26.42
P28705	463	22.8	24.85
Q9D939	296	25.86	27.68
Q7TS63	1237	22.75	24.35
Q61624	794	22.11	23.88
Q3TWF6	657	22.42	24.1
P85442	326	23.32	24
Q62468	827	23.47	25.59
Q3UH66	2149	20.78	21.85
P97441	388	23.06	25.31
P56873	199	20.45	21.91
E9Q5K9	736	22.06	22.44
Q9CR39	344	23.85	26.43
Q9D6K7	262	22.46	23.91
Q9EP51	310	26.37	29.97
Q3U288	666	23.52	24.76
P40338	181	23.23	24.14
Q9D0B1	321	21.7	22.15
Q8K1I7	493	19.89	19.85
Q6NXK2	1036	21.03	22.88
Q2HJ10	371	23.61	26.34
Q80TC6	1188	22.9	24.73
Q6TAC4	855	25.45	28.56
Q9D3D0	343	23.87	26.16
Q6P5F7	524	23.35	25.71
Q9EQH3	796	23.76	25.98
P61237	119	24.63	26.74
Q9D2J4	407	22.34	24.16
A0A140LHF2	776	22.54	24.2
Q9WTZ0	157	24.02	26.45
Q9EQ45	309	26.38	30
A3KMP2	465	23.63	25.91
E9PVB5	1198	23.48	25.4
Q02844	273	24.73	26.86
O70405	1051	21.66	23.34
Q9CQ61	259	28.32	32.2
Q6DID7	541	26.82	29.61
Q4VA44	261	25.69	26.93
Q8C0C0	836	22.03	23.56
Q9EQ51	310	26.2	29.79
P70280	220	24.57	27.58
Q8R151	1909	23.5	24.86
Q9D806	199	24.54	26.75
Q61187	391	23.59	25.84
Q8C0Q3	554	21.71	23.91
Q8CFL8	695	23.7	25.66
Q8R3H9	386	23.56	25.56
Q99MD6	652	23.03	25.47
Q91V09	485	22.64	24.5
Q9R0D8	334	22.45	24.45
Q6IQX8	726	21.26	21.26
Q571B6	793	22.21	23.13
Q3U5F4	280	21.09	23.05
Q569E7	569	22.37	22.95
Q9DAU7	174	20.18	22.11
P41588	437	25.45	28.36
Q6NXJ0	1187	21.54	23.14
Q2NKI2	338	20.29	22.03
Q9D1C8	221	23.65	25.6
P62700	121	23.65	25.74
P97390	570	23.65	26.08
Q62481	368	21.6	22.41
Q91V10	363	21.06	22.3
Q8R0A6	236	22.36	24.39
Q8R3L2	676	23.02	24.63
Q91V83	1085	23.09	25.44
Q02526	198	24.38	25.29
Q8VDM1	511	21.43	22.86
Q8C2E7	1159	24.63	27.24
Q925I4	843	25.36	28.14
Q8BGW2	348	22.16	22.82
E9Q2M9	3183	23.5	25.75
Q8CBE3	496	22.44	24.19
Q8BND3	1181	24.21	26.88
Q9Z1D9	521	22.7	23.48
Q3UW55	136	25.81	27.47
Q8BKK5	500	23.83	24.33
Q3UW41	83	26.08	28.58
P56695	890	24.82	27.45
O08934	530	20.42	21.39
Q8R1D1	550	24.23	25.73
Q80TS5	1292	23.21	24.67
Q0VEE6	662	22.74	24.47
Q5SXI5	585	22.61	23.09
Q922J6	221	24.96	28.27
Q91V17	227	21.96	23.63
Q6PEV3	440	20.6	20.29
Q3TXX3	415	22.7	24.74
Q6NVE8	915	22.22	24.3
Q3U3Q1	472	23.42	25.38
Q9Z2U2	2698	22.37	24.31
Q8BKX7	478	21.51	23.13
Q8R1N0	363	20.9	21.89
Q6PD05	413	21.3	22.03
Q91VY9	476	22.8	24.4
Q61464	1960	21.71	23.39
Q80UE6	1222	21.28	22.44
Q6A085	867	22.51	23.19
Q8C1R0	372	23.78	25.48
O70283	389	23.49	25.08
Q8VHI5	650	22.76	25.15
P22726	359	23.38	25.17
P22724	351	23.02	24.63
Q9QYC7	757	25.35	27.93
Q9CRC0	161	25.16	28.77
Q60736	579	24.2	26.29
Q8C0S4	1314	23.73	26.12
O88852	379	23.05	23.75
Q6X786	326	25.21	27.79
Q9CR51	118	21.84	22.74
Q3UHH1	1832	22.06	23.51
Q9JM98	462	24.83	27.37
Q00519	1335	23.24	25.54
Q62472	185	25.13	27.11
Q8CDG3	1220	22.66	24.41
P13372	142	24.29	26.04
Q65Z95	119	25.07	27.3
Q8R307	973	23.77	25.55
Q65Z93	127	24.69	26.59
Q8R3A2	119	22.71	24.51
Q9CQC5	254	22.06	24.12
Q9CYT6	476	22.85	24.6
Q499E0	766	24.7	27.06
Q5SP85	500	21.29	21.98
Q569L8	1344	22.3	23.61
Q6RUT8	664	22.35	23.8
A4QPC6	514	24.24	26.12
Q91W29	172	25.49	27.05
P03953	259	22.45	24.28
Q9CPW4	151	21.31	24.1
Q8R344	166	20.86	21.55
Q8CDM4	1066	21.89	23.67
Q9D5W4	654	23.01	24.35
P09240	115	21.89	23.1
Q5NBX1	1337	20.86	22.2
C0HK79	180	24.73	28.34
A1IGU4	676	23.01	24.81
O35903	144	25.14	26.73
Q9CY64	295	23.61	25.69
Q91ZU1	418	22.91	25.09
Q8CFW7	1633	23.61	25.16
O89103	644	22.29	24.15
G5E8Q8	1348	23.76	26.45
Q8VED2	215	21.38	22.46
Q9R0C0	172	22.33	23.58
P50283	210	23.01	25.5
A2ASQ1	1950	21.57	23.05
Q3UHD1	1582	22.87	24.63
Q07813	192	23.96	26.48
P30285	303	23.56	25.51
Q9CPY4	127	20.96	22.18
Q60649	677	23.02	24.85
A2AG58	752	24.82	25.78
Q9R0R4	77	24.3	25.82
Q3U5Q7	447	22.66	23.99
Q9EPE9	1200	23.64	26.13
Q9CTG6	1169	23	25.42
E9Q6J5	3032	19.75	20.9
P26040	586	23.68	24.95
Q7TMW6	476	22.86	24.68
Q9CZT6	276	23.96	26.13
Q78T81	392	21.95	23.88
Q9Z309	187	24.45	27.14
Q8VII3	130	25.95	28.58
Q0P523	160	24.46	26.92
Q8JZV9	245	22.54	25.19
Q571F8	602	23.23	25.58
Q80XN0	343	24.01	26.51
Q3TGF2	131	21.8	22.34
Q99LC2	431	23.46	25.71
Q8BIQ5	580	20.54	21.13
Q9DCZ9	258	26.6	30.7
Q99LI7	717	24.55	26.7
Q8C7E9	632	20.5	21.13
P14094	304	25.41	28.1
Q70KF4	3739	21.1	21.94
P21237	249	23.51	25.58
Q8BGT9	576	24.3	25.77
Q9JJ93	142	23.82	25.48
O70303	219	23.87	26.1
O35841	504	23.03	25.59
Q8CF93	556	24.55	26.9
Q8VE94	421	21.03	22.38
Q9WV08	377	25.37	28.45
D3Z7H8	1162	22.13	23.37
Q8R429	994	23.21	25.76
Q9D842	499	21.31	22.36
Q03157	653	21.79	22.31
P61249	83	23.2	24.46
P0DM65	447	22.79	24.65
A0A140LIA7	188	23.3	25.09
Q68EF6	600	21.33	22.74
Q8R2K1	153	23.25	26.17
Q6RI63	786	24.14	26.23
Q8BSP2	607	22.56	23.8
Q8R1K4	467	23.27	25.24
Q8BSV3	434	22.06	23.57
Q6PFX2	281	21.34	23.21
Q9CR84	136	22.27	25.2
P56384	141	22.56	25.55
Q8K0R6	321	23.05	24.96
Q62398	664	24.73	27.36
P59242	1191	20.73	21.48
A2AWT3	347	22.06	24.2
Q8BWY9	907	22.69	25.23
Q8CJ53	603	22.15	23.31
Q9CX13	139	27.69	31.71
Q925I1	591	22.4	23.7
Q8R0W1	432	20.92	22.42
Q9JL62	209	24.94	28
P33622	99	23.14	25.49
Q0GA42	951	22.36	24.32
Q32NY4	713	21.71	23.85
O88712	441	22.29	24
Q8BIX9	458	24.15	26.28
P60824	172	21.64	23.65
P58466	261	23.34	25.42
Q8K0V4	751	21.59	22.99
Q60809	285	24.67	27.21
Q8K3P5	557	24.17	26.7
Q8BIW9	969	22.37	23.72
Q05860	1466	22.49	23.83
Q4VAB4	94	25.51	27.78
Q8CCS2	467	22.68	24.03
Q9QXT0	182	23.19	24.93
