Gene.ID	Transcript.ID	AFFY.ATH1	Chromosome	Gene.start	Gene.end	Transcript.start	Transcript.end	Transcription.start.site
AT1G19715	AT1G19715.2	261133_at	1	6816702	6819542	6816735	6819457	6819457
AT1G19715	AT1G19715.3	261133_at	1	6816702	6819542	6816896	6819513	6819513
AT5G62750	AT5G62750.1	247402_at	5	25203425	25204320	25203425	25204320	25204320
AT2G04031	AT2G04031.1		2	1304160	1304783	1304160	1304783	1304783
AT3G06130	AT3G06130.2		3	1852808	1855197	1852884	1855063	1855063
AT3G06130	AT3G06130.1	256402_at	3	1852808	1855197	1852808	1855197	1855197
AT5G50000	AT5G50000.2	248529_at	5	20342505	20345302	20342505	20345302	20345302
AT5G50000	AT5G50000.1	248529_at	5	20342505	20345302	20342505	20345302	20345302
AT1G69430	AT1G69430.1	256292_at	1	26097729	26099388	26097729	26099388	26097729
AT1G53340	AT1G53340.3	260646_at	1	19898849	19901091	19898851	19900999	19900999
AT1G53340	AT1G53340.2	260646_at	1	19898849	19901091	19898849	19901091	19901091
AT1G53340	AT1G53340.1	260646_at	1	19898849	19901091	19898851	19900962	19900962
ATCG00160	ATCG00160.1	244996_at	Pt	15013	15723	15013	15723	15723
AT3G05660	AT3G05660.1	258893_at	3	1648843	1652149	1648843	1652149	1652149
AT2G16130	AT2G16130.1	263087_s_at	2	7002172	7004235	7002172	7004235	7002172
AT5G63820	AT5G63820.1	247349_at	5	25541576	25542893	25541576	25542893	25541576
AT3G17140	AT3G17140.1	257877_at	3	5846002	5846589	5846002	5846589	5846589
AT3G24110	AT3G24110.1	257245_at	3	8704208	8705550	8704208	8705550	8705550
AT3G24110	AT3G24110.2	257245_at	3	8704208	8705550	8704208	8705550	8705550
AT1G29890	AT1G29890.3		1	10463029	10467452	10463029	10467452	10463029
AT1G29890	AT1G29890.1		1	10463029	10467452	10463423	10467226	10463423
AT1G29890	AT1G29890.2		1	10463029	10467452	10463403	10467170	10463403
AT2G47560	AT2G47560.1	245171_at	2	19511717	19512728	19511717	19512728	19512728
AT4G28600	AT4G28600.3	253783_at	4	14129180	14132869	14129185	14132869	14129185
AT4G28600	AT4G28600.2	253783_at	4	14129180	14132869	14129180	14132802	14129180
AT4G28600	AT4G28600.1	253783_at	4	14129180	14132869	14129185	14132869	14129185
AT1G80290	AT1G80290.2	260301_at	1	30187920	30189823	30188364	30189574	30188364
AT1G80290	AT1G80290.1	260301_at	1	30187920	30189823	30187920	30189823	30187920
AT1G56540	AT1G56540.1	245654_at	1	21181585	21185495	21181585	21185495	21181585
AT1G56540	AT1G56540.2	245654_at	1	21181585	21185495	21181585	21185495	21181585
AT2G37390	AT2G37390.1	266008_at	2	15694038	15695999	15694038	15695999	15694038
AT2G37390	AT2G37390.2	266008_at	2	15694038	15695999	15694200	15695562	15694200
AT2G06050	AT2G06050.3	265530_at	2	2359114	2362375	2359240	2362149	2362149
AT2G06050	AT2G06050.1	265530_at	2	2359114	2362375	2359114	2362375	2362375
AT2G06050	AT2G06050.2	265530_at	2	2359114	2362375	2359115	2362180	2362180
AT3G20920	AT3G20920.1	256804_at	3	7328576	7330751	7328576	7330751	7330751
AT3G20920	AT3G20920.2	256804_at	3	7328576	7330751	7328576	7330751	7330751
AT5G26220	AT5G26220.1	246884_at	5	9162969	9164884	9162969	9164884	9164884
AT5G26220	AT5G26220.2	246884_at	5	9162969	9164884	9162969	9164816	9164816
AT3G54830	AT3G54830.1		3	20311901	20315887	20311901	20315164	20315164
AT3G54830	AT3G54830.2		3	20311901	20315887	20311901	20315887	20315887
AT3G09190	AT3G09190.1		3	2821448	2822936	2821448	2822936	2822936
AT3G05545	AT3G05545.1		3	1609050	1612607	1609050	1612607	1609050
