Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
AT1G21090.2	225	23.63	26.08
AT1G76730.1	354	23.16	25.15
AT1G03970.1	270	22.14	23.47
AT5G19160.1	464	25.97	28.4
AT5G19160.2	350	26.65	29.07
AT3G49744.1	57	25.28	28.58
AT5G28820.1	172	23.79	26.56
AT4G12530.1	117	22.65	26.67
AT4G20050.1	481	22.29	25.08
AT4G20050.5	506	22.36	25.16
AT4G20050.3	383	22.43	25.43
AT4G20050.2	481	22.29	25.08
AT4G20050.6	481	22.29	25.08
AT4G20050.7	481	22.29	25.08
AT4G20050.4	383	22.43	25.43
AT5G53810.1	378	23.89	26.75
AT2G28690.1	231	23.04	24.92
AT5G01530.1	290	23.32	25.99
AT3G62800.3	329	21.78	23.57
AT3G62800.1	355	21.76	23.58
AT3G62800.2	355	21.76	23.58
ATCG00900.1	155	22.92	24.66
AT3G11385.1	766	24.86	26.48
AT5G07010.1	359	25.12	27.73
AT3G63040.1	187	23.25	24.75
AT2G26570.2	807	20.62	22.15
AT2G26570.1	807	20.62	22.15
AT3G05560.2	124	23.61	26.54
AT3G05560.3	124	23.61	26.54
AT3G05560.1	124	23.61	26.54
AT5G12080.3	734	24.43	27.21
AT5G12080.2	734	24.43	27.21
AT5G12080.1	734	24.43	27.21
AT1G50870.1	396	26.17	28.77
AT2G20610.2	436	23.51	26.26
AT2G20610.1	462	23.3	25.85
AT5G02940.2	836	24.08	26.91
AT5G02940.1	813	24.05	26.87
AT1G68430.1	146	22.63	23.84
AT1G66550.2	249	23.87	25.85
AT1G66550.1	254	23.92	25.77
AT1G09380.1	374	24.37	27.47
AT3G48840.1	189	24.37	26.54
AT3G48840.2	137	25.01	27.32
AT5G61800.1	499	24.28	27.16
AT5G01445.1	113	25.15	27.19
AT4G35500.1	438	23.72	26.06
AT4G35500.2	439	23.86	26.25
AT1G80310.1	464	23.13	26.52
AT2G39400.2	248	25.32	28.39
AT2G39400.1	311	24.72	27.58
AT4G04990.1	303	23.07	24.41
AT3G60530.1	240	22.38	23.87
AT2G46180.1	725	21.5	23.11
AT2G22270.1	328	21.52	22.84
AT2G22270.2	289	21.58	23.07
AT2G43660.1	122	23.88	26.59
AT2G43660.2	123	23.87	26.61
AT1G03910.2	716	23.48	24.98
AT1G03910.1	672	23.35	24.69
AT1G77590.1	691	23.74	26.45
AT1G77590.2	545	23.55	26.43
AT1G79020.1	453	23.61	24.96
AT5G24420.1	252	24.77	27.35
AT5G39490.1	566	24.94	27.7
AT3G26922.2	306	23.94	27.14
AT3G26922.1	306	23.94	27.14
AT3G26922.4	281	24	27.3
AT3G26922.5	277	24.22	27.49
AT3G26922.3	277	24.22	27.49
AT3G50450.1	189	24.91	27.28
AT3G17160.1	165	17.97	18.9
AT1G34315.1	272	24.51	27.01
AT5G08580.2	391	24.7	26.3
AT5G08580.1	391	24.7	26.3
AT2G28360.1	788	22.13	24.56
AT4G25000.1	423	24.93	27.94
AT5G27410.4	471	23.84	26.31
AT5G27410.1	559	23.94	26.32
AT5G27410.3	504	24.09	26.5
AT5G27410.2	936	23.64	26.14
AT5G65200.1	556	21.91	23.62
AT5G23535.1	159	23.46	25.24
AT5G23535.2	159	23.46	25.24
AT1G05230.1	721	22.24	24.06
AT1G05230.5	721	22.24	24.06
AT1G05230.12	609	22.7	24.27
AT1G05230.6	721	22.24	24.06
AT1G05230.2	721	22.24	24.06
AT1G05230.11	721	22.24	24.06
AT1G05230.3	719	22.25	24.06
AT1G05230.7	721	22.24	24.06
AT1G05230.10	721	22.24	24.06
AT1G05230.9	721	22.24	24.06
AT1G05230.4	721	22.24	24.06
AT1G05230.8	721	22.24	24.06
AT1G79830.1	956	20.83	22.02
AT1G79830.3	956	20.83	22.02
AT1G79830.2	956	20.83	22.02
AT1G79830.4	976	21.01	22.25
AT1G79830.5	970	20.79	22.01
AT5G09480.1	144	21.98	22.29
AT5G56480.1	113	22.09	23.74
AT5G60820.1	419	22.1	24.16
AT5G55820.7	1702	21.01	22.47
AT5G55820.5	1769	21.06	22.51
AT5G55820.8	1702	21.01	22.47
AT5G55820.10	1732	21.11	22.64
AT5G55820.4	1763	21.14	22.67
AT5G55820.9	1765	21.05	22.5
AT5G55820.2	1737	21.05	22.5
AT5G55820.11	1795	21.15	22.67
AT5G55820.3	1733	21.04	22.49
AT5G55820.6	1706	21.02	22.48
AT5G55820.1	1826	21.18	22.69
AT5G44950.1	438	24.94	27.98
AT4G31140.1	484	23.35	26.45
AT4G35910.1	458	22.45	24.97
AT3G56220.2	139	23.17	25.42
AT3G56220.1	156	22.03	24.15
AT2G19970.1	177	24.41	26.73
AT5G54520.1	457	23.42	25.52
AT2G04032.1	365	23.33	26.56
AT5G03455.1	146	23.9	26.16
AT5G03455.2	108	25.51	28.04
AT1G48140.2	80	25.69	29.02
AT1G48140.1	89	25.81	29.31
AT4G15050.1	396	25.21	27.84
ATCG00420.1	158	26.62	28.92
AT5G30360.1	86	24.41	27.37
AT2G32600.1	277	23.66	24.6
AT2G41010.1	238	21.86	24.27
AT5G07170.2	360	23.68	25.74
AT5G07170.1	363	23.69	25.74
AT5G32670.1	192	23.95	27.07
AT1G60250.1	251	24.66	25.49
AT4G09012.1	124	24.77	27.18
AT3G26355.1	17	29.82	34.18
AT5G02710.1	176	23.31	25.78
AT5G02710.2	176	23.31	25.78
AT5G02710.3	176	23.31	25.78
AT4G10110.1	173	22.68	24.45
AT5G13900.1	151	22.95	25.34
AT5G16380.1	195	23.71	26.06
AT5G40630.1	165	22.34	24.85
AT1G55670.1	160	22.79	25.82
AT5G66940.1	225	22.64	24.63
AT3G06520.1	466	24.8	26.74
AT3G06520.2	466	24.8	26.74
AT3G52870.1	456	23.59	25.82
AT3G02900.2	168	22.05	24.76
AT3G02900.1	162	21.47	23.8
AT1G31520.1	132	25.48	27.44
AT5G57660.1	355	22.56	24.69
AT3G09110.1	343	24	26.92
AT4G23690.1	187	26.71	30.67
AT1G05035.1	120	26.34	28.38
AT5G45700.1	272	24.65	27.15
AT5G40410.1	608	24.76	27.35
AT3G06580.1	496	22.89	25.46
AT3G14920.1	609	24.4	27.19
AT1G77610.1	336	26.63	30.11
AT1G19170.1	506	24.34	26.77
AT2G20740.1	221	25.38	28.15
AT2G20740.2	180	25.1	27.85
AT2G20740.3	131	24.93	27.38
AT3G26940.1	432	23.19	25.24
AT4G27150.1	170	23.16	24.31
AT2G26000.1	461	22.5	24.39
AT2G26000.2	479	22.47	24.35
AT2G26000.3	479	22.47	24.35
AT5G38743.1	60	23.57	25.93
AT4G15210.4	445	24.54	27.28
AT4G15210.1	498	24.36	27.16
AT4G15210.3	445	24.54	27.28
AT4G15210.2	420	24.5	27.23
AT1G29070.1	157	21.07	22.97
AT4G27570.1	453	23.89	26.26
AT5G65560.3	915	23.98	26.85
AT5G65560.2	915	23.98	26.85
AT5G65560.1	915	23.98	26.85
AT1G04170.1	465	22.9	25.33
AT1G04170.2	465	22.9	25.33
ATCG00905.1	85	23.17	25.17
AT1G29250.1	130	22.09	24.62
AT3G51050.1	698	23.75	25.68
AT5G23060.2	310	21.34	24.15
AT5G23060.1	387	21.77	24.7
AT4G14770.2	654	21.26	22.8
AT4G14770.1	674	21.29	22.81
AT4G14770.3	655	21.25	22.78
AT3G44140.1	71	24.52	28.28
AT1G14630.2	166	23.02	25.4
AT1G14630.1	226	22.38	24.53
AT3G21480.1	1041	21.68	23.65
AT3G58760.4	432	23.78	26.26
AT3G58760.5	534	23.93	26.14
AT3G58760.2	432	23.78	26.26
AT3G58760.6	369	23.44	25.86
AT3G58760.3	534	23.93	26.14
AT3G58760.1	471	23.68	25.81
AT2G03390.1	330	22.85	24.81
AT2G03390.6	266	22.76	24.88
AT2G03390.3	273	22.57	24.67
AT2G03390.2	220	22.78	24.6
AT2G03390.7	266	22.76	24.88
AT2G03390.4	330	22.85	24.81
AT2G03390.5	273	22.57	24.67
AT2G23093.2	382	25.65	29.2
AT2G23093.1	449	26.13	29.73
AT1G62600.1	452	24.48	26.15
AT1G62600.2	394	24.15	25.86
AT3G54925.1	137	28.55	31.89
AT4G29550.3	261	24.55	26.79
AT4G29550.1	358	23.82	25.82
AT4G29550.2	358	23.82	25.82
AT5G02280.1	141	24.82	27.62
AT2G36080.2	173	25.14	26.75
AT2G36080.4	173	25.14	26.75
AT2G36080.1	244	24.56	25.99
AT2G36080.3	234	24.72	26.06
AT5G40830.2	414	24.13	27.03
AT5G40830.3	374	24.2	27
AT5G40830.1	414	24.13	27.03
AT3G58110.1	784	22.33	23.79
AT3G58110.2	754	22.38	23.8
AT2G46900.1	627	23.08	24.89
AT3G13440.2	278	23.03	25.3
AT3G13440.1	278	23.03	25.3
AT3G13440.3	246	23.15	25.58
AT5G08370.1	396	23.88	26.61
AT5G08370.2	370	23.75	26.36
AT5G02720.1	142	23.87	26.06
AT5G02720.2	225	25.7	28.01
AT3G44750.2	242	21.1	22.96
AT3G44750.1	245	21.03	22.79
AT4G13020.7	373	24.77	26.94
AT4G13020.8	382	24.66	26.85
AT4G13020.1	435	24.69	26.7
AT4G13020.2	443	24.86	26.96
AT4G13020.4	405	24.62	26.77
AT4G13020.6	392	24.82	26.98
AT4G13020.5	444	24.6	26.63
AT4G13020.3	444	24.83	26.93
AT1G23530.1	189	22.47	23.24
AT4G28710.1	1516	23.42	25.65
AT1G30795.1	109	24.65	26.44
AT3G30841.2	495	22.31	24.5
AT3G30841.1	495	22.31	24.5
AT2G03667.2	597	23.09	25.33
AT2G03667.1	610	22.9	25.14
AT1G34770.3	237	22.99	25.25
AT1G34770.6	192	24.16	26.99
AT1G34770.2	186	23.19	25.26
AT1G34770.4	250	23.33	25.8
AT1G34770.5	181	23.92	26.56
AT1G34770.1	237	22.99	25.25
AT3G43240.1	747	23.06	25.16
AT1G79620.2	807	23.15	26.18
AT1G79620.3	731	23.13	26.18
AT1G79620.5	997	23.08	26.07
AT1G79620.4	680	23.24	26.36
AT1G79620.1	971	23.01	26
AT2G24820.1	539	24.36	26.49
AT4G33620.1	774	23.2	25.39
AT5G49310.1	519	22.97	25.27
AT1G29810.1	187	23.87	26.44
AT1G29810.2	148	22.96	25.56
AT4G28930.1	175	25.94	28.55
AT1G17470.2	399	23.29	25.52
AT1G17470.1	399	23.29	25.52
AT1G34380.1	264	23.97	26.09
AT1G34380.3	327	24.31	26.36
AT1G34380.2	347	23.75	25.71
AT5G36240.1	254	23.54	25.12
AT2G20120.1	268	24.52	27.36
AT2G20120.2	268	24.52	27.36
AT5G47670.3	234	22.93	24.29
AT5G47670.1	234	22.93	24.29
AT5G47670.2	205	22.91	24.17
AT5G04070.1	359	24.21	27.15
AT2G30690.2	760	21.77	23.23
AT2G30690.1	760	21.77	23.23
AT1G11785.1	46	22.25	25.3
AT1G27580.1	364	24.75	26.97
AT2G43850.1	479	23.86	25.91
AT2G43850.3	478	23.84	25.89
AT2G43850.2	479	23.86	25.91
AT4G18130.1	1112	22.84	25.25
AT1G23870.1	867	24.52	26.88
AT3G49560.1	261	22.42	24.78
AT5G36490.1	118	24.72	27.72
AT5G46030.2	120	22.42	23.46
AT5G46030.1	120	22.42	23.46
AT5G46030.3	120	22.42	23.46
AT5G09650.1	300	23.75	26.43
AT2G43000.1	275	24.42	26.46
AT2G43000.2	197	23.79	25.82
AT1G52040.1	462	23.32	26.07
AT3G05858.1	90	24.54	26.12
AT5G60860.1	217	23.11	25.81
AT5G54035.1	85	27.61	31.11
AT1G07901.1	50	25.21	27.26
AT4G10220.1	400	25.1	27.45
AT3G23790.1	722	23.95	26.22
AT4G02075.2	174	24.81	27.27
AT4G02075.3	199	24.93	27.12
AT4G02075.1	218	23.74	25.48
AT5G36190.1	145	28.11	31.69
AT1G52650.1	465	24.67	27.39
AT1G26750.1	195	23.24	25.16
AT5G14980.1	327	24.61	26.88
AT5G50150.1	420	24.31	26.52
AT2G15020.1	526	24.43	26.78
AT3G45070.3	328	25.23	27.81
AT3G45070.2	355	25.38	28.08
AT3G45070.1	323	25.22	27.77
AT4G22590.1	377	23.92	26.4
AT5G30490.3	236	21.45	23.68
AT5G30490.2	236	21.45	23.68
AT5G30490.1	236	21.45	23.68
AT5G22670.1	443	24.36	27.19
AT4G35060.1	153	23.04	24.73
AT1G11480.2	565	21.81	22.92
AT1G11480.1	578	21.71	22.84
AT3G49030.1	443	24.38	27.14
AT3G49030.2	417	24.41	27.15
AT1G12300.1	637	23.99	27.08
AT5G47930.1	84	23.73	25.71
AT1G61093.1	125	22.57	23.96
AT2G37970.1	246	23.75	26.11
AT3G02420.2	281	24.91	27.52
AT3G02420.1	348	24.98	27.4
AT1G58190.2	1029	24.24	27.73
AT1G58190.4	767	24.2	27.72
AT1G58190.3	940	24.47	27.94
AT1G58190.1	932	24.68	28.13
AT1G09860.1	383	25.64	29.23
AT1G13280.1	254	23.12	25.76
AT5G15300.1	548	24.38	26.95
AT4G34131.1	481	24.54	26.99
AT2G02130.1	77	24.72	26.62
AT5G03435.2	557	23.89	26.4
AT5G03435.1	745	24.79	27.5
AT3G18830.1	539	23.72	26.56
AT2G03570.1	89	20.99	22.77
AT4G21670.1	967	22.37	23.78
AT1G02230.1	359	23.26	25.02
AT5G20140.1	378	24.49	27.08
AT5G20140.2	395	24.33	26.93
AT1G11630.1	405	24.4	27.05
AT4G19440.1	838	24.28	27.26
AT4G19440.3	838	24.28	27.26
AT4G19440.2	838	24.28	27.26
AT4G19440.4	838	24.28	27.26
AT3G51890.1	258	21.94	23.41
AT1G44085.1	90	19.9	22.56
AT1G07390.1	1034	23.77	26.9
AT1G07390.4	1077	23.95	27.01
AT1G07390.3	1083	23.82	26.91
AT1G07390.5	1048	24.05	27.1
AT1G07390.2	913	23.65	26.83
AT1G13607.1	72	24.38	26.99
AT1G08580.1	123	22.6	24.76
AT2G25125.1	74	24.8	26.2
AT1G59750.2	662	22.61	24
AT1G59750.3	665	22.6	23.99
AT1G59750.1	665	22.6	23.99
AT1G59750.4	660	22.63	24.02
AT3G25950.1	251	26.55	30.1
AT5G22145.1	69	21.89	23.97
AT1G70209.1	47	27.16	30.09
AT1G63660.1	534	23.61	25.81
AT1G63660.2	434	23.49	25.69
AT2G21660.1	176	19.76	22
AT2G21660.2	159	20.04	22.2
AT1G15320.2	289	23.25	25.03
AT1G15320.1	307	23.72	25.75
AT1G79310.1	403	22.91	24.99
AT5G42980.1	118	24.18	26.8
AT1G70750.1	749	22.69	24.36
AT5G35840.1	1111	23.09	25.39
AT2G45210.1	162	25.86	27.12
AT1G29390.1	226	24.59	27.51
AT1G29390.2	183	24.91	28.02
AT4G16460.2	176	21.07	21.55
AT4G16460.3	176	21.07	21.55
AT4G16460.1	176	21.07	21.55
AT5G50210.1	718	22.93	25.29
AT1G17870.1	573	23.08	25.84
AT5G38360.2	188	23.29	25.72
AT5G38360.1	337	23.51	26.29
AT5G38360.3	211	23.75	26.58
AT1G15020.1	502	24.46	26.98
AT1G15020.2	528	24.59	27.16
AT1G15020.3	502	24.46	26.98
AT1G23090.4	499	24.39	27.64
AT1G23090.1	631	24.29	27.47
AT1G23090.3	499	24.39	27.64
AT1G23090.2	499	24.39	27.64
AT4G01790.1	167	22.49	24.83
AT4G38190.1	1111	24.32	26.74
AT1G72810.1	516	23.42	25.9
AT5G45573.1	195	22.72	24.36
AT2G01755.1	173	23.35	25.25
AT2G01755.2	179	23.66	25.53
AT5G25770.2	418	24.1	26.23
AT5G25770.1	360	24.14	26.27
AT5G25770.3	421	24.1	26.22
AT1G56610.3	433	24.66	27.23
AT1G56610.2	472	24.68	27.34
AT1G56610.1	535	25.44	28.41
AT4G09649.1	45	23.41	25.22
AT2G03210.2	573	24.55	26.86
AT2G03210.3	570	24.6	26.89
AT2G03210.1	539	24.74	27.16
AT3G45990.1	133	25.51	27.4
AT5G51470.2	491	24.75	27.76
AT5G51470.1	581	24.32	27.33
AT3G46350.1	444	24.06	27.01
AT5G64170.1	566	21.42	23.37
AT5G64170.2	616	21.53	23.51
AT5G64170.3	616	21.53	23.51
AT3G24850.1	359	23.45	26.03
AT2G27630.1	1122	23.62	26.18
AT4G01590.2	199	23.3	25.41
AT4G01590.3	200	23.18	25.31
AT4G01590.1	200	23.18	25.31
AT5G35970.1	961	22.3	24.57
AT2G31390.1	325	22.65	25.44
AT4G14315.1	59	27	31.38
AT2G14635.1	61	25.09	28.37
AT1G53460.1	314	24.38	26.82
AT5G52240.2	175	24.42	26.76
AT5G52240.1	220	23.16	25.16
AT2G23250.1	438	23.61	26.04
AT3G62270.1	703	24.84	27.56
AT2G04400.1	402	22.81	25.06
AT1G76420.1	334	24.3	26.36
AT2G29150.1	268	22.14	24.6
AT5G58090.1	477	23.78	26.79
AT5G06950.3	330	21.63	23.48
AT5G06950.5	330	21.63	23.48
AT5G06950.1	330	21.63	23.48
AT5G06950.4	330	21.63	23.48
AT5G06950.2	330	21.63	23.48
AT4G35350.2	288	23.67	26
AT4G35350.1	355	23.64	26.08
AT4G04930.1	332	27.1	29.82
AT2G37900.2	496	25.33	28.51
AT2G37900.1	575	25.17	28.3
AT5G19875.1	123	28.59	32.3
AT1G19350.3	357	22.31	23.63
AT1G19350.4	335	22.01	23.24
AT1G19350.6	335	22.01	23.24
AT1G19350.1	335	22.01	23.24
AT1G19350.5	335	22.01	23.24
AT3G06710.1	245	27.22	30.84
AT4G29190.1	356	23.45	24.64
AT1G68220.1	201	23.66	27.02
AT2G33060.1	808	23.78	27.07
AT4G17080.1	513	24.51	26.67
AT4G15700.1	102	23.45	26.22
AT1G28327.1	274	23.5	25.47
AT3G56900.1	447	23.15	25.55
AT3G25200.1	168	24.47	26.88
AT1G15825.1	126	23.28	23.41
AT3G49307.1	76	24.74	26.67
ATMG00500.1	141	26.27	29.05
AT4G12680.1	575	24.76	28.11
AT2G19540.1	469	22.56	24.43
AT2G40190.1	463	24.65	27.02
AT1G59830.1	306	24.26	26.63
AT1G59830.2	262	24.69	27.18
AT1G67325.2	288	22.14	23.25
AT1G67325.1	287	22.16	23.29
AT5G64310.1	131	18.96	20.89
AT5G24280.3	1566	23.16	25.49
AT5G24280.1	1598	23.27	25.65
AT5G24280.2	1566	23.16	25.49
AT3G06360.1	125	21.02	23.71
AT5G53770.1	530	23.06	25.64
AT3G25719.1	50	23.78	24.96
AT3G07230.1	46	22.52	24.55
AT3G21352.1	74	21.71	23.92
AT2G32835.1	95	24.33	26.65
AT5G50345.1	88	25.76	28.35
AT3G02610.1	411	23.87	26.01
AT3G02610.2	413	23.91	26.06
AT4G31354.2	65	26.09	29.03
AT4G31354.1	65	26.09	29.03
AT4G31354.3	65	26.09	29.03
AT3G18270.1	410	22.77	25.38
AT4G35680.1	313	23.33	26.1
AT2G28490.1	511	23.61	25.72
AT1G54215.1	169	23.51	24.2
AT3G24200.2	507	22.5	25.01
AT3G24200.1	505	22.51	25.02
AT5G46680.1	468	24.15	27.18
AT1G13080.2	384	24.74	26.99
AT1G13080.1	502	24.73	27.37
AT3G49630.3	328	24.52	26.98
AT3G49630.1	332	24.42	26.98
AT3G49630.2	259	24.84	27.31
AT3G47965.1	44	27.42	29.7
AT1G53060.1	242	24.12	26.82
AT2G26920.1	646	21.45	22.97
AT5G66980.1	334	24.66	26.79
AT5G19175.1	82	26.12	29.18
AT5G04770.1	583	24.53	27.91
AT5G04770.2	411	23.89	27.03
AT5G04770.3	436	25.18	28.76
AT5G45400.1	853	22.3	24.19
AT1G75945.1	61	22.18	24.16
AT1G19980.1	342	22.82	25.57
AT3G19810.1	321	22.82	24.96
AT3G19810.2	321	22.82	24.96
AT4G24670.1	440	24.61	27.34
AT4G24670.2	440	24.61	27.34
AT2G04066.1	171	24.75	28.15
AT1G30520.1	560	23.52	25.93
AT1G30520.4	477	23.69	26.37
AT1G30520.2	560	23.52	25.93
AT1G30520.3	477	23.69	26.37
AT5G22030.1	871	23.5	26.15
AT5G22030.2	913	23.64	26.31
AT1G19490.1	471	21.67	22.65
AT4G27780.1	354	21.58	23.62
AT4G27780.2	263	21.45	23.54
AT1G56130.1	884	23.02	25.85
AT1G56130.3	833	23.03	25.86
AT1G56130.2	1032	23.05	25.83
AT5G16270.1	1031	20.89	22.48
AT3G24460.1	409	26.69	29.86
AT3G24460.2	409	26.69	29.86
AT4G16280.3	533	21.7	22.79
AT4G16280.1	505	21.18	21.83
AT4G16280.2	747	21.72	22.64
AT4G16280.4	672	21.54	22.44
AT1G17990.2	261	23.46	25.44
AT1G17990.1	269	23.43	25.44
AT5G45550.1	215	25.24	27.63
AT1G16916.2	102	23.04	24.23
AT1G16916.1	65	24.04	25.72
AT5G57280.1	289	22.34	24.13
AT5G17340.1	160	25.55	27.86
AT2G24460.1	150	22.68	25.36
AT3G50380.1	3072	23.65	26.34
AT3G50380.3	2461	23.51	26.15
AT3G50380.2	3132	23.72	26.42
AT3G50380.4	3125	23.71	26.41
AT1G12580.1	522	22.79	25.16
AT3G43432.1	73	20.17	21.08
AT3G56420.3	154	23.69	25.69
AT3G56420.2	154	23.69	25.69
AT3G56420.1	154	23.69	25.69
AT1G22030.1	333	22.81	24.7
AT3G17740.1	1149	23.04	25.31
AT4G20690.1	138	23.09	24.93
AT3G06920.1	871	24.06	26.86
AT3G06920.3	885	24.04	26.82
AT3G06920.2	885	24.04	26.82
AT5G44785.1	440	24.38	26.7
AT5G44785.2	442	24.37	26.7
AT3G22723.1	51	24.47	27.25
AT5G50290.1	303	24.03	26.49
AT3G59200.2	365	23.95	27.24
AT3G59200.1	520	24.05	27.05
AT5G11360.3	195	24.04	26.5
AT5G11360.1	196	24	26.41
AT5G11360.2	187	23.9	26.19
AT4G10260.1	324	22.74	26.01
AT5G03520.2	206	23.38	26.28
AT5G03520.1	216	23.08	26.07
AT4G36430.1	331	22.13	24.78
AT3G11240.5	446	23.21	25.59
AT3G11240.1	605	22.98	25.22
AT3G11240.2	446	23.21	25.59
AT3G11240.3	562	23.19	25.43
AT3G11240.4	446	23.21	25.59
AT2G07687.1	265	27.52	30.39
AT1G50820.1	528	24.96	27.43
AT1G50820.2	787	23.5	25.7
AT1G55917.1	61	24.29	27.42
AT5G23100.1	277	22.22	24.06
AT4G16690.1	262	24.17	26.7
AT2G03770.1	324	25.47	27.76
AT1G72460.1	644	22.77	25.47
AT2G44160.1	594	24.05	26.54
AT4G10730.2	691	22.06	24.23
AT4G10730.1	711	22.12	24.28
AT5G33290.1	500	24.52	26.86
AT2G34810.1	540	25.27	27.81
AT2G25305.1	83	23.1	25.77
AT1G73010.1	295	23.86	26.07
AT5G53050.3	396	23.88	26.38
AT5G53050.5	353	23.88	26.37
AT5G53050.1	312	23.48	25.89
AT5G53050.2	396	23.88	26.38
AT5G53050.6	311	23.47	25.83
AT5G53050.4	438	24.17	26.76
AT1G77920.1	368	22.62	24.15
AT1G75720.3	151	24.06	26.05
AT1G75720.1	195	23.89	25.89
AT1G75720.2	193	23.88	25.91
AT3G03630.1	404	22.07	24.61
AT5G23570.2	501	22.63	24.09
AT5G23570.4	501	22.63	24.09
AT5G23570.3	625	22.84	24.08
AT5G23570.1	625	22.84	24.08
AT4G05520.1	546	23.76	26.42
AT4G05520.2	545	23.76	26.42
AT5G15920.1	1053	23.11	25.01
AT1G68585.1	116	22.06	24.51
AT4G28405.1	78	25.39	27.4
AT5G43000.1	282	22.94	25.13
AT2G38040.2	769	22.31	24.42
AT2G38040.1	769	22.31	24.42
AT4G29820.1	222	24.91	27.32
AT4G24400.2	416	24.1	26.81
AT4G24400.1	445	24.26	27.03
AT5G20440.1	216	25.51	27.89
AT4G32980.2	473	23.63	25.61
AT4G32980.1	473	23.63	25.61
AT5G53150.5	549	22.85	24.56
AT5G53150.1	726	23	24.77
AT5G53150.2	755	22.87	24.65
AT5G53150.6	755	22.87	24.65
AT5G53150.3	755	22.87	24.65
AT5G53150.4	726	23	24.77
AT1G31140.2	215	24.11	25.6
AT1G31140.1	213	24.2	25.72
AT5G07572.1	116	22.91	25.5
AT3G20300.1	452	24.96	27.92
ATMG00910.1	215	25	27.53
AT5G50030.1	187	21.46	24.41
AT1G11280.3	808	24.11	26.95
AT1G11280.4	818	24.13	26.95
AT1G11280.1	830	24.16	26.99
AT1G11280.2	820	24.15	26.99
AT1G11280.5	671	24.46	27.39
AT5G06530.1	751	23.77	26.59
AT5G06530.3	691	23.48	26.21
AT5G06530.4	496	24.4	27.39
AT5G06530.2	751	23.77	26.59
AT3G59520.1	269	26.04	29.78
AT1G33870.1	252	23.5	25.75
AT5G60805.1	106	25.77	27
AT5G40880.2	443	23.07	25.58
AT5G40880.1	472	23.16	25.69
AT3G49390.1	353	21.89	23.78
AT3G49390.3	353	21.89	23.78
AT3G49390.2	353	21.89	23.78
AT5G19820.1	1116	22.45	24.63
AT3G27750.1	222	22.58	24.8
AT5G64667.1	95	24.73	27.18
AT1G72790.1	561	22.66	23.96
