Protein.Name	Gene.Name	Uniprot.ID	ZT0	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
Apolipoprotein A-IV	Apoa4	P06728	0.0133259300388673	0.0133259300388673	0.0205441421432538	0.0149916712937257	0.00943920044419767	0.0161021654636313	0.0127706829539145	0.0161021654636313	0.0188784008883953	0.0166574125485841	0.0155469183786785	0.0111049416990561	0.0172126596335369	0.0144364242087729	0.0172126596335369	0.0122154358689617
Clusterin;Clusterin beta chain;Clusterin alpha chain	Clu	Q06890;E9Q8Y5;E9PXG5;E9PUU2;E9Q9B8	0.00499722376457524	0.00555247084952804	0.00832870627429206	0.00555247084952804	0.00499722376457524	0.00499722376457524	0.00610771793448084	0.00444197667962243	0.00555247084952804	0.00277623542476402	0.00499722376457524	0.00277623542476402	0.00555247084952804	0.00444197667962243	0.00388672959466963	0.00610771793448084
Cold shock domain-containing protein E1	Csde1	Q91W50;Q80TP8	0.00777345918933926	0.00721821210438645	0.00721821210438645	0.00555247084952804	0.00499722376457524	0.00499722376457524	0.00666296501943365	0.00388672959466963	0.00499722376457524	0.00499722376457524	0.00444197667962243	0.00499722376457524	0.00444197667962243	0.00610771793448084	0.00388672959466963	0.00222098833981122
Gamma-aminobutyric acid receptor-associated protein-like 2	Gabarapl2	P60521	0.00222098833981122	0.00222098833981122	0.000555247084952804	0.00166574125485841	0.00166574125485841	0.00166574125485841	0.00333148250971682	0.00222098833981122	0.000555247084952804	0.000555247084952804	0.00111049416990561	0.00111049416990561	0.00166574125485841	0.000555247084952804	0.00111049416990561	0.00111049416990561
Ganglioside GM2 activator	Gm2a	Q60648	0	0.00111049416990561	0.00222098833981122	0.00277623542476402	0.000555247084952804	0.00166574125485841	0.00111049416990561	0.00166574125485841	0.00166574125485841	0.00111049416990561	0.00222098833981122	0.00222098833981122	0.00166574125485841	0.00166574125485841	0.00277623542476402	0.00222098833981122
Glycogenin-1	Gyg;Gyg1	D3Z5N4;Q9R062	0.00222098833981122	0.000555247084952804	0.00166574125485841	0.00388672959466963	0.00388672959466963	0.00388672959466963	0.00388672959466963	0.00111049416990561	0.00166574125485841	0.00111049416990561	0.00388672959466963	0.00166574125485841	0.00333148250971682	0.00222098833981122	0.00166574125485841	0.00166574125485841
Heme-binding protein 1	Hebp1	E9QKH1;Q9R257	0.00832870627429206	0.00943920044419767	0.00943920044419767	0.00777345918933926	0.00888395335924486	0.00888395335924486	0.00999444752915047	0.00666296501943365	0.00666296501943365	0.00499722376457524	0.00888395335924486	0.00444197667962243	0.0111049416990561	0.00333148250971682	0.00832870627429206	0.00999444752915047
Apolipoprotein F	Apof	Q91V80	0.00111049416990561	0.00111049416990561	0.00111049416990561	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.00111049416990561	0.000555247084952804	0.00111049416990561	0.000555247084952804
V-type proton ATPase catalytic subunit A	Atp6v1a	P50516;P50516-2	0.00888395335924486	0.00777345918933926	0.0105496946141033	0.00832870627429206	0.00666296501943365	0.00555247084952804	0.00888395335924486	0.00832870627429206	0.00999444752915047	0.00555247084952804	0.00888395335924486	0.00777345918933926	0.00888395335924486	0.00666296501943365	0.00832870627429206	0.00999444752915047
5-aminolevulinate synthase, nonspecific, mitochondrial	Alas1	Q8VC19	0.00111049416990561	0.00388672959466963	0.00333148250971682	0.00277623542476402	0.00333148250971682	0.00555247084952804	0.00555247084952804	0.00333148250971682	0.00277623542476402	0.00222098833981122	0.00333148250971682	0.00222098833981122	0.00388672959466963	0.00388672959466963	0.00333148250971682	0.00499722376457524
TSC22 domain family protein 3	Tsc22d3	Q9Z2S7-3;Q9Z2S7;B1AVF2;Q9Z2S7-2	0.000555247084952804	0	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.00111049416990561	0.000555247084952804	0	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804
Transferrin receptor protein 1	Tfrc	Q62351	0.00166574125485841	0.00111049416990561	0.00333148250971682	0.00166574125485841	0.00166574125485841	0.000555247084952804	0.00111049416990561	0.00111049416990561	0.00277623542476402	0.00111049416990561	0.00222098833981122	0.000555247084952804	0.00166574125485841	0.00222098833981122	0.00111049416990561	0.00111049416990561
Interferon regulatory factor 5	Irf5	P56477;E9PWX5;E9Q5T2	0	0.000555247084952804	0	0.000555247084952804	0	0.000555247084952804	0.000555247084952804	0.000555247084952804	0	0.000555247084952804	0	0.000555247084952804	0.000555247084952804	0	0	0
Molybdenum cofactor sulfurase	Mocos	Q14CH1	0.00666296501943365	0.00721821210438645	0.00610771793448084	0.00721821210438645	0.00666296501943365	0.00555247084952804	0.00832870627429206	0.00555247084952804	0.00721821210438645	0.00388672959466963	0.00721821210438645	0.00610771793448084	0.00666296501943365	0.00555247084952804	0.00721821210438645	0.00777345918933926
Transportin-1	Tnpo1	Q8BFY9;Q8BFY9-2	0.00222098833981122	0.00333148250971682	0.00222098833981122	0.00333148250971682	0.00333148250971682	0.00166574125485841	0.00333148250971682	0.00277623542476402	0.00277623542476402	0.00277623542476402	0.00333148250971682	0.00166574125485841	0.00166574125485841	0.00222098833981122	0.00222098833981122	0.00333148250971682
Tripeptidyl-peptidase 2	Tpp2	Q64514	0.000555247084952804	0	0	0.000555247084952804	0	0	0.000555247084952804	0	0	0	0	0	0	0	0	0
	Tsc22d2	E9Q7M2	0.000555247084952804	0	0.000555247084952804	0	0.000555247084952804	0	0.000555247084952804	0	0	0	0	0	0.000555247084952804	0	0.000555247084952804	0.000555247084952804
Phosphatidate phosphatase LPIN1	Lpin1	Q91ZP3;E9QKQ5;Q91ZP3-2	0.00111049416990561	0	0.00166574125485841	0.00166574125485841	0.000555247084952804	0.00277623542476402	0.00111049416990561	0.00222098833981122	0.00111049416990561	0.00111049416990561	0.000555247084952804	0.00166574125485841	0.00166574125485841	0.00222098833981122	0.00222098833981122	0
Galectin-3-binding protein	Lgals3bp	Q07797	0.00222098833981122	0.00222098833981122	0.00222098833981122	0.00333148250971682	0.00166574125485841	0.00222098833981122	0.00333148250971682	0.00277623542476402	0.00222098833981122	0.00111049416990561	0.00333148250971682	0.00111049416990561	0.00333148250971682	0.00166574125485841	0.00333148250971682	0.00277623542476402
Death-associated protein 1	Dap	Q91XC8	0.00610771793448084	0.00721821210438645	0.0111049416990561	0.00721821210438645	0.00777345918933926	0.0116601887840089	0.00721821210438645	0.00943920044419767	0.00777345918933926	0.00888395335924486	0.00832870627429206	0.00555247084952804	0.00666296501943365	0.00777345918933926	0.00777345918933926	0.00499722376457524
Alpha-1-antitrypsin 1-4	Serpina1d	Q00897	0.0155469183786785	0.0199888950583009	0.0249861188228762	0.0216546363131594	0.0138811771238201	0.0244308717379234	0.0238756246529706	0.0194336479733481	0.0244308717379234	0.0233203775680178	0.0249861188228762	0.0177679067184897	0.0260966129927818	0.0210993892282066	0.0233203775680178	0.0272071071626874
T-complex protein 1 subunit theta	Cct8	P42932	0.0210993892282066	0.0194336479733481	0.0238756246529706	0.0199888950583009	0.0188784008883953	0.0177679067184897	0.0177679067184897	0.0188784008883953	0.0205441421432538	0.0149916712937257	0.0177679067184897	0.0172126596335369	0.0183231538034425	0.0177679067184897	0.0183231538034425	0.0177679067184897
Molybdopterin synthase catalytic subunit	Mocs2	Q9Z223;Q9Z223-1;E9PVP5;Q9Z223-3;E9PUX1	0.00166574125485841	0.00166574125485841	0.00111049416990561	0.00111049416990561	0.000555247084952804	0.00111049416990561	0.00166574125485841	0.00166574125485841	0.00166574125485841	0.00111049416990561	0.00111049416990561	0.00111049416990561	0.00166574125485841	0	0.00111049416990561	0.00111049416990561
Coxsackievirus and adenovirus receptor homolog	Cxadr	P97792;P97792-2	0.00166574125485841	0.00166574125485841	0.00166574125485841	0.00111049416990561	0.00111049416990561	0.000555247084952804	0.00111049416990561	0.00277623542476402	0.00333148250971682	0.000555247084952804	0.00166574125485841	0.000555247084952804	0.00277623542476402	0.000555247084952804	0.00111049416990561	0.00111049416990561
Corticosteroid-binding globulin	Serpina6	Q06770	0.00277623542476402	0.00333148250971682	0.00832870627429206	0.00333148250971682	0.00444197667962243	0.00388672959466963	0.00610771793448084	0.00388672959466963	0.00610771793448084	0.00444197667962243	0.00721821210438645	0.00277623542476402	0.00666296501943365	0.00333148250971682	0.00666296501943365	0.00333148250971682
Alpha-1-antitrypsin 1-2	Serpina1b	P22599	0.00999444752915047	0.00999444752915047	0.0127706829539145	0.0127706829539145	0.00777345918933926	0.00999444752915047	0.0133259300388673	0.0122154358689617	0.0105496946141033	0.0116601887840089	0.00999444752915047	0.0105496946141033	0.0111049416990561	0.0116601887840089	0.0111049416990561	0.0127706829539145
Clathrin interactor 1	Clint1	Q5SUH6;Q5SUH7;Q99KN9;Q99KN9-2	0.00777345918933926	0.00888395335924486	0.0111049416990561	0.0144364242087729	0.00832870627429206	0.0111049416990561	0.00943920044419767	0.0111049416990561	0.0122154358689617	0.00888395335924486	0.00888395335924486	0.0111049416990561	0.0122154358689617	0.0122154358689617	0.0105496946141033	0.00943920044419767
Serum albumin	Alb	P07724	0.121043864519711	0.153803442531927	0.1682398667407	0.1682398667407	0.0938367573570239	0.186007773459189	0.146029983342587	0.166018878400888	0.164908384230983	0.169350360910605	0.153248195446974	0.199888950583009	0.15435868961688	0.213214880621877	0.167129372570794	0.192670738478623
Tyrosine aminotransferase	Tat	Q8QZR1	0.00222098833981122	0.00222098833981122	0.00388672959466963	0.00333148250971682	0.00277623542476402	0.00555247084952804	0.00444197667962243	0.00333148250971682	0.00333148250971682	0.00222098833981122	0.00333148250971682	0.00333148250971682	0.00444197667962243	0.00444197667962243	0.00333148250971682	0.00333148250971682
Synaptosomal-associated protein 47	Snap47	Q8R570;Q8R570-2;B2FDF6	0.00277623542476402	0.00111049416990561	0.00333148250971682	0.00333148250971682	0.00166574125485841	0.00111049416990561	0.00222098833981122	0.00277623542476402	0.00222098833981122	0.00222098833981122	0.00444197667962243	0.00166574125485841	0.00388672959466963	0.00166574125485841	0.00166574125485841	0.00333148250971682
	Akr1c14	Q91WT7	0.0205441421432538	0.0249861188228762	0.0233203775680178	0.0272071071626874	0.0210993892282066	0.0249861188228762	0.0222098833981122	0.022765130483065	0.0244308717379234	0.0244308717379234	0.025541365907829	0.0210993892282066	0.0272071071626874	0.0238756246529706	0.0244308717379234	0.0277623542476402
Perilipin-2	Plin2	P43883;B1AXR5	0.00555247084952804	0.00999444752915047	0.00832870627429206	0.00777345918933926	0.00444197667962243	0.00610771793448084	0.00555247084952804	0.00610771793448084	0.00666296501943365	0.00721821210438645	0.00999444752915047	0.00555247084952804	0.00943920044419767	0.00444197667962243	0.00666296501943365	0.00888395335924486
Transmembrane 9 superfamily member 2	Tm9sf2	E9Q0K1;P58021	0.00222098833981122	0.00166574125485841	0.00388672959466963	0.00277623542476402	0.00222098833981122	0.00222098833981122	0.00277623542476402	0.00333148250971682	0.00277623542476402	0.00166574125485841	0.00222098833981122	0.00111049416990561	0.00111049416990561	0.00166574125485841	0.00111049416990561	0.000555247084952804
Collagen alpha-2(IV) chain;Canstatin	Col4a2	P08122	0.00166574125485841	0.00166574125485841	0.00222098833981122	0.00166574125485841	0.00111049416990561	0.00111049416990561	0.00166574125485841	0.00222098833981122	0.00222098833981122	0.00111049416990561	0.00166574125485841	0.00166574125485841	0.00222098833981122	0.000555247084952804	0.00111049416990561	0.000555247084952804
Leukotriene-B4 omega-hydroxylase 3	Cyp4f14	Q9EP75	0.00222098833981122	0.000555247084952804	0.00555247084952804	0.00277623542476402	0.00444197667962243	0.000555247084952804	0.00166574125485841	0.00555247084952804	0.00555247084952804	0.00166574125485841	0.00499722376457524	0.00111049416990561	0.00111049416990561	0.00166574125485841	0.000555247084952804	0.00111049416990561
ATP-citrate synthase	Acly	Q3V117;Q91V92	0.051082731815658	0.0671848972792893	0.0660744031093837	0.0710716268739589	0.0466407551360355	0.05941143808995	0.056635202665186	0.0616324264297612	0.0699611327040533	0.0588561910049972	0.0749583564686285	0.0583009439200444	0.0577456968350916	0.0610771793448084	0.0571904497501388	0.0638534147695725
Kalirin	Kalrn	A2CG49-7;A2CG49;E9QN83;A2CG49-2;F6QYT9;A2CG49-8;A2CG49-9;B1B1A7	0	0	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0	0.000555247084952804	0	0.000555247084952804	0.000555247084952804	0.000555247084952804	0	0.00111049416990561	0.00111049416990561
Protein S100-A9	S100a9	P31725	0.00111049416990561	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804
Tubulin beta-2A chain;Tubulin beta-2B chain	Tubb2a;Tubb2b	Q7TMM9;Q9CWF2	0.0105496946141033	0.0105496946141033	0.00999444752915047	0.00943920044419767	0.0111049416990561	0.00777345918933926	0.0105496946141033	0.00721821210438645	0.0105496946141033	0.00555247084952804	0.0116601887840089	0.00610771793448084	0.0111049416990561	0.00555247084952804	0.00832870627429206	0.0105496946141033
	Golgb1	E9PVZ8;E9QAH1	0.00888395335924486	0.00999444752915047	0.0111049416990561	0.0105496946141033	0.00888395335924486	0.00721821210438645	0.0105496946141033	0.00999444752915047	0.0111049416990561	0.00943920044419767	0.00832870627429206	0.00555247084952804	0.00832870627429206	0.00943920044419767	0.00832870627429206	0.00832870627429206
Antithrombin-III	Serpinc1	P32261	0.0116601887840089	0.0138811771238201	0.0144364242087729	0.0138811771238201	0.00943920044419767	0.0116601887840089	0.0127706829539145	0.0127706829539145	0.0122154358689617	0.0122154358689617	0.0144364242087729	0.0127706829539145	0.0155469183786785	0.0116601887840089	0.0144364242087729	0.0161021654636313
Scaffold attachment factor B1	Safb	D3YXK2;E9PZM6	0.00222098833981122	0.00277623542476402	0.00222098833981122	0.00222098833981122	0.00222098833981122	0.00277623542476402	0.00222098833981122	0.00222098833981122	0.00166574125485841	0.00111049416990561	0.00166574125485841	0.00222098833981122	0.00277623542476402	0.00111049416990561	0.00166574125485841	0.00166574125485841
Poly [ADP-ribose] polymerase 1	Parp1	Q921K2;P11103;P11103-2	0.00499722376457524	0.00333148250971682	0.00499722376457524	0.00333148250971682	0.00444197667962243	0.00388672959466963	0.00388672959466963	0.00444197667962243	0.00333148250971682	0.00277623542476402	0.00333148250971682	0.00388672959466963	0.00333148250971682	0.00333148250971682	0.00499722376457524	0.00166574125485841
Insulin-like growth factor-binding protein 7	Igfbp7	E9Q5D9;F8WH23;Q61581;F8WII5	0.00111049416990561	0.00277623542476402	0.00333148250971682	0.00222098833981122	0.00166574125485841	0.00277623542476402	0.00222098833981122	0.00222098833981122	0.00222098833981122	0.00166574125485841	0.00277623542476402	0.00166574125485841	0.00277623542476402	0.00166574125485841	0.00166574125485841	0.00222098833981122
	Gm20425	E9Q035	0.0660744031093837	0.0655191560244309	0.062187673514714	0.0616324264297612	0.0477512493059411	0.0616324264297612	0.0682953914491949	0.0599666851749028	0.062187673514714	0.0555247084952804	0.0560799555802332	0.0571904497501388	0.0588561910049972	0.0605219322598556	0.0560799555802332	0.0521932259855636
Apolipoprotein E	Apoe	P08226;G3UWN5	0.00444197667962243	0.00499722376457524	0.00499722376457524	0.00499722376457524	0.00277623542476402	0.00388672959466963	0.00388672959466963	0.00333148250971682	0.00333148250971682	0.00444197667962243	0.00388672959466963	0.00499722376457524	0.00444197667962243	0.00388672959466963	0.00388672959466963	0.00388672959466963
Murinoglobulin-1	Mug1	P28665	0.0583009439200444	0.0583009439200444	0.0616324264297612	0.0549694614103276	0.0521932259855636	0.0555247084952804	0.0588561910049972	0.0488617434758468	0.0605219322598556	0.0399777901166019	0.0627429205996668	0.0499722376457524	0.0644086618545253	0.0499722376457524	0.0588561910049972	0.0655191560244309
Fibroblast growth factor 1	Fgf1	P61148	0.00111049416990561	0.00166574125485841	0.00111049416990561	0.00166574125485841	0.00111049416990561	0.00111049416990561	0.00222098833981122	0.00111049416990561	0.00166574125485841	0.00166574125485841	0.00166574125485841	0.00166574125485841	0.00166574125485841	0.00166574125485841	0.00166574125485841	0.00111049416990561
Oxidoreductase HTATIP2	Htatip2	Q99KN6;Q9Z2G9;Q9Z2G9-2	0.00388672959466963	0.00444197667962243	0.00388672959466963	0.00444197667962243	0.00444197667962243	0.00388672959466963	0.00499722376457524	0.00388672959466963	0.00388672959466963	0.00166574125485841	0.00555247084952804	0.00388672959466963	0.00555247084952804	0.00388672959466963	0.00555247084952804	0.00555247084952804
UBX domain-containing protein 7	Ubxn7	G5E8R8;Q6P5G6	0.000555247084952804	0.00222098833981122	0.00277623542476402	0.00277623542476402	0.00222098833981122	0.00333148250971682	0.00277623542476402	0.00222098833981122	0.00333148250971682	0.00277623542476402	0.00277623542476402	0.00166574125485841	0.00277623542476402	0.00166574125485841	0.00277623542476402	0.00333148250971682
40S ribosomal protein S6	Rps6;Rps6-ps1	P62754;D3Z6N6	0.00943920044419767	0.0149916712937257	0.00999444752915047	0.0122154358689617	0.00666296501943365	0.0127706829539145	0.0144364242087729	0.00943920044419767	0.0111049416990561	0.00721821210438645	0.00999444752915047	0.00943920044419767	0.0138811771238201	0.00888395335924486	0.0116601887840089	0.00721821210438645
N-acetylglucosamine-6-sulfatase	Gns	Q8BFR4	0.00333148250971682	0.00222098833981122	0.00277623542476402	0.00277623542476402	0.00277623542476402	0.00222098833981122	0.00333148250971682	0.00333148250971682	0.00222098833981122	0.00166574125485841	0.00222098833981122	0.00222098833981122	0.00222098833981122	0.00166574125485841	0.00277623542476402	0.00222098833981122
14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	Ywhab	Q9CQV8;Q9CQV8-2;A2A5N1	0.00499722376457524	0.00777345918933926	0.00555247084952804	0.00999444752915047	0.00222098833981122	0.00777345918933926	0.00666296501943365	0.00610771793448084	0.00444197667962243	0.00666296501943365	0.00555247084952804	0.00444197667962243	0.00721821210438645	0.00555247084952804	0.00388672959466963	0.00610771793448084
Histidine-rich glycoprotein	Hrg	Q9ESB3	0.00277623542476402	0.00111049416990561	0.00388672959466963	0.00277623542476402	0.00333148250971682	0.00166574125485841	0.00388672959466963	0.00111049416990561	0.00166574125485841	0.000555247084952804	0.00499722376457524	0.00166574125485841	0.00333148250971682	0.00222098833981122	0.00333148250971682	0.00388672959466963
Chaperone activity of bc1 complex-like, mitochondrial	Adck3	Q60936;F7B1B6;Q60936-2	0.0127706829539145	0.0144364242087729	0.0177679067184897	0.0166574125485841	0.0111049416990561	0.0127706829539145	0.0155469183786785	0.0116601887840089	0.0172126596335369	0.00943920044419767	0.0222098833981122	0.0116601887840089	0.0172126596335369	0.0111049416990561	0.0188784008883953	0.0166574125485841
Torsin-1A-interacting protein 2	Tor1aip2	Q8BYU6	0.00499722376457524	0.00444197667962243	0.00555247084952804	0.00444197667962243	0.00610771793448084	0.00499722376457524	0.00444197667962243	0.00499722376457524	0.00721821210438645	0.00277623542476402	0.00444197667962243	0.00333148250971682	0.00610771793448084	0.00277623542476402	0.00444197667962243	0.00444197667962243
Alpha-mannosidase 2	Man2a1	P27046	0.00832870627429206	0.00721821210438645	0.0105496946141033	0.00999444752915047	0.0111049416990561	0.00721821210438645	0.0116601887840089	0.0127706829539145	0.0138811771238201	0.00499722376457524	0.0161021654636313	0.00444197667962243	0.00832870627429206	0.00499722376457524	0.00832870627429206	0.00832870627429206
Apolipoprotein A-V	Apoa5	Q8C7G5	0.00277623542476402	0.00277623542476402	0.00277623542476402	0.00333148250971682	0.00388672959466963	0.00333148250971682	0.00166574125485841	0.00333148250971682	0.00277623542476402	0.00166574125485841	0.00277623542476402	0.00166574125485841	0.00333148250971682	0.00166574125485841	0.00222098833981122	0.00166574125485841
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain	Ctsl1	P06797	0.00166574125485841	0.00222098833981122	0.00333148250971682	0.00277623542476402	0.00333148250971682	0.00166574125485841	0.00333148250971682	0.00111049416990561	0.00222098833981122	0.00111049416990561	0.00444197667962243	0.00166574125485841	0.00388672959466963	0.000555247084952804	0.00277623542476402	0.00277623542476402
Inosine-5-monophosphate dehydrogenase 2	Impdh2	P24547	0.0111049416990561	0.0149916712937257	0.0183231538034425	0.0127706829539145	0.00888395335924486	0.0133259300388673	0.0144364242087729	0.0116601887840089	0.0127706829539145	0.00888395335924486	0.00999444752915047	0.00943920044419767	0.0166574125485841	0.00943920044419767	0.00888395335924486	0.0111049416990561
Thioredoxin domain-containing protein 15	Txndc15	Q6P6J9	0.00111049416990561	0.00111049416990561	0.00111049416990561	0.00111049416990561	0.000555247084952804	0.00111049416990561	0.000555247084952804	0.00166574125485841	0.000555247084952804	0.00166574125485841	0.00166574125485841	0.00111049416990561	0.00111049416990561	0.00111049416990561	0.00111049416990561	0.00166574125485841
Serotransferrin	Tf	Q921I1	0.0111049416990561	0.0133259300388673	0.0138811771238201	0.0133259300388673	0.00943920044419767	0.0105496946141033	0.0144364242087729	0.0127706829539145	0.0133259300388673	0.0133259300388673	0.0133259300388673	0.0116601887840089	0.0127706829539145	0.0133259300388673	0.0133259300388673	0.0149916712937257
Methionine adenosyltransferase 2 subunit beta	Mat2b	Q99LB6;Q99LB6-2	0.00610771793448084	0.00721821210438645	0.00721821210438645	0.00666296501943365	0.00666296501943365	0.00721821210438645	0.00777345918933926	0.00777345918933926	0.00721821210438645	0.00444197667962243	0.00666296501943365	0.00499722376457524	0.00666296501943365	0.00444197667962243	0.00666296501943365	0.00610771793448084
Alpha-2-HS-glycoprotein	Ahsg	P29699	0.0149916712937257	0.0149916712937257	0.0122154358689617	0.0149916712937257	0.00999444752915047	0.0111049416990561	0.0149916712937257	0.0111049416990561	0.0122154358689617	0.00943920044419767	0.0144364242087729	0.0111049416990561	0.0149916712937257	0.00999444752915047	0.0161021654636313	0.0138811771238201
Transmembrane 9 superfamily member 1	Tm9sf1	Q9DBU0;D3Z6X7;D3YWH4;D6RGM8;D3Z279	0	0.000555247084952804	0.00222098833981122	0.000555247084952804	0.00111049416990561	0.000555247084952804	0	0.00166574125485841	0.00166574125485841	0.000555247084952804	0.000555247084952804	0	0.000555247084952804	0.000555247084952804	0	0.000555247084952804
Retinol-binding protein 4	Rbp4	Q00724	0.00166574125485841	0.00166574125485841	0.00111049416990561	0.00222098833981122	0.00166574125485841	0.00111049416990561	0.00166574125485841	0.00111049416990561	0.00111049416990561	0.00222098833981122	0.00111049416990561	0.00222098833981122	0.00166574125485841	0.00222098833981122	0.00166574125485841	0.00166574125485841
Fatty acid desaturase 1	Fads1	Q920L1	0.00222098833981122	0.00166574125485841	0.00222098833981122	0.00166574125485841	0.00222098833981122	0.00166574125485841	0.00166574125485841	0.00388672959466963	0.00333148250971682	0.00166574125485841	0.00444197667962243	0.000555247084952804	0.000555247084952804	0.00111049416990561	0.000555247084952804	0.000555247084952804
17-beta-hydroxysteroid dehydrogenase 13	Hsd17b13	A8Y5N5;A8Y5N6;Q8VCR2-2;Q8VCR2;A8Y5N4	0.00832870627429206	0.00499722376457524	0.00943920044419767	0.00999444752915047	0.00777345918933926	0.00666296501943365	0.00666296501943365	0.00888395335924486	0.0122154358689617	0.00721821210438645	0.00888395335924486	0.00832870627429206	0.00499722376457524	0.00610771793448084	0.00444197667962243	0.00610771793448084
	Ppp2r1a	G3UWL2	0.000555247084952804	0.00111049416990561	0.00166574125485841	0.00166574125485841	0.000555247084952804	0.00166574125485841	0.000555247084952804	0.00166574125485841	0.00222098833981122	0.00111049416990561	0.000555247084952804	0.000555247084952804	0.00166574125485841	0.000555247084952804	0.000555247084952804	0.000555247084952804
