Protein.Name	Gene.Name	Uniprot.ID	Pvalue.protein	FDR.protein
Chaperone activity of bc1 complex-like, mitochondrial	Adck3	Q60936;F7B1B6;Q60936-2;E0CXR1;E0CYC1;E0CXR6;E0CXT4;E0CZ05;E0CYG7;E0CYT4;E0CYD3;F6T0A8;E0CXI5	0.002517867	0.125128998
Torsin-1A-interacting protein 2	Tor1aip2	Q8BYU6	0.002688711	0.131275135
Alpha-mannosidase 2	Man2a1	P27046;F6QMB7;Q8BRK9;Q8BRK9-2;Q9WU23	0.002906414	0.139457761
Apolipoprotein A-V	Apoa5	Q8C7G5	0.003008515	0.141910123
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain	Ctsl1	P06797;E9Q6H1	0.003284212	0.142811906
Inosine-5-monophosphate dehydrogenase 2	Impdh2	P24547	0.003116086	0.142811906
Thioredoxin domain-containing protein 15	Txndc15	Q6P6J9	0.003140634	0.142811906
Serotransferrin	Tf	Q921I1;D3YYR8;CON__Q0IIK2;CON__Q29443	0.003260272	0.142811906
Methionine adenosyltransferase 2 subunit beta	Mat2b	Q99LB6;Q99LB6-2;E0CYU5	0.003187916	0.142811906
Alpha-2-HS-glycoprotein	Ahsg	P29699	0.003441251	0.147338485
Transmembrane 9 superfamily member 1	Tm9sf1	Q9DBU0;D3Z6X7;D3YWH4;D6RGM8;D3Z279;D3YYW1	0.00103461	0.15001845
Retinol-binding protein 4	Rbp4	Q00724	0.003652975	0.151734768
Fatty acid desaturase 1	Fads1	Q920L1	0.003645196	0.151734768
17-beta-hydroxysteroid dehydrogenase 13	Hsd17b13	A8Y5N5;A8Y5N6;Q8VCR2-2;Q8VCR2;A8Y5N4	0.003740195	0.153072981
	Ppp2r1a	G3UWL2	0.003894573	0.157081111
60S ribosomal protein L18	Rpl18	P35980;G3UZK4;G3UZJ6;G3UX28;G3UYV6	0.004044792	0.160809373
Carboxypeptidase N subunit 2	Cpn2	Q9DBB9	0.00422702	0.165687277
Roquin	Rc3h1	Q4VGL6	0.002386866	0.165887212
Serine/threonine-protein kinase Sgk2	Sgk2	Q9QZS5;E9Q4F0;Q9QZS5-2;Q9ERE3;E9PWP2	0.00481043	0.168032148
Low affinity cationic amino acid transporter 2	Slc7a2	E9QJY0;E9Q6C4;P18581-2;E9QPL9;P18581	0.004572455	0.168032148
Polymeric immunoglobulin receptor;Secretory component	Pigr	O70570;D3Z2D3;D3YVM4	0.004366189	0.168032148
Complement C3;Complement C3 beta chain;Complement C3 alpha chain;C3a anaphylatoxin;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	C3	P01027;P01027-2	0.004705566	0.168032148
Apolipoprotein A-II	Apoa2	P09813;Q3UKX6	0.004763361	0.168032148
Lumican	Lum	P51885	0.004830245	0.168032148
Acid sphingomyelinase-like phosphodiesterase 3a	Smpdl3a	P70158	0.004564402	0.168032148
Beta-lactamase-like protein 2	Lactb2	Q99KR3	0.004604294	0.168032148
Vitamin D-binding protein	Gc	P21614	0.005094487	0.170818763
NADPH--cytochrome P450 reductase	Por	P37040;Q05DV1;E9Q997;E9PVT9;F6R7H8	0.005091997	0.170818763
NADPH:adrenodoxin oxidoreductase, mitochondrial	Fdxr	Q61578	0.005031567	0.170818763
Beta-2-glycoprotein 1	Apoh	Q01339	0.00523133	0.173318945
Apolipoprotein A-I;Truncated apolipoprotein A-I	Apoa1	Q8BPD5;Q00623;CON__P15497	0.00550295	0.180173057
Liprin-beta-1	Ppfibp1	Q8C8U0-3;Q8C8U0;Q8C8U0-2;F7CUU8;F6S1C4	0.005778641	0.186999511
GTP-binding protein SAR1b	Sar1b	Q9CQC9	0.005879007	0.188060649
DnaJ homolog subfamily A member 1	Dnaja1	P63037;B1AXY1;B1AXY0;B1AXX9	0.006022921	0.188334709
GMP synthase [glutamine-hydrolyzing]	Gmps	Q3THK7	0.00595555	0.188334709
Beta-hexosaminidase subunit alpha	Hexa	P29416;E9PW67	0.006323962	0.189407988
Signal transducer and transcription activator 6	Stat6	P52633	0.00632948	0.189407988
	Sorbs2	Q3UTJ2-2;D3Z080;Q3UTJ2-5;B2RXQ9;F7BEU1;F6V513	0.00632058	0.189407988
Epsin-1	Epn1	Q80VP1-2;Q80VP1;D3Z4V3;D3Z550	0.006310686	0.189407988
Small nuclear ribonucleoprotein Sm D3	Snrpd3	P62320	0.006525677	0.189911282
Na(+)/H(+) exchange regulatory cofactor NHE-RF1	Slc9a3r1	P70441;P70441-2	0.006451599	0.189911282
DNA topoisomerase 2-beta	Top2b	Q64511;F6V2E8;F6XX57;F6U5K2	0.006551018	0.189911282
Nucleophosmin	Npm1	Q61937;Q5SQB0;Q5SQB5;Q9DAY9;E9Q5T3	0.006976751	0.196124223
Complement factor I;Complement factor I heavy chain;Complement factor I light chain	Cfi	Q61129	0.006952212	0.196124223
Carboxylesterase 1D	Ces1d	Q8VCT4	0.007123379	0.198243638
Tubulin alpha-1C chain	Tuba1c	P68373	0.007250704	0.1997892
	Sf3b2	Q3UJB0	0.00738162	0.199972759
Peroxisomal carnitine O-octanoyltransferase	Crot	Q9DC50	0.007472931	0.199972759
Rap guanine nucleotide exchange factor 4	Rapgef4	E9Q145;Q9EQZ6;A2ASW8;Q9EQZ6-2	0.007401878	0.199972759
Microfibril-associated glycoprotein 4	Mfap4	Q9D1H9;Q9D1H9-2	0.007695219	0.202035797
CD302 antigen	Cd302	Q9DCG2;Q9DCG2-2	0.007635384	0.202035797
Afamin	Afm	E9Q826;O89020-3;O89020;O89020-2;CON__REFSEQ:XP_585019	0.007853373	0.202369788
Atlastin-2	Atl2	Q6PA06;Q8BYP9;E9QND8;Q6PA06-2	0.007799033	0.202369788
	Ythdf2	E9Q2W5;Q91YT7;E9PW90	0.008073989	0.202771779
	Acacb	E9Q4Z2;D3Z0B3	0.008103514	0.202771779
Cytochrome b5	Cyb5a;Cyb5	P56395;G5E850;E0CY88	0.008245925	0.202771779
Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b	Eif1;Gm6900;Gm16378;Eif1b	P48024;G3UW42;D3YXK8;Q9CXU9	0.008379053	0.202771779
Phosphoglycolate phosphatase	Pgp	Q8CHP8	0.008352615	0.202771779
Inositol monophosphatase 1	Impa1	Q924B0;O55023;Q80ZJ2;D3Z703	0.00845186	0.202771779
Mitochondrial-processing peptidase subunit beta	Pmpcb	Q9CXT8;D3Z1T9	0.008429542	0.202771779
Probable methylthioribulose-1-phosphate dehydratase	Apip	Q9WVQ5	0.008324658	0.202771779
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	Ppip5k2	E9Q9J4;Q6ZQB6;Q6ZQB6-3;Q6ZQB6-2;E9PZI4;A2ARP1;A2ARP1-2;A2ARP1-3;A2ARP1-7;A2ARP1-6	0.008567991	0.203801017
	Gltscr2	Q8BK35	0.003721842	0.204241356
Putative RNA-binding protein Luc7-like 2	Luc7l2	Q7TNC4;Q7TNC4-3;E9PZ93;Q7TNC4-2;E9QNA0;Q05CX5;E9PXU4;E9PX54;E9Q715	0.008661183	0.204271799
Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain	F2	P19221;CON__P00735	0.008862723	0.205541318
Methyltransferase-like protein 7B	Mettl7b	Q9DD20	0.00879353	0.205541318
Retinol dehydrogenase 7	Rdh7	O88451;F6U1Q7;E9QA87	0.009035734	0.206118424
Alpha-1-antitrypsin 1-5	Serpina1e	Q00898	0.008967405	0.206118424
Long-chain-fatty-acid--CoA ligase 5	Acsl5	Q8JZR0;Q9D9S0	0.009119865	0.206346214
Cytochrome P450 2D26	Cyp2d26	Q8CIM7	0.009226747	0.207080943
Actin-related protein 2/3 complex subunit 4	Arpc4	P59999;E9PWA7	0.009344638	0.20804902
Membrane-associated progesterone receptor component 1	Pgrmc1	O55022;Q3TFP8	0.009580953	0.2101449
Beta-galactosidase	Glb1	P23780;E9PVK3;F7AF87	0.009589796	0.2101449
2-hydroxyacyl-CoA lyase 1	Hacl1	Q9QXE0;D3YZ54;E9PWM4;E9Q9L4;E9Q7H7;E9Q0K0;D6RDE9	0.009853522	0.214237123
Acetyl-coenzyme A synthetase, cytoplasmic	Acss2	A2AQN4;Q9QXG4;A2AQN5;F7CU63;D6RHA7	0.00994387	0.214525506
Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase	Fasn	P19096	0.01027053	0.219868346
Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment	Gm20547;Cfb	B8JJN0;F6VQX8;B8JJM5;P04186;B8JJM6;F6W2T4;B8JJM3;F6WZA2	0.010584127	0.222819474
	Trip11	E9Q512;E9Q4A9	0.010920052	0.222819474
Desmin	Des	P31001	0.011289093	0.222819474
Heat shock cognate 71 kDa protein	Hspa8	P63017;Q504P4;D3YW43;D3Z5E2	0.010694679	0.222819474
Histidine--tRNA ligase, cytoplasmic	Hars	Q61035	0.010569573	0.222819474
Filamin-B	Flnb	Q80X90	0.010961237	0.222819474
Vacuolar protein sorting-associated protein 13C	Vps13c	Q8BX70;Q8BX70-3;E9QLN1;Q8BX70-2;A1ILH0;A1ILH1;A1ILH2	0.011262053	0.222819474
Protein OS-9	Os9	Q8K2C7;Q8K2C7-2	0.010935518	0.222819474
	Akr1c20	Q8VC77;Q9CZU0	0.011090173	0.222819474
Cystathionine beta-synthase	Cbs	Q91WT9;Q91WT9-2;D3YUF2;D3YYN0;D3Z4K2	0.011168619	0.222819474
Stomatin-like protein 2	Stoml2	Q99JB2;F6WI02;A2AG39;A2AG41	0.011173725	0.222819474
Nuclear receptor coactivator 2	Ncoa2	Q61026;E9PV80	0.003332007	0.224691437
E3 ubiquitin-protein ligase Praja-1	Pja1	O55176;B1AXU4;B1AXU3;O55176-2;O55176-4;O55176-5	0.003703705	0.224691437
Protein phosphatase 1 regulatory subunit 3B	Ppp1r3b	Q8C767	0.001928637	0.224691437
Vimentin	Vim	P20152;E9PZV5;G3X981;P15331-2;G5E846;P15331;P15331-3;A2AKJ2	0.011627127	0.225002108
Peroxisomal targeting signal 1 receptor	Pex5	O09012-2;O09012;D3Z600	0.01184535	0.225002108
Annexin A2;Annexin	Anxa2	P07356;B0V2N7;B0V2N8;B0V2N5	0.012289012	0.225002108
Myosin phosphatase Rho-interacting protein	Mprip	P97434-2;P97434-5;P97434;P97434-3;Q5SWZ5;F6RND9;F6S5I0;P97434-4;E9PZ80;F6XZM9	0.012213055	0.225002108
DNA damage-binding protein 1	Ddb1	Q3U1J4;E9Q4W8;F7ADY1	0.012063368	0.225002108
UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase	Uap1	Q3UHZ7;Q91YN5;Q91YN5-3;Q91YN5-2	0.012284097	0.225002108
Cytidine monophosphate-N-acetylneuraminic acid hydroxylase	Cmah	Q61419;Q61419-2	0.012172925	0.225002108
	Spnb3	Q68FG2	0.011489651	0.225002108
Glucokinase regulatory protein	Gckr	Q91X44	0.012208161	0.225002108
Glycogen phosphorylase, liver form;Phosphorylase	Pygl	Q9ET01;Q3UEJ6	0.011880562	0.225002108
Peroxisomal acyl-coenzyme A oxidase 1	Acox1	Q9R0H0	0.012238551	0.225002108
Dedicator of cytokinesis protein 8	Dock8	Q8C147;Q8C147-2	0.004762856	0.226085046
mRNA-decapping enzyme 1A	Dcp1a	Q91YD3	0.012448445	0.226431519
Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit	Pzp;A2m	D3YW52;Q61838;D3YUI3	0.012712601	0.227370578
Ornithine carbamoyltransferase, mitochondrial	Otc	P11725;Q8R1A8	0.012755984	0.227370578
Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed;Peptidyl-prolyl cis-trans isomerase	Fkbp4	P30416;F6S2D5;D6RDE2;F7CAT1	0.01307197	0.227370578
Bcl-2-associated transcription factor 1	Bclaf1	Q8K019;Q8K019-2;Q8K019-3;E9Q5V0	0.012883191	0.227370578
3-ketoacyl-CoA thiolase B, peroxisomal	Acaa1b	Q8VCH0	0.012968674	0.227370578
Sorting nexin-2	Snx2	Q9CWK8	0.013032644	0.227370578
Lon protease homolog 2, peroxisomal;Lon protease homolog	Lonp2	Q9DBN5;E9Q6G7;Q9DBN5-3;Q9DBN5-2;Q8BK80;REV__A8C756	0.012880539	0.227370578
Ribonuclease;Ribonuclease H2 subunit A	Rnaseh2a	F6RP29;Q9CWY8;Q05C51	0.00850039	0.232574007
Interleukin-6 receptor subunit beta	Il6st	G5E8D2;Q00560	0.009746906	0.232574007
Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain	F5	O88783	0.005536521	0.232574007
SPARC	Sparc	P07214;Q5NCU4;Q5NCU3	0.008395778	0.232574007
Vitamin K epoxide reductase complex subunit 1-like protein 1	Vkorc1l1	Q6TEK5	0.00545632	0.232574007
Cleavage stimulation factor subunit 3	Cstf3	Q99LI7	0.011253581	0.232574007
Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	Enpp5	Q9EQG7	0.013695324	0.236733458
Splicing factor 1	Sf1	D3YZC9;Q64213;Q64213-3;D3YZD0;E9Q4Q2;Q64213-2;D3YVH4;F8WHF9;F6SRV1;D6RDB7	0.013786963	0.236846408
Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B	Plg	P20918;CON__P06868	0.013981444	0.237569176
Cysteine dioxygenase type 1	Cdo1	P60334	0.014055753	0.237569176
Cleavage and polyadenylation specificity factor subunit 5	Nudt21	Q9CQF3	0.014085129	0.237569176
26S proteasome non-ATPase regulatory subunit 3	Psmd3	P14685;F7B7L8	0.014230745	0.238579297
Methyltransferase-like protein 9	Mettl9	Q9EPL4	0.004263224	0.240872156
Retinol dehydrogenase 11	Rdh11	Q9QYF1;Q9R1R8;Q9R1R9	0.014524626	0.242048109
Carbonyl reductase family member 4	Cbr4	Q91VT4;D3Z6C4	0.014659652	0.242844116
Sulfhydryl oxidase 1	Qsox1	Q8BND5;Q8BND5-2;Q8BND5-3	0.01385688	0.245464731
Serine protease inhibitor A3K	Serpina3k	P07759;P29621;E9Q499	0.015134575	0.247761895
Protein Red	Ik	Q9Z1M8	0.015113257	0.247761895
Dimethylaniline monooxygenase [N-oxide-forming] 5	Fmo5	P97872	0.015340691	0.249667503
Transcription elongation factor A protein 1	Tcea1	P10711;P10711-2	0.01551712	0.25107061
UBX domain-containing protein 1	Ubxn1	Q922Y1	0.015667116	0.252032276
Serine/arginine-rich splicing factor 5	Srsf5	O35326;Q9D8S5;Q640L9;E9QKW3;A2A837;E9Q4U8	0.016090903	0.257361972
Dynein light chain roadblock-type 1	Dynlrb1	P62627	0.016226947	0.25805482
28S ribosomal protein S29, mitochondrial	Dap3	G3X9M0;Q9ER88;Q9ER88-2;G3UWZ6;G3UWM7;G3UZC0;G3UWJ4;G3UWR5;G3UYM6;G3UYP3	0.016523307	0.258756836
Ras-related protein Rab-1B	Rab1b	Q9D1G1;Q8K386;Q9DD03	0.016447539	0.258756836
Cathepsin F	Ctsf	Q9R013	0.016550024	0.258756836
Alanine aminotransferase 2	Gpt2	Q8BGT5;D6RFQ8	0.016746097	0.260359709
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	Atp2a2	F8WI94;O55143;O55143-2	0.016926138	0.261256846
Leukotriene A-4 hydrolase	Lta4h	P24527	0.016991552	0.261256846
GTP-binding protein SAR1a	Sar1a	Q99JZ4;P36536	0.017202574	0.26150523
Carbohydrate-responsive element-binding protein	Mlxipl	Q99MZ3;Q99MZ3-2;Q99MZ3-3;Q99MZ3-4;Q99MZ3-5;F6Q3B6;F6Q4B6	0.01710649	0.26150523
Parathymosin	Ptms	Q9D0J8	0.017289602	0.26150523
Selenoprotein H	Selh	Q3UQA7	0.007855965	0.263104951
Cytochrome P450 2E1	Cyp2e1	Q05421;Q0PGA1;Q0PGA0	0.017558614	0.263262074
Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	Echdc3	Q9D7J9;A2AR43	0.01759495	0.263262074
ADP-ribosylation factor-binding protein GGA2	Gga2	Q6P5E6;Q6P5E6-2	0.003364456	0.267474252
Calcyclin-binding protein	Cacybp	Q9CXW3	0.018330261	0.272797414
	Aamp	Q3TJ22	0.018522539	0.274192692
Src substrate cortactin	Cttn	Q60598;Q921L6	0.018621286	0.274195973
Cingulin-like protein 1	Cgnl1	B2RSU6;Q6AW69;Q6AW69-4;Q6AW69-5;D3Z3H4;Q6AW69-3	0.018824517	0.275729636
B-cell receptor-associated protein 31	Bcap31	A2ALM8;Q61335	0.019161627	0.276358331
Phenylalanine--tRNA ligase alpha subunit	Farsa	Q8C0C7;E9PWY9;Q8BJG2;E9Q319;D6RIJ2	0.019165346	0.276358331
Catechol O-methyltransferase	Comt	Q91XH4;O88587;O88587-2;D3Z227	0.019108872	0.276358331
Acyl-coenzyme A thioesterase 8	Acot8	P58137;Q8BZR4;G3UXJ8	0.019519332	0.279168096
ATP-binding cassette sub-family A member 6	Abca6	Q8K441;Q8K449;Q8K441-2	0.019560826	0.279168096
Monoacylglycerol lipase ABHD6	Abhd6	Q8R2Y0;Q8R2Y0-2	0.01972338	0.28005187
Endoplasmic reticulum resident protein 29	Erp29	P57759;D6RG87;F8WIM7;F8WJI4	0.019841468	0.280298505
Heterogeneous nuclear ribonucleoprotein A/B	Hnrnpab	Q20BD0;Q80XR6;Q99020;Q9D6G1	0.019948841	0.280392043
Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 24	Usp24	E9PV45;B1AY13;B1AY13-2	0.020479549	0.280761502
	Ces1b	D3Z5G7	0.020272016	0.280761502
	Tpr	E9PZZ3;Q7M739;Q8BK71;F6RX08	0.020198015	0.280761502
Acyl-coenzyme A synthetase ACSM5, mitochondrial	Acsm5	Q8BGA8;Q8BGA8-2	0.020288541	0.280761502
Bifunctional protein NCOAT;Protein O-GlcNAcase;Histone acetyltransferase	Mgea5	Q9EQQ9-3;Q9EQQ9;Q9EQQ9-2	0.020473911	0.280761502
	Eif4g2	G3XA17;F7CBP1	0.020664735	0.281911556
Oxysterol-binding protein	Osbpl8	B9EJ86;G3X9N6;G5E833;Q9ER64;E9Q6K2	0.011217899	0.282967582
Dimethylaniline monooxygenase [N-oxide-forming] 1	Fmo1	P50285;Q3UNX7;D3Z0T2;Q8C9C1	0.020875524	0.283397967
Reticulon-4	Rtn4	Q99P72-1	0.020994045	0.283623433
	Sorbs1	E9QNA7;Q62417-2;Q62417-7;F6XUF0;E9Q6A3;Q62417-4;F6PZD9;Q62417-6;Q62417-5;D3Z5J3;F6X019	0.021788276	0.286362023
	Gstm6	G5E8M7;D3YVP8;D3YVQ0	0.021801006	0.286362023
COP9 signalosome complex subunit 3	Cops3	O88543;Q8BX58;F6YCA7;D3Z036	0.021814139	0.286362023
Bisphosphoglycerate mutase;Phosphoglycerate mutase	Bpgm	P15327;D3Z223;D3YUE8;D3YYH3	0.021768593	0.286362023
RNA-binding protein with multiple splicing	Rbpms	Q78HG1;Q9CPU5;Q9WVB0;E9Q4D9	0.021304182	0.286362023
Fetuin-B	Fetub	Q9QXC1;Q6YJU1	0.02159501	0.286362023
Heat shock protein HSP 90-beta	Hsp90ab1	P11499;E9Q3D6;E9Q0C3;E9PX27;D3Z1R1	0.022126132	0.287743109
GTP cyclohydrolase 1	Gch1	Q05915	0.022099374	0.287743109
Muscleblind-like protein 1	Mbnl1	Q8CHF5;G3X9Q0;Q9JKP5;Q3U581;Q8R003;Q3U570	0.022253175	0.288049237
Atlastin-3	Atl3	Q91YH5;E9PYT3;Q91YH5-2	0.023033651	0.294048857
Heterogeneous nuclear ribonucleoprotein K	Hnrnpk;Gm7964	P61979-2;P61979;D3YWG1	0.022925858	0.294048857
	Cyp2c67	Q569X9	0.022981997	0.294048857
Transcriptional activator protein Pur-alpha	Pura	P42669	0.02319979	0.294817423
Vesicle-associated membrane protein-associated protein A	Vapa	Q9WV55	0.023446841	0.296602539
Peroxisomal bifunctional enzyme;Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase;3-hydroxyacyl-CoA dehydrogenase	Ehhadh	Q9DBM2	0.023645772	0.297765536
Programmed cell death protein 6	Pdcd6	P12815	0.024191344	0.302102612
Inorganic pyrophosphatase 2, mitochondrial	Ppa2	Q91VM9;D3Z636;Q91VM9-2;G8JL76;D3Z096	0.024207288	0.302102612
