Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
Apolipoprotein A-IV	Apoa4	P06728	1417761_at	-0.480368537	-0.761880954	-1.012926174	-1.007626092	-1.027154052	-0.803970928	-0.764685853	-0.392757034	-0.69884077	-0.687866939	-0.943058639	-0.944558634	-1.124394312	-0.703277924	-0.829930722	-0.396159489
Clusterin;Clusterin beta chain;Clusterin alpha chain	Clu	Q06890;E9Q8Y5;E9PXG5;E9PUU2;E9Q9B8;E9Q2G2	1437689_x_at	0.426819397	0.331717458	0.202306314	0.216635547	0.242020965	0.565673352	0.571343027	0.561111029	0.322288814	0.198361215	0.306359163	0.257666039	0.296155104	0.608144314	0.475775811	0.50760327
Cold shock domain-containing protein E1	Csde1	Q91W50;Q80TP8	1423997_at	0.022097333	-0.089226942	-0.103128316	-0.121015401	-0.176578094	0.005767868	-0.011781859	0.063243353	-0.008486889	-0.06997707	-0.091259766	-0.239642442	-0.111432005	-0.087598618	-0.030124161	0.045297439
Gamma-aminobutyric acid receptor-associated protein-like 2	Gabarapl2	P60521	1441376_at	0.67982729	-0.160145725	0.253807642	-0.174278571	-0.108892402	0.506496123	0.82161042	0.564008778	0.834673295	0.269877442	-0.245373963	-0.153805336	-0.218223197	0.373719744	0.40615864	0.811168673
Ganglioside GM2 activator	Gm2a	Q60648	1448241_at	NA	-0.089498151	0.034027369	0.231531929	0.227387976	-0.075327251	-0.193077822	-0.184343778	-0.355354621	0.036111623	0.017855185	0.302421874	0.213738215	0.051713141	-0.222309979	-0.063088712
Glycogenin-1	Gyg;Gyg1	D3Z5N4;Q9R062	1448429_at	-1.370164281	-1.542406646	-1.192636061	-0.601601443	0.084547937	-0.417379976	-0.772983552	-1.314290484	-1.43909117	-1.341131829	-1.00784134	-0.844144581	-0.079292767	-1.070389328	-0.966208952	-1.113300436
Heme-binding protein 1	Hebp1	E9QKH1;Q9R257	1418172_at	-0.240253262	-0.264356271	-0.002306467	-0.020626651	0.124078426	-0.247562997	-0.368712484	-0.449006639	-0.319039816	-0.298658316	-0.145612247	-0.083792032	0.02852818	0.024619271	-0.253142153	-0.375289709
Apolipoprotein F	Apof	Q91V80	1418239_at	-0.013640911	-0.02446153	-0.137765808	-0.226138561	-0.793271654	-0.484911487	-0.562181356	-0.200504353	-0.072860402	-0.348232419	-0.093560176	-0.278936315	-0.587172939	-0.63282657	-0.624896322	-0.293135019
V-type proton ATPase catalytic subunit A	Atp6v1a	P50516;P50516-2;D3Z1B9;D3YWH3;D3YZ23	1450634_at	-0.10017032	-0.077926579	-0.125651102	-0.132247798	-0.046002047	-0.035764654	0.002078978	-0.057415612	-0.05004888	-0.161952159	-0.131852846	-0.120617361	-0.087055435	-0.037593076	-0.055750964	-0.028569152
5-aminolevulinate synthase, nonspecific, mitochondrial	Alas1	Q8VC19;D6RGR8	1424126_at	0.622620782	0.276712311	0.194575458	1.26593425	1.029499702	1.835110768	1.702280328	0.891000577	0.249016257	0.428255243	-0.056860943	1.259081072	0.746010734	1.62945626	1.307215743	0.924946635
TSC22 domain family protein 3	Tsc22d3	Q9Z2S7-3;Q9Z2S7;B1AVF2;Q9Z2S7-2	1420772_a_at	-0.16079114	NA	-0.70017335	-0.779217689	-1.051024003	0.140634682	0.143500269	-0.07956585	NA	-0.678702946	-1.258820397	-0.786345437	-0.550999139	-0.158337027	-0.114233744	-0.108357178
Transferrin receptor protein 1	Tfrc	Q62351;Q8C872	1452661_at	0.521763316	0.498932882	0.470109106	0.336081605	-0.102187793	0.135443384	0.441967527	0.332752748	0.4493554	0.502178175	0.20414995	0.096221285	-0.016353684	0.166292184	0.283281214	0.501442752
Interferon regulatory factor 5	Irf5	P56477;E9PWX5;E9Q5T2;F6Z6C6	1460231_at	NA	0.325991391	NA	0.550929952	NA	0.717927959	0.669648124	0.578240798	NA	0.408531211	NA	0.560621543	0.655035192	NA	NA	NA
Molybdenum cofactor sulfurase	Mocos	Q14CH1	1429352_at	0.001631167	0.192265905	0.21702118	0.1953186	0.17008551	0.135142323	0.043155286	-0.03885755	-0.01948843	0.196310053	0.222952777	0.25004532	0.157576235	0.214658701	-0.022048165	0.094495057
Transportin-1	Tnpo1	Q8BFY9;Q8BFY9-2	1433585_at	-0.175684271	-0.041383179	-0.01834931	0.086721847	0.14445673	0.147617561	0.011791595	-0.146133829	-0.06474492	0.028116217	0.024428506	0.064404476	0.261396434	0.265552663	0.059855806	0.045893046
Tripeptidyl-peptidase 2	Tpp2	Q64514-2	1421894_a_at	0.022492927	0.043601306	0.030560291	0.127777989	0.163316387	0.147345905	0.108658589	0.100654196	-0.081339627	-0.023468281	0.021335754	0.14163699	0.150769315	0.105845787	0.101319535	0.110682222
	Tsc22d2	E9Q7M2	1453012_at	-0.045303168	NA	-0.841409613	NA	-0.506195692	NA	0.363103975	NA	NA	NA	NA	NA	-0.470823163	NA	0.206445329	0.194212283
Phosphatidate phosphatase LPIN1	Lpin1	Q91ZP3;E9QKQ5;Q91ZP3-2	1418288_at	-1.516872438	NA	-1.325559113	-0.586788758	-0.564426949	1.043408014	1.00069266	-0.6368218	-1.643902355	-1.922806773	-1.012211084	-0.187514398	-0.040261223	0.247611057	-0.731704603	NA
Galectin-3-binding protein	Lgals3bp	Q07797;E9Q5X5	1448380_at	-0.612399683	-0.434774991	-0.396926676	-0.392207499	-0.294547234	-0.436161839	-0.603786553	-0.593975179	-0.765789317	-0.527670916	-0.455439015	-0.249506021	-0.49067281	-0.322043506	-0.488412176	-0.759581973
Death-associated protein 1	Dap	Q91XC8	1423790_at	0.064540252	0.393955812	0.247885135	0.407535787	0.126234039	0.100221117	0.018702617	0.00106799	0.098057668	0.237455578	0.538387626	0.262347846	0.152067215	0.077939195	0.134635413	0.018001258
Alpha-1-antitrypsin 1-4	Serpina1d	Q00897	1449321_x_at	0.644059083	-0.003890027	0.082087108	0.27888112	0.176756079	0.877711609	0.606386108	0.701599751	0.439480678	0.163477958	0.059479903	0.101737463	0.022800686	0.602766563	0.51154669	0.57181472
T-complex protein 1 subunit theta	Cct8	P42932	1415785_a_at	-0.067501049	0.048098934	-0.054362288	-0.07244885	-0.099227866	-0.120086471	-0.149909668	-0.074231394	-0.003602237	-0.060877473	0.009843833	-0.068464451	-0.138290234	-0.120750053	-0.114766793	-0.034215715
Molybdopterin synthase catalytic subunit	Mocs2	Q9Z223;Q9Z223-1;E9PVP5;Q9Z223-3;E9PUX1	1424310_at	-0.173511248	-0.213876043	-0.294900072	-0.42739163	-0.42050935	-0.552180304	-0.297484916	-0.345282818	-0.067638717	-0.130535557	-0.105946212	-0.430606431	-0.354677829	NA	-0.419538892	-0.216610069
Coxsackievirus and adenovirus receptor homolog	Cxadr	P97792;P97792-2;P97792-3	1452391_at	0.249770832	0.341445739	0.141191434	0.027057423	-0.21126145	-0.094100916	-0.012211084	0.096884582	-0.006333934	0.126186802	0.022536889	0.037991511	-0.274410769	-0.341871921	-0.102456577	-0.072860402
Corticosteroid-binding globulin	Serpina6	Q06770;D3Z548	1448506_at	-0.839395295	-1.195977459	-1.082225699	-1.052694111	-0.515813357	-0.614003045	-0.570948605	-0.658371456	-0.577150837	-0.758814832	-0.991027447	-0.926454935	-0.652234073	-0.222433641	-0.530570204	-0.406101238
Alpha-1-antitrypsin 1-2	Serpina1b	P22599	1449321_x_at	0.018907244	-0.567545448	-0.364236231	-0.222804561	-0.170950553	0.322793972	0.076204272	0.188200188	0.059600181	-0.270947487	-0.359746047	-0.354226457	-0.481195593	0.205995945	0.026513623	0.100020088
Clathrin interactor 1	Clint1	Q5SUH6;Q5SUH7;Q99KN9;Q99KN9-2	1452152_at	-0.162210036	-0.103128316	-0.131457785	-0.081475982	-0.118891252	-0.13842131	-0.227371423	-0.236217064	-0.172103428	-0.174022842	-0.131194352	-0.029134804	-0.062812492	-0.167229454	-0.149259365	-0.184724621
Serum albumin	Alb	P07724	1425260_at	-0.186373777	-0.701149793	-0.633105666	-0.520045024	-0.351515261	-0.14574266	-0.304861451	-0.155619721	-0.253747285	-0.500394166	-0.659833246	-0.568907674	-0.638676283	0.005087245	-0.323773564	-0.009490503
Tyrosine aminotransferase	Tat	Q8QZR1;D3Z307	1451557_at	1.449335701	-0.548633903	-0.331131922	0.227252864	0.199487286	2.491510497	1.579533767	1.276345335	0.689287619	0.350338559	-0.702391584	0.259720017	0.525641837	1.48681248	0.747705459	1.204399271
Synaptosomal-associated protein 47	Snap47	Q8R570;Q8R570-2;B2FDF6;B2FDF7	1423745_at	0.624955006	0.569950288	0.34142746	0.359360564	0.288170339	0.482653749	0.519776246	0.628586111	0.547172656	0.513213558	0.49836214	0.493255897	0.275751382	0.511423295	0.560025872	0.553997919
	Akr1c14	Q91WT7	1418979_at	0.218078007	0.141414195	0.190832543	0.161169219	0.306948007	0.400872674	0.34963982	0.29390713	0.084104372	0.157399234	0.106094211	0.289686164	0.224586986	0.260307406	0.307804937	0.279423832
Perilipin-2	Plin2	P43883;B1AXR5;B1AXR3	1448318_at	-2.319791325	-1.286112294	-1.488000771	-2.187672746	-2.660814555	-2.534260856	-2.638212885	-2.110162762	-2.103799743	-1.451962766	-1.905312386	-1.793771059	-2.729661526	-2.100641316	-2.822057073	-2.488746356
Transmembrane 9 superfamily member 2	Tm9sf2	E9Q0K1;P58021;E9PZ69	1423295_at	0.127242146	-0.066123642	-0.02672925	-0.103128316	0.039280723	0.093571141	0.151987064	0.112225204	0.137695415	-0.096531743	-0.082975027	-0.165172318	0.100747015	0.1827697	0.262763205	-0.019630756
Collagen alpha-2(IV) chain;Canstatin	Col4a2	P08122;D3YV27	1424051_at	-0.39462389	-0.388024176	-0.489542936	-0.941782416	-0.812292845	-0.404794153	-0.290542363	0.213721484	-0.207767938	-0.532067552	-0.987320866	-0.729444007	-0.869239719	-0.609187605	-0.638120188	-0.319271091
Leukotriene-B4 omega-hydroxylase 3	Cyp4f14	Q9EP75;G3UW81	1419559_at	0.295676895	0.119792514	0.39215603	0.046027092	-0.232906301	-0.118492626	0.022068034	-0.107420059	0.271217453	0.294986428	0.135617712	0.140634682	-0.014498127	-0.161565256	0.033097079	-0.029841557
ATP-citrate synthase	Acly	Q3V117;Q91V92;Q3TS02	1439459_x_at	-1.381947801	-1.372673558	-1.440580184	-1.459116814	-1.586164246	-1.876801774	-1.916476644	-1.706154773	-1.70230292	-1.501617481	-1.68036937	-1.423094054	-1.800289051	-1.798672679	-2.113967146	-1.70137162
Kalirin	Kalrn	A2CG49-7;A2CG49;E9QN83;A2CG49-2;F6QYT9;A2CG49-8;A2CG49-9;B1B1A7;Q0KL02-2;E9QL39;D3Z4R2;A2CG49-5;D3Z559;D3Z560;D3Z535;D3Z532;A2CG49-6;E9QN03;D3Z534;A2CG49-4	1442554_s_at	NA	NA	-0.429642743	-0.241474126	0.045118805	0.688450384	-0.011638756	NA	-0.551196067	NA	-0.919454502	-0.374177033	0.145972426	NA	0.265049815	-0.125386605
Protein S100-A9	S100a9	P31725	1448756_at	1.491388804	1.631600402	0.850506492	0.266229182	-0.429642743	-1.48707468	-0.856706881	-0.156008221	0.753044735	1.174947098	0.568024098	-0.075053365	-0.485220713	0.59278867	0.050621951	-0.199122642
Tubulin beta-2A chain;Tubulin beta-2B chain	Tubb2a;Tubb2b	Q7TMM9;Q9CWF2	1427838_at	-0.655901322	-0.59664896	-0.63747114	-0.640713465	-0.700262145	-0.911729925	-0.907736729	-0.82317869	-0.646899949	-0.650396947	-0.645517218	-0.73430859	-0.620961697	-0.736128588	-0.89437155	-0.725173999
	Golgb1	E9PVZ8;E9QAH1;B7ZNF9;Q9CTU9;E9Q028	1435032_at	0.108363064	0.049889971	-0.018776585	0.059043978	0.153061458	0.213186205	0.193783195	0.233413319	0.027439676	-0.021479727	0.083064823	0.052326363	0.201128285	0.09571245	0.151378061	0.150705252
Antithrombin-III	Serpinc1	P32261	1417909_at	-0.04082231	-0.157431827	-0.171078696	-0.140124224	-0.055473336	-0.004465437	-0.012783185	-0.00992041	-0.035905384	-0.173127433	-0.230448976	-0.135928816	-0.211635253	-0.043904394	-0.103262627	0.080606521
Scaffold attachment factor B1	Safb	D3YXK2;E9PZM6	1454415_at	0.074714512	-0.618802465	-0.750263476	-0.236462004	-0.079429315	0.012446284	0.090157786	-0.069014678	-0.100035721	-0.436588294	-0.163627539	-0.271067049	-0.053806444	-0.075601085	0.196326583	0.259012014
Poly [ADP-ribose] polymerase 1	Parp1	Q921K2;P11103;P11103-2	1435368_a_at	-0.18142064	-0.110229592	-0.043344505	-0.175045486	0.000245279	-0.210014738	-0.44763209	-0.168770384	-0.353436218	0.00131345	-0.020911066	-0.092207438	-0.092883966	-0.370052656	-0.358846331	-0.405774578
Insulin-like growth factor-binding protein 7	Igfbp7	E9Q5D9;F8WH23;Q61581;F8WII5	1423585_at	-0.499067738	-0.246712101	-0.311386858	-0.224040274	-0.370499103	-0.630871383	-0.624615633	-0.481505617	-0.641546029	-0.209890007	-0.355467388	-0.463099267	-0.545474211	-0.784922702	-0.579952469	-0.546561136
	Gm20425	E9Q035;F7BAE9;F7CJN9;P47758;E9Q2Q7;E9Q939	1421012_at	0.422945868	-0.195347598	-0.195851509	-0.156914315	-0.311386858	0.175712786	0.138330425	0.321585495	0.279441342	0.021599332	-0.265796925	-0.131852846	-0.460585313	0.294207837	-0.012926174	0.210462703
Apolipoprotein E	Apoe	P08226;G3UWN5;E9Q327;G3UZM8	1432466_a_at	0.165741846	-0.024603367	-0.028427705	-0.059078342	-0.191688976	0.193931711	0.118538978	0.16980959	0.054437241	0.02488345	0.00429118	-0.078063256	-0.024177814	0.170215373	0.172668729	0.097208629
Murinoglobulin-1	Mug1	P28665	1417835_at	0.207511093	0.084471451	0.231752145	0.258925696	0.321224952	0.490314291	0.360638162	0.370526803	0.252724325	0.196524957	0.301319222	0.144345111	0.326913998	0.419873816	0.326606397	0.238510466
Fibroblast growth factor 1	Fgf1	P61148;D3Z6E2;D6RCX9;D3Z6H1;D3Z192	1423136_at	-0.076832696	-0.340619235	-0.462157048	-0.408277085	-0.470927257	-0.56315813	-0.25386828	-0.196732928	-0.409037857	-0.466548817	-0.476848252	-0.63236129	-0.542109438	-0.322505058	-0.082838815	0.102713099
Oxidoreductase HTATIP2	Htatip2	Q99KN6;Q9Z2G9;Q9Z2G9-2	1451814_a_at	0.526514385	0.633412005	0.655398717	0.465519997	0.408358877	0.402073197	0.303543174	0.359971448	0.384244728	0.813778373	0.500013836	0.420800539	0.327040677	0.396631212	0.320540169	0.425539983
UBX domain-containing protein 7	Ubxn7	G5E8R8;Q6P5G6	1435912_at	-0.054779032	-0.19761381	-0.188274311	-0.237318966	-0.130271955	0.080835378	0.109654484	-0.086376168	-0.282617721	-0.260868739	-0.100439479	-0.167871708	-0.138552375	0.055051623	-0.036186803	0.048695699
40S ribosomal protein S6	Rps6;Rps6-ps1	P62754;D3Z6N6	1437246_x_at	0.253635633	-0.09044698	0.010846457	0.007043089	-0.164013889	0.598347691	0.297768015	0.391493519	0.171790891	0.066714419	-0.01678155	0.067696888	0.025720336	0.393463017	0.316168826	0.279984265
N-acetylglucosamine-6-sulfatase	Gns	Q8BFR4	1446861_at	0.064042467	0.149664618	-0.109694865	0.104154531	0.257355608	0.349014918	0.294720952	0.20769435	0.075960941	0.164269915	0.075443998	0.305574411	0.411828669	0.280194483	0.339509432	0.301425893
14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	Ywhab	Q9CQV8;Q9CQV8-2;A2A5N1	1420879_a_at	-0.081748651	-0.078063256	-0.137896932	-0.095586908	-0.087055435	-0.053667449	-0.046141782	-0.022474347	-0.117296086	-0.131457785	-0.110363243	-0.175045486	-0.030971642	-0.081612323	-0.008056555	-0.038436182
Histidine-rich glycoprotein	Hrg	Q9ESB3	1449242_s_at	-0.243303487	-0.159112461	-0.208017755	-0.097880434	0.121000072	0.254650785	0.098273867	-0.256527627	-0.166586914	-0.159370847	-0.079292767	-0.16542962	-0.005902957	0.283193431	-0.02034218	0.155566137
Chaperone activity of bc1 complex-like, mitochondrial	Adck3	Q60936;F7B1B6;Q60936-2;E0CXR1;E0CYC1;E0CXR6;E0CXT4;E0CZ05;E0CYG7;E0CYT4;E0CYD3;F6T0A8;E0CXI5	1417066_at	0.052520854	-0.056444801	0.074805678	0.159121894	0.181329378	-0.254473108	-0.363339312	-0.187261005	-0.057415612	0.129244696	0.090311368	0.308483701	0.068816206	-0.058801354	-0.10191896	-0.028144768
Torsin-1A-interacting protein 2	Tor1aip2	Q8BYU6	1418115_s_at	0.556775289	0.476498262	0.609706517	0.432220936	0.253721635	0.403560944	0.460945439	0.542815489	0.532470092	0.593942312	0.611733301	0.37300959	0.171433406	0.365759898	0.359416088	0.353450218
Alpha-mannosidase 2	Man2a1	P27046;F6QMB7;Q8BRK9;Q8BRK9-2;Q9WU23	1448647_at	0.236469445	0.021467537	0.051802865	-0.099093179	-0.112233058	0.157817635	0.06087876	0.152676508	0.232785916	0.029735321	-0.074231394	-0.065572312	-0.204265945	0.151169777	0.044925309	0.094187019
Apolipoprotein A-V	Apoa5	Q8C7G5	1417610_at	-0.412402175	-0.50650039	-0.301119353	-0.258940968	-0.114367025	-0.179638435	-0.098015234	-0.181547856	-0.238909117	-0.333080194	-0.437334286	-0.415974946	-0.073820233	-0.239398042	0.045773905	-0.341302653
Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain	Ctsl1	P06797;E9Q6H1	1451310_a_at	0.182000258	0.249513546	0.321729738	0.438776524	0.227371086	-0.132379425	-0.329525485	-0.041663532	0.256700472	-0.044324169	0.318002098	0.179465642	0.401006016	0.150625176	-0.476433536	-0.10259095
Inosine-5-monophosphate dehydrogenase 2	Impdh2	P24547	1415852_at	0.073620975	0.008464549	-0.143393419	-0.001153695	0.06586852	-0.023752136	0.088116711	0.10932763	0.095542878	0.047681345	-0.124857467	-0.074368422	-0.066261442	-0.00273852	0.084915129	0.041238972
Thioredoxin domain-containing protein 15	Txndc15	Q6P6J9	1428256_at	0.513955007	0.406426315	0.567254341	0.331808243	-0.113033665	0.251109457	-0.00273852	0.487601164	0.316150864	0.530051526	0.306180773	0.308322913	-0.048096653	-0.311503115	0.073955023	-0.112766845
Serotransferrin	Tf	Q921I1;D3YYR8;CON__Q0IIK2;CON__Q29443	1425546_a_at	0.355608381	-0.250840334	-0.288890061	-0.209016592	-0.397474417	0.139267575	0.113941565	0.296668913	0.191343118	-0.094100916	-0.368600747	-0.190172345	-0.475396222	0.291044709	-0.148869044	0.132372337
Methionine adenosyltransferase 2 subunit beta	Mat2b	Q99LB6;Q99LB6-2;E0CYU5	1448196_at	-0.124195772	-0.143393419	-0.110897723	-0.073820233	0.003119592	0.049904906	-0.016638942	0.034707008	-0.120882733	-0.161823203	-0.133168933	-0.045303168	0.102124541	-0.06253622	-0.088141597	-0.093154488
Alpha-2-HS-glycoprotein	Ahsg	P29699	1455093_a_at	0.120231509	-0.264956718	-0.154583209	-0.074505436	-0.099766486	0.155341181	0.036807044	0.146483335	0.05865326	-0.212880566	-0.28475101	-0.204391163	-0.295958068	0.178110224	-0.04194383	0.066064845
Transmembrane 9 superfamily member 1	Tm9sf1	Q9DBU0;D3Z6X7;D3YWH4;D6RGM8;D3Z279;D3YYW1	1418198_a_at	NA	0.163688026	0.046459101	-0.134746655	0.048636012	0.425772519	NA	0.431753818	0.405470559	0.275821246	0.196243935	NA	0.006608228	0.182622329	NA	0.429031971
Retinol-binding protein 4	Rbp4	Q00724	1426225_at	-0.88846077	-0.683741362	-0.658188628	-0.326767425	-0.235849577	-0.132642643	-0.354790649	-0.36960607	-0.577150837	-0.445091015	-0.676989478	-0.359071312	-0.286999397	-0.424599662	-0.429107082	-0.314870509
Fatty acid desaturase 1	Fads1	Q920L1	1440444_at	0.032713325	-0.247806018	-0.091936738	-0.377290365	-0.497535726	-0.265316867	-0.232906301	-0.229464873	-0.071899932	-0.05338942	-0.175301034	-0.273336847	-0.347665656	-0.374844741	-0.441377239	-0.363451457
17-beta-hydroxysteroid dehydrogenase 13	Hsd17b13	A8Y5N5;A8Y5N6;Q8VCR2-2;Q8VCR2;A8Y5N4	1460606_at	0.96592518	0.717026511	0.898054155	0.679249625	0.419584337	0.343732465	0.759649031	0.744559695	0.80409811	0.805055657	0.932609096	0.896066009	0.567126088	0.541345023	0.595598203	0.573745982
	Ppp2r1a	G3UWL2	1438383_x_at	0.104712892	-0.539630325	-0.572889668	-0.563060483	0.0929863	0.04253109	-0.21424917	-0.030547964	-0.060185765	-0.415650514	-0.324004081	-0.643671513	-0.486147994	0.158654801	-0.001297842	-0.023326332
60S ribosomal protein L18	Rpl18	P35980;G3UZK4;G3UZJ6;G3UX28;G3UYV6	1450372_a_at	0.150176836	0.16891727	-0.025454096	-0.188400925	-0.283210618	0.17362846	0.091140988	0.246309897	0.441849942	0.271948892	0.236571428	0.127762226	-0.123401336	0.168268657	0.249513546	0.340787834
Carboxypeptidase N subunit 2	Cpn2	Q9DBB9	1427459_at	0.09324791	0.000418442	-0.21549223	0.027395564	-0.183073576	0.20727789	0.234618018	0.261379142	0.228942677	-0.059355278	-0.093154488	-0.176705738	-0.267116262	0.358102588	0.175354328	0.018059692
Roquin	Rc3h1	Q4VGL6	1434933_at	NA	0.269407863	0.318973597	NA	NA	0.627293014	NA	NA	0.291574358	NA	NA	0.53914213	NA	0.752752992	NA	0.462236779
Serine/threonine-protein kinase Sgk2	Sgk2	Q9QZS5;E9Q4F0;Q9QZS5-2;Q9ERE3;E9PWP2	1418739_at	0.284950095	0.250422828	0.502607344	0.499952628	0.320666289	0.175207712	0.184145896	0.244804756	0.320251936	0.269147052	0.303471954	0.393936855	0.365815669	0.14058697	0.275070383	0.140268933
Low affinity cationic amino acid transporter 2	Slc7a2	E9QJY0;E9Q6C4;P18581-2;E9QPL9;P18581	1450703_at	0.5621544	-1.449904675	0.406521926	1.124219937	1.671669027	1.401901632	0.957859994	0.411521611	0.428468802	0.440439663	0.790658935	0.683993319	0.761751195	1.847725705	1.292333862	0.283333886
Polymeric immunoglobulin receptor;Secretory component	Pigr	O70570;D3Z2D3;D3YVM4	1455490_at	0.317300866	0.196062126	0.530885056	0.586037709	0.98681648	0.273482636	0.23737054	-0.191436315	0.16971222	-0.0360461	0.513666621	0.837996262	1.144520517	0.269755685	0.346426301	0.469549651
Complement C3;Complement C3 beta chain;Complement C3 alpha chain;C3a anaphylatoxin;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	C3	P01027;P01027-2	1423954_at	0.375702547	0.222515056	-0.076832696	0.028307471	-0.079975377	-0.030689204	0.158735324	0.25934007	0.354409003	0.072437244	-0.061292338	0.011457091	-0.181166174	0.36104575	0.055201512	0.219505113
Apolipoprotein A-II	Apoa2	P09813;Q3UKX6	1417950_a_at	-0.193834811	-0.087870133	-0.109026176	0.126911283	0.017490066	0.006492287	0.191985711	0.206844898	0.052176773	-0.007482576	-0.1212807	0.002714819	0.148768673	0.301852658	0.209878572	0.189811935
Lumican	Lum	P51885	1423607_at	-0.067225673	-0.459116814	-0.590530164	-0.279292991	-0.307078739	-0.252536767	-0.166843964	-0.227864273	-0.413160776	-0.416623592	-0.8131963	-0.361880627	-0.33616911	-0.001009533	-0.208017755	0.138727448
Acid sphingomyelinase-like phosphodiesterase 3a	Smpdl3a	P70158	1416635_at	-0.128293401	-0.085832524	0.098459206	0.079843924	0.295517527	0.175240292	0.103565385	-0.065848003	-0.021195425	0.159379664	0.076462856	0.13466709	0.335899502	0.001558953	0.177914366	-0.11209958
Beta-lactamase-like protein 2	Lactb2	Q99KR3	1425140_at	0.267166425	0.298406587	0.36388353	0.385356109	0.34243316	0.264113946	0.22440157	0.345546128	0.2352632	0.362195027	0.319207575	0.379057065	0.371478344	0.247405533	0.269355697	0.261102489
Vitamin D-binding protein	Gc	P21614	1426547_at	0.209711721	-0.097206246	-0.046560906	-0.006333934	-0.045862298	0.27182696	0.17830611	0.18606493	0.09187883	-0.046421211	-0.10272531	-0.067776372	-0.15367565	0.236503439	0.078213321	0.044850895
