Gene.names,Classes,Protein.IDs,Protein.names,Half.life.protein,nZT00,nZT03,nZT06,nZT09,nZT12,nZT15,nZT18,nZT21,nZT24,nZT27,nZT30,nZT33,nZT36,nZT39,nZT42,nZT45,nb.timepoints.proteins,rel.amp.protein,Phase.protein,Pvalue.protein,FDR.protein,mRNA.ID,ZT00,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46,rel.amp.mRNA,Phase.mRNA,Pvalue.mRNA,FDR.mRNA
Apoa4,4,P06728,Apolipoprotein A-IV,NA,-0.480368537,-0.761880954,-1.012926174,-1.007626092,-1.027154052,-0.803970928,-0.764685853,-0.392757034,-0.69884077,-0.687866939,-0.943058639,-0.944558634,-1.124394312,-0.703277924,-0.829930722,-0.396159489,16,0.190511057,21.87223487,5.49E-05,0.0150282,1417761_at,9.715572185,9.837636648,9.335301555,9.308185548,9.274770997,9.428843238,8.681484728,9.731561737,9.501955929,9.596768091,9.716351313,8.964401225,9.939774281,9.671589212,9.584710518,9.447105805,9.451202023,9.424412688,11.06319379,10.17650832,10.20553617,9.631109548,9.865533813,9.931917262,0.151377606,17.35086549,0.417688357,0.635415476
Clu,4,Q06890;E9Q8Y5;E9PXG5;E9PUU2;E9Q9B8;E9Q2G2,Clusterin;Clusterin beta chain;Clusterin alpha chain,NA,0.426819397,0.331717458,0.202306314,0.216635547,0.242020965,0.565673352,0.571343027,0.561111029,0.322288814,0.198361215,0.306359163,0.257666039,0.296155104,0.608144314,0.475775811,0.50760327,16,0.124387665,18.47316125,5.94E-05,0.0150282,1437689_x_at,14.06420393,13.92151279,13.9819615,13.94320796,13.96409522,13.94138713,13.91507826,13.95187412,14.07662588,14.05311209,14.02784652,13.91380353,13.91882539,13.97784272,14.00597818,13.97996484,14.00950716,13.81793312,13.67841899,13.78272305,13.83517673,13.99418309,14.06778026,13.9340709,0.039825315,23.32850734,0.087551733,0.255875499
Csde1,3,Q91W50;Q80TP8,Cold shock domain-containing protein E1,23.97,0.022097333,-0.089226942,-0.103128316,-0.121015401,-0.176578094,0.005767868,-0.011781859,0.063243353,-0.008486889,-0.06997707,-0.091259766,-0.239642442,-0.111432005,-0.087598618,-0.030124161,0.045297439,16,0.06818241,21.13567826,4.91E-05,0.0150282,1423997_at,10.45164481,10.72876415,10.55222319,10.84769362,10.934092,10.87454165,10.87250878,10.94177624,10.69201888,10.73659136,10.80321778,10.63284403,10.60159916,10.70862243,10.78794087,10.92528268,10.80721008,10.77219776,10.90811574,10.89542925,10.52914197,10.33387281,10.54273708,10.11413909,0.134218656,9.661784698,0.000734915,0.009148603
Gabarapl2,4,P60521,Gamma-aminobutyric acid receptor-associated protein-like 2,4.74,0.67982729,-0.160145725,0.253807642,-0.174278571,-0.108892402,0.506496123,0.82161042,0.564008778,0.834673295,0.269877442,-0.245373963,-0.153805336,-0.218223197,0.373719744,0.40615864,0.811168673,16,0.331096009,20.67442361,8.31E-05,0.019272275,1441376_at,5.692936444,5.235686396,5.41169687,5.608827453,6.066102748,5.624126682,5.79558812,5.939516415,5.154946889,5.192033709,5.142863664,5.482441587,5.362274432,5.480741598,5.836587896,5.673703793,6.020665919,5.304807757,5.753969452,5.627794697,5.562090304,5.967257561,5.522806701,5.791870594,0.105775871,9.23710592,0.156064528,0.363830658
Gm2a,4,Q60648,Ganglioside GM2 activator,NA,NA,-0.089498151,0.034027369,0.231531929,0.227387976,-0.075327251,-0.193077822,-0.184343778,-0.355354621,0.036111623,0.017855185,0.302421874,0.213738215,0.051713141,-0.222309979,-0.063088712,15,0.164162537,9.853449479,0.000128128,0.020372352,1448241_at,11.1372066,10.98470648,11.2620125,11.14722483,10.99229249,11.06950524,11.10222549,11.00777629,10.94744952,11.12078758,11.22157808,11.13504174,11.18823403,11.02938318,11.11136449,11.14838872,10.92498904,10.9100064,11.26898691,11.15349137,11.27957374,11.32881612,11.09210391,11.04915196,0.035055389,19.78312856,0.319003946,0.546966126
Gyg;Gyg1,3,D3Z5N4;Q9R062,Glycogenin-1,NA,-1.370164281,-1.542406646,-1.192636061,-0.601601443,0.084547937,-0.417379976,-0.772983552,-1.314290484,-1.43909117,-1.341131829,-1.00784134,-0.844144581,-0.079292767,-1.070389328,-0.966208952,-1.113300436,16,0.421416079,12.6346929,0.000100256,0.021462496,1448429_at,7.014790615,7.011167933,7.025652041,7.405819399,7.193429351,7.256924156,7.256669683,7.135063228,6.872898221,6.957097798,7.049535374,6.37291992,6.736897989,6.806457129,7.195549643,6.886928957,7.298514086,6.766400778,7.174861062,7.124026895,7.107473537,6.711395181,6.599789358,6.882893318,0.149693334,9.306852633,0.002862221,0.024418484
Hebp1,4,E9QKH1;Q9R257,Heme-binding protein 1,NA,-0.240253262,-0.264356271,-0.002306467,-0.020626651,0.124078426,-0.247562997,-0.368712484,-0.449006639,-0.319039816,-0.298658316,-0.145612247,-0.083792032,0.02852818,0.024619271,-0.253142153,-0.375289709,16,0.142675962,10.20439917,0.000109699,0.021806594,1418172_at,12.22080534,11.92838127,12.07278415,12.22151389,12.12700719,12.03491157,11.94072352,12.22957195,12.02966704,11.84997501,11.76570363,11.8064446,12.01705751,11.75631069,11.42982329,12.03960712,11.9154348,12.2065942,11.62480688,11.89240606,11.83501503,11.70263726,11.87908665,11.75995545,0.066122214,8.534350431,0.31597595,0.543961471
Apof,4,Q91V80,Apolipoprotein F,NA,-0.013640911,-0.02446153,-0.137765808,-0.226138561,-0.793271654,-0.484911487,-0.562181356,-0.200504353,-0.072860402,-0.348232419,-0.093560176,-0.278936315,-0.587172939,-0.63282657,-0.624896322,-0.293135019,16,0.19895596,2.59180379,0.000125307,0.023248625,1418239_at,13.64510537,13.65118848,13.65142609,13.56264246,13.51066932,13.56134853,13.64078006,13.58886975,13.68603003,13.6158931,13.68770821,13.56187786,13.60510291,13.53977634,13.52063533,13.45699464,13.50050381,13.53758136,13.44145285,13.51855421,13.64101714,13.46257247,13.62112076,13.81188759,0.045472946,21.01114595,0.027432658,0.119771569
Atp6v1a,3,P50516;P50516-2;D3Z1B9;D3YWH3;D3YZ23,V-type proton ATPase catalytic subunit A,77.26,-0.10017032,-0.077926579,-0.125651102,-0.132247798,-0.046002047,-0.035764654,0.002078978,-0.057415612,-0.05004888,-0.161952159,-0.131852846,-0.120617361,-0.087055435,-0.037593076,-0.055750964,-0.028569152,16,0.038038364,17.8531551,0.000145289,0.024520686,1450634_at,9.510994537,9.451807268,9.655208862,9.75126036,9.678466793,9.55240056,9.729751302,9.634976044,9.491547778,9.669855187,9.417191075,9.531217652,9.451779676,9.502592015,9.555999531,9.592657051,9.519715482,9.635939677,9.631875619,9.753153635,9.631541253,9.491917187,9.499372723,9.315467874,0.071540237,10.57638153,0.001500932,0.015502084
Alas1,3,Q8VC19;D6RGR8,"5-aminolevulinate synthase, nonspecific, mitochondrial",NA,0.622620782,0.276712311,0.194575458,1.26593425,1.029499702,1.835110768,1.702280328,0.891000577,0.249016257,0.428255243,-0.056860943,1.259081072,0.746010734,1.62945626,1.307215743,0.924946635,16,0.462520235,15.47761877,0.000149785,0.024520686,1424126_at,10.09542123,9.84063391,10.63353487,9.365469961,12.41843012,13.01722235,13.20416854,12.18269838,11.99947008,11.85272594,11.24581463,11.80818301,11.24448379,9.972651954,10.45496163,10.40267687,12.81700694,12.78698893,12.66485263,12.21447915,12.22986988,12.35669189,11.35515461,11.85955276,0.70285503,13.65030316,3.27E-05,0.00100138
Tsc22d3,3,Q9Z2S7-3;Q9Z2S7;B1AVF2;Q9Z2S7-2,TSC22 domain family protein 3,NA,-0.16079114,NA,-0.70017335,-0.779217689,-1.051024003,0.140634682,0.143500269,-0.07956585,NA,-0.678702946,-1.258820397,-0.786345437,-0.550999139,-0.158337027,-0.114233744,-0.108357178,14,0.341611691,19.09921286,0.00029283,0.03045432,1420772_a_at,10.51047953,9.903260168,9.185214579,9.02314707,10.35370088,9.890473286,10.75104474,11.56182879,10.68913652,10.91379159,10.1504445,9.900489854,9.334492972,9.815466881,8.895858267,9.543168887,9.600397817,9.967882345,10.87886277,11.1670603,9.900642925,10.41612495,10.21908843,10.1615116,0.498052,15.51210933,7.18E-05,0.001764011
Tfrc,3,Q62351;Q8C872,Transferrin receptor protein 1,26.24,0.521763316,0.498932882,0.470109106,0.336081605,-0.102187793,0.135443384,0.441967527,0.332752748,0.4493554,0.502178175,0.20414995,0.096221285,-0.016353684,0.166292184,0.283281214,0.501442752,16,0.157017311,0.325015193,0.000199231,0.030803326,1452661_at,9.140210114,9.608608963,8.65600203,8.135119503,8.868916563,8.975527853,9.949164174,10.33940811,10.38723668,9.673978901,10.08035577,8.932329562,9.344305975,9.086045772,7.986632504,8.54434083,8.652192502,9.566069599,10.1307713,10.08380253,10.05034933,9.878105147,8.85800329,9.148755619,0.512429114,15.98240397,1.41E-05,0.000546214
Irf5,3,P56477;E9PWX5;E9Q5T2;F6Z6C6,Interferon regulatory factor 5,NA,NA,0.325991391,NA,0.550929952,NA,0.717927959,0.669648124,0.578240798,NA,0.408531211,NA,0.560621543,0.655035192,NA,NA,NA,8,0.118038435,15.15047017,0.000272725,0.0349088,1460231_at,7.420351661,7.142145854,7.40857266,7.498209991,7.067437582,7.12998857,7.263854954,6.937888815,6.975126278,7.362176746,7.612770904,7.470651772,7.551253575,7.557519425,7.524006641,7.483836222,7.226092834,7.084418115,7.165874766,7.387774289,7.243159136,7.15721341,7.129635397,7.45726513,0.122255821,0.946955493,0.003566101,0.028547164
Mocos,3,Q14CH1,Molybdenum cofactor sulfurase,NA,0.001631167,0.192265905,0.21702118,0.1953186,0.17008551,0.135142323,0.043155286,-0.03885755,-0.01948843,0.196310053,0.222952777,0.25004532,0.157576235,0.214658701,-0.022048165,0.094495057,16,0.079785251,8.628985276,0.000255675,0.037449659,1429352_at,9.902713102,9.869745409,9.904890323,9.794056301,9.418530109,9.181794534,9.467516376,9.278804658,9.56584871,9.466847814,9.846031167,9.966433909,10.00144332,9.888180739,9.889704641,9.84483396,9.366294834,9.418866175,9.410202419,9.415319252,9.78291276,9.784124735,9.779279245,9.929886042,0.208461813,23.92821219,8.82E-08,1.44E-05
Tnpo1,3,Q8BFY9;Q8BFY9-2,Transportin-1,51.95,-0.175684271,-0.041383179,-0.01834931,0.086721847,0.14445673,0.147617561,0.011791595,-0.146133829,-0.06474492,0.028116217,0.024428506,0.064404476,0.261396434,0.265552663,0.059855806,0.045893046,16,0.099458856,12.6366568,0.000307098,0.042732687,1433585_at,9.703238705,9.514670653,9.481164417,10.01944848,9.990705683,10.03221519,9.472282922,9.519909053,9.448992311,9.551255329,9.394180421,9.579624052,9.255071091,9.758280526,9.943057751,9.904303448,10.0646287,9.461080649,9.521737408,9.409266966,9.594831259,9.417211607,9.715003461,9.545384421,0.153345037,6.524292895,0.004716184,0.034823941
Tpp2,3,Q64514-2,Tripeptidyl-peptidase 2,118.27,0.022492927,0.043601306,0.030560291,0.127777989,0.163316387,0.147345905,0.108658589,0.100654196,-0.081339627,-0.023468281,0.021335754,0.14163699,0.150769315,0.105845787,0.101319535,0.110682222,16,0.055105056,13.73073773,0.000332076,0.044007977,1421894_a_at,8.588088229,8.578252525,8.714634409,8.799866512,8.951187611,8.830365887,8.823981612,8.712589786,8.765101987,8.540118658,8.719567763,8.619805723,8.546329316,8.689444186,8.521254457,8.757554218,8.836421099,8.728546212,8.782661227,8.835414584,8.747084962,8.592869279,8.476899122,8.482642939,0.099724462,10.20302162,1.50E-05,0.000571857
Tsc22d2,3,E9Q7M2,,NA,-0.045303168,NA,-0.841409613,NA,-0.506195692,NA,0.363103975,NA,NA,NA,NA,NA,-0.470823163,NA,0.206445329,0.194212283,7,0.414013755,19.34706068,0.000211781,0.04415634,1453012_at,4.632152972,4.445514574,4.574509095,5.313889442,5.769020302,5.881712575,4.66454252,5.162219604,4.825178752,4.754930197,4.028987252,4.598651939,4.128162052,4.572040837,4.715162304,5.029495873,6.180497156,5.316446243,5.199281454,4.882577943,4.9593417,4.853303149,5.525442646,4.844174187,0.3463065,10.06876233,0.002880618,0.024502265
Lpin1,3,Q91ZP3;E9QKQ5;Q91ZP3-2,Phosphatidate phosphatase LPIN1,NA,-1.516872438,NA,-1.325559113,-0.586788758,-0.564426949,1.043408014,1.00069266,-0.6368218,-1.643902355,-1.922806773,-1.012211084,-0.187514398,-0.040261223,0.247611057,-0.731704603,NA,14,0.74995581,14.76082881,0.000642367,0.044537445,1418288_at,8.523550879,8.666363917,8.669096316,9.083119005,10.54625027,11.45344731,11.60400648,11.78916579,9.477435988,9.530111895,8.451757551,8.063956221,8.529087167,9.128668607,9.056262784,8.92834033,10.91182053,11.8129457,11.68207273,10.92941496,10.53953313,9.006840843,9.208345967,8.420539101,1.087847589,11.66479364,1.69E-09,1.00E-06
Lgals3bp,3,Q07797;E9Q5X5,Galectin-3-binding protein,53.51,-0.612399683,-0.434774991,-0.396926676,-0.392207499,-0.294547234,-0.436161839,-0.603786553,-0.593975179,-0.765789317,-0.527670916,-0.455439015,-0.249506021,-0.49067281,-0.322043506,-0.488412176,-0.759581973,16,0.117464358,10.28258041,0.0003918,0.0474078,1448380_at,9.625295559,9.625015934,9.608062716,9.568347919,9.331016413,9.536752458,10.18746457,9.716365208,10.38100562,10.16849883,10.49462566,10.68143969,10.06493539,9.77055521,10.03987339,9.730030187,9.579093642,9.586096873,10.15373281,10.20939108,10.39735593,9.827904999,10.21685609,10.67204854,0.277029701,18.93791425,0.000276976,0.004647288
Dap,4,Q91XC8,Death-associated protein 1,15.42,0.064540252,0.393955812,0.247885135,0.407535787,0.126234039,0.100221117,0.018702617,0.00106799,0.098057668,0.237455578,0.538387626,0.262347846,0.152067215,0.077939195,0.134635413,0.018001258,16,0.12787136,6.682748007,0.000383411,0.0474078,1423790_at,11.92951197,11.65768448,11.49130131,11.41518391,11.27836078,11.36510804,11.64868867,11.55585992,12.03503504,11.72345977,12.02020183,11.90189944,11.67333014,11.57364989,11.57241764,11.54572309,11.62170156,11.70754071,11.68419794,11.82827084,11.73315308,11.49031844,11.60173074,11.48982577,0.104396451,18.91830851,0.021975295,0.103197396
Serpina1d,4,Q00897,Alpha-1-antitrypsin 1-4,NA,0.644059083,-0.003890027,0.082087108,0.27888112,0.176756079,0.877711609,0.606386108,0.701599751,0.439480678,0.163477958,0.059479903,0.101737463,0.022800686,0.602766563,0.51154669,0.57181472,16,0.224649378,18.8587898,0.000419833,0.048683135,1449321_x_at,12.84203574,12.80985872,12.72474904,12.83303731,12.57589497,12.64087504,12.4776548,12.57086058,12.40451352,12.7198459,12.86064774,12.67819532,12.80089816,13.06774032,12.95328797,12.73994348,12.79644891,12.55756661,12.68486796,12.91776655,12.50913255,12.9458362,13.09693418,12.90356943,0.103488325,0.136631038,0.008594535,0.053694715
Cct8,3,P42932,T-complex protein 1 subunit theta,77.45,-0.067501049,0.048098934,-0.054362288,-0.07244885,-0.099227866,-0.120086471,-0.149909668,-0.074231394,-0.003602237,-0.060877473,0.009843833,-0.068464451,-0.138290234,-0.120750053,-0.114766793,-0.034215715,16,0.043646861,3.042171473,0.000465396,0.051807883,1415785_a_at,10.39209377,10.39057793,10.52916041,10.52749467,10.46544497,10.40851472,10.52499326,10.72701949,10.61524854,10.59043301,10.67677475,10.30233695,10.26554867,10.45606269,10.28243494,10.46244826,10.5687381,10.50206769,10.58176803,10.73995949,10.54080611,10.3516556,10.44658284,10.08944465,0.091750953,12.90725294,0.004461595,0.033511891
Mocs2,3,Q9Z223;Q9Z223-1;E9PVP5;Q9Z223-3;E9PUX1,Molybdopterin synthase catalytic subunit,20.7,-0.173511248,-0.213876043,-0.294900072,-0.42739163,-0.42050935,-0.552180304,-0.297484916,-0.345282818,-0.067638717,-0.130535557,-0.105946212,-0.430606431,-0.354677829,NA,-0.419538892,-0.216610069,15,0.117812554,1.704315136,0.000516334,0.054731404,1424310_at,6.269466532,6.553211889,6.289920305,6.359836587,6.294684708,6.133408412,6.105313615,6.149842374,6.634421472,6.70523988,6.917018702,6.205286896,6.407723127,6.246543809,6.028479853,6.158061821,6.357093145,6.039864523,6.396374894,6.257514549,6.744140912,6.584958312,6.518622772,6.706235009,0.165344074,19.45296392,0.001566691,0.015953786
Cxadr,4,P97792;P97792-2;P97792-3,Coxsackievirus and adenovirus receptor homolog,NA,0.249770832,0.341445739,0.141191434,0.027057423,-0.21126145,-0.094100916,-0.012211084,0.096884582,-0.006333934,0.126186802,0.022536889,0.037991511,-0.274410769,-0.341871921,-0.102456577,-0.072860402,16,0.141342867,2.350012176,0.000511388,0.054738185,1452391_at,4.965843611,5.259464751,5.497102633,5.355422382,5.061787024,4.909582543,4.932095589,5.323044901,5.197312919,5.438545888,5.864229102,5.266997795,5.078812809,5.003555337,4.98932195,5.130313602,4.75429478,4.761975609,5.120756995,5.418824044,5.635244546,5.392660313,5.151280123,5.284706069,0.14617197,19.19714733,0.019616692,0.095513087
Serpina6,3,Q06770;D3Z548,Corticosteroid-binding globulin,NA,-0.839395295,-1.195977459,-1.082225699,-1.052694111,-0.515813357,-0.614003045,-0.570948605,-0.658371456,-0.577150837,-0.758814832,-0.991027447,-0.926454935,-0.652234073,-0.222433641,-0.530570204,-0.406101238,16,0.206554532,17.38311488,0.000537656,0.055418394,1448506_at,10.97539719,10.44359821,10.6700092,11.31098305,11.84627413,11.63585269,12.20733763,11.80299746,11.69932079,11.40232715,11.77268667,11.69141061,10.86945987,11.03348532,11.38329648,11.75225659,12.16383354,12.04917069,12.32676728,11.74953712,11.65638586,11.72171243,11.30159404,11.20656117,0.344400138,12.615779,2.93E-05,0.000922981
Serpina1b,4,P22599,Alpha-1-antitrypsin 1-2,NA,0.018907244,-0.567545448,-0.364236231,-0.222804561,-0.170950553,0.322793972,0.076204272,0.188200188,0.059600181,-0.270947487,-0.359746047,-0.354226457,-0.481195593,0.205995945,0.026513623,0.100020088,16,0.209094999,18.59177924,0.000650527,0.062528924,1449321_x_at,12.84203574,12.80985872,12.72474904,12.83303731,12.57589497,12.64087504,12.4776548,12.57086058,12.40451352,12.7198459,12.86064774,12.67819532,12.80089816,13.06774032,12.95328797,12.73994348,12.79644891,12.55756661,12.68486796,12.91776655,12.50913255,12.9458362,13.09693418,12.90356943,0.103488325,0.136631038,0.008594535,0.053694715
Clint1,4,Q5SUH6;Q5SUH7;Q99KN9;Q99KN9-2,Clathrin interactor 1,32.94,-0.162210036,-0.103128316,-0.131457785,-0.081475982,-0.118891252,-0.13842131,-0.227371423,-0.236217064,-0.172103428,-0.174022842,-0.131194352,-0.029134804,-0.062812492,-0.167229454,-0.149259365,-0.184724621,16,0.04334705,8.990939086,0.000651577,0.062528924,1452152_at,10.36146969,10.44437573,10.37875601,10.24693235,10.03311695,9.971872646,10.05716373,10.33495845,10.12487475,10.02302111,10.68361442,10.18614423,10.34679296,10.39983777,10.10261451,10.18368389,9.997883493,9.983111907,9.999913341,10.0687325,9.945215644,9.85629605,10.00573381,10.08745965,0.111627999,0.812776916,0.016818257,0.085747252
Alb,4,P07724,Serum albumin,NA,-0.186373777,-0.701149793,-0.633105666,-0.520045024,-0.351515261,-0.14574266,-0.304861451,-0.155619721,-0.253747285,-0.500394166,-0.659833246,-0.568907674,-0.638676283,0.005087245,-0.323773564,-0.009490503,16,0.181902905,18.82410487,0.000730169,0.064310492,1425260_at,14.92603337,14.91144834,14.89308423,14.93336622,14.9480425,14.91567676,14.91958623,14.93274157,14.89207923,14.89093156,14.97165201,14.95947636,14.93215442,14.95103992,14.95406299,14.95058662,14.93274157,14.93188646,14.98846104,14.97970508,14.90582079,14.91676075,14.91823738,14.90515816,0.00525956,8.159129033,0.637790769,0.794964665
