Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner	protein.coding.genome.size
KAF1624271	324	22.15	22.64	6040217
KAF1624272	152	22.48	23.49	6040217
KAF1624273	1048	23.28	24.85	6040217
KAF1624274	305	25.88	28.23	6040217
KAF1624275	145	21.64	23.24	6040217
KAF1624276	886	24.95	27.03	6040217
KAF1624277	368	23.76	25.6	6040217
KAF1624278	518	23.13	25.48	6040217
KAF1624279	184	22.35	23.14	6040217
KAF1624280	79	22.34	24.69	6040217
KAF1624281	291	23.95	27.21	6040217
KAF1624282	100	23.18	25.55	6040217
KAF1624283	54	20.69	21.44	6040217
KAF1624284	284	21.07	22.69	6040217
KAF1624285	4864	22.43	24.46	6040217
KAF1624286	87	23.09	24.49	6040217
KAF1624287	702	21.71	23.44	6040217
KAF1624288	1690	22.69	23.9	6040217
KAF1624289	1292	21.52	22.97	6040217
KAF1624290	754	22.47	24.35	6040217
KAF1624291	444	22.41	24.08	6040217
KAF1624292	1047	22.14	23.88	6040217
KAF1624293	644	24.1	26.71	6040217
KAF1624294	668	23.57	25.95	6040217
KAF1624295	531	21.31	22.94	6040217
KAF1624296	320	23.11	24.72	6040217
KAF1624297	83	23.77	26.28	6040217
KAF1624298	410	22.97	24.4	6040217
KAF1624299	1153	23.76	25.76	6040217
KAF1624300	94	26.37	29.62	6040217
KAF1624301	329	23.65	26.07	6040217
KAF1624302	348	24.26	26.91	6040217
KAF1624303	162	24.7	27.46	6040217
KAF1624304	367	25.42	28.27	6040217
KAF1624305	155	24.97	27.21	6040217
KAF1624306	302	23.4	25.83	6040217
KAF1624307	460	24.29	26.79	6040217
KAF1624308	357	22.76	25.18	6040217
KAF1624309	731	23.78	25.6	6040217
KAF1624310	366	25.04	27.14	6040217
KAF1624311	652	25.02	27.31	6040217
KAF1624312	281	23.07	25.31	6040217
KAF1624313	444	24.35	26.88	6040217
KAF1624314	999	21.79	22.21	6040217
KAF1624315	471	20.92	22.68	6040217
KAF1624316	210	22.2	24.91	6040217
KAF1624317	280	21.4	22.61	6040217
KAF1624318	275	24.24	26.64	6040217
KAF1624319	854	23.1	24.71	6040217
KAF1624320	1136	23.51	25.68	6040217
KAF1624321	223	23.7	25.91	6040217
KAF1624322	210	22.91	25.22	6040217
KAF1624323	207	24.48	27.69	6040217
KAF1624324	980	23.2	25.53	6040217
KAF1624325	336	29.58	32.79	6040217
KAF1624326	67	21.63	22.84	6040217
KAF1624327	96	19.86	20.52	6040217
KAF1624328	261	23.2	25.59	6040217
KAF1624329	446	23.31	25.42	6040217
KAF1624330	299	24.88	27.5	6040217
KAF1624331	290	24.61	27.1	6040217
KAF1624332	102	23.29	26.14	6040217
KAF1624333	1044	23.2	25.3	6040217
KAF1624334	226	24.71	27.5	6040217
KAF1624335	253	24.38	27.18	6040217
KAF1624336	361	27.06	29.73	6040217
KAF1624337	271	23.27	25.18	6040217
KAF1624338	812	23.16	24.85	6040217
KAF1624339	131	23.3	24.75	6040217
KAF1624340	99	18.9	19.14	6040217
KAF1624341	1602	21.99	23.21	6040217
KAF1624342	1296	22.23	24.19	6040217
KAF1624343	109	22.64	25.75	6040217
KAF1624344	277	22.19	23.27	6040217
KAF1624345	138	24.13	26.38	6040217
KAF1624346	1006	24.36	26.91	6040217
KAF1624347	817	22.49	24.32	6040217
KAF1624348	377	23.82	26.26	6040217
KAF1624349	339	21.59	22.43	6040217
KAF1624350	962	23.19	25.75	6040217
KAF1624351	468	23.98	25.91	6040217
KAF1624352	664	24.07	26.88	6040217
KAF1624353	312	23.25	25.62	6040217
KAF1624354	270	23.57	25.13	6040217
KAF1624355	1751	22.05	23.22	6040217
KAF1624356	83	24.97	28.34	6040217
KAF1624357	211	22	24.15	6040217
KAF1624358	1659	23.27	25.5	6040217
KAF1624359	89	23.33	25.16	6040217
KAF1624360	326	26.05	28.56	6040217
KAF1624361	209	21.22	22.22	6040217
KAF1624362	840	23.61	25.83	6040217
KAF1624363	344	24.33	26.95	6040217
KAF1624364	164	23.16	25.54	6040217
KAF1624365	640	23.76	26.28	6040217
KAF1624366	666	22.39	24.37	6040217
KAF1624367	219	24.08	26.58	6040217
KAF1624368	510	21.42	22.95	6040217
KAF1624369	84	25.06	27.95	6040217
KAF1624370	42	22	23.23	6040217
KAF1624371	161	22.84	25	6040217
KAF1624372	156	24.46	27.09	6040217
KAF1624373	311	28.15	31.28	6040217
KAF1624374	92	22.34	22.87	6040217
KAF1624375	478	25.87	29.04	6040217
KAF1624376	2542	20.75	22.89	6040217
KAF1624377	300	23.86	26.87	6040217
KAF1624378	503	23.82	26.28	6040217
KAF1624379	624	22.91	24.28	6040217
KAF1624380	223	20.51	22.72	6040217
KAF1624381	112	22.14	23.82	6040217
KAF1624382	756	24.89	26.99	6040217
KAF1624383	769	24.5	26.41	6040217
KAF1624384	296	24.28	26.53	6040217
KAF1624385	482	25.47	28.38	6040217
KAF1624386	619	24.36	26.99	6040217
KAF1624387	129	24.82	26.53	6040217
KAF1624388	937	23.89	26.09	6040217
KAF1624389	755	21.61	22.92	6040217
KAF1624390	103	23.1	24.75	6040217
KAF1624391	804	22.84	24.4	6040217
KAF1624392	1151	24.02	26.08	6040217
KAF1624393	541	24.06	26.15	6040217
KAF1624394	422	23.83	25.5	6040217
KAF1624395	607	22.2	24.34	6040217
KAF1624396	1053	23.71	26.18	6040217
KAF1624397	318	23.43	25.5	6040217
KAF1624398	434	25.92	28.89	6040217
KAF1624399	1755	21.79	23.37	6040217
KAF1624400	439	22.36	22.96	6040217
KAF1624401	209	22.81	25.12	6040217
KAF1624402	232	24.74	28.11	6040217
KAF1624403	1103	24.24	26.46	6040217
KAF1624404	214	24.03	26.46	6040217
KAF1624405	571	21.03	22.52	6040217
KAF1624406	119	25.09	27.26	6040217
KAF1624407	2018	23.71	26.22	6040217
KAF1624408	1034	22.96	24.86	6040217
KAF1624409	321	20.49	21.58	6040217
KAF1624410	108	21.31	22.03	6040217
KAF1624411	470	24.26	26.7	6040217
KAF1624412	495	23.32	25.74	6040217
KAF1624413	367	22.58	24.04	6040217
KAF1624414	262	22.12	23.46	6040217
KAF1624415	1203	23.17	25.15	6040217
KAF1624416	204	23.96	26.63	6040217
KAF1624417	427	23.7	25.98	6040217
KAF1624418	1098	23.43	25.06	6040217
KAF1624419	117	23.66	25.51	6040217
KAF1624420	589	23.81	26.12	6040217
KAF1624421	2446	23.88	26.28	6040217
KAF1624422	346	24.14	26.01	6040217
KAF1624423	662	24.17	26.38	6040217
KAF1624424	437	21.54	23.12	6040217
KAF1624425	605	24.39	26.8	6040217
KAF1624426	642	22.63	24.71	6040217
KAF1624427	469	25.11	27.26	6040217
KAF1624486	588	23.34	25.53	6040217
KAF1624487	161	25.16	27	6040217
KAF1624488	97	24.02	25.57	6040217
KAF1624489	481	22.81	25.39	6040217
KAF1624490	111	26.53	29.38	6040217
KAF1624491	935	23.2	24.94	6040217
KAF1624492	816	23.2	24.83	6040217
KAF1624493	260	23.9	26.36	6040217
KAF1624494	322	24.61	26.89	6040217
KAF1624495	435	24.2	26.5	6040217
KAF1624496	387	23.45	25.42	6040217
KAF1624497	525	23.15	25.63	6040217
KAF1624498	252	26.41	30.29	6040217
KAF1624499	418	24.12	26.66	6040217
KAF1624500	314	22.27	24.06	6040217
KAF1624501	1278	21.19	22.54	6040217
KAF1624502	770	20	21.46	6040217
KAF1624503	263	22.19	24	6040217
KAF1624504	450	24.92	27.97	6040217
KAF1624505	465	23.75	26.22	6040217
KAF1624506	1534	21.14	22.47	6040217
KAF1624507	700	23.99	26.32	6040217
KAF1624508	1363	21.77	23.43	6040217
KAF1624509	89	24.04	25.89	6040217
KAF1624510	356	22.65	23.87	6040217
KAF1624511	172	24.14	26.51	6040217
KAF1624512	156	24.34	26.26	6040217
KAF1624513	156	24.19	25.74	6040217
KAF1624514	54	24.91	25.13	6040217
KAF1624515	432	23.37	24.53	6040217
KAF1624516	98	23.5	24.14	6040217
KAF1624517	413	23.04	23.11	6040217
KAF1624518	135	25.1	26.75	6040217
KAF1624519	122	26.55	28.94	6040217
KAF1624520	156	24.33	25.89	6040217
KAF1624521	605	22.72	24.04	6040217
KAF1624522	453	23.28	23.41	6040217
KAF1624523	155	23.35	24.73	6040217
KAF1624524	501	24.52	27.04	6040217
KAF1624525	72	25.19	25.96	6040217
KAF1624526	287	23.77	26.49	6040217
KAF1624527	156	23.26	24.96	6040217
KAF1624528	187	24.85	25.32	6040217
KAF1624529	83	23.96	24.31	6040217
KAF1624530	85	23.79	24.09	6040217
KAF1624531	97	21.58	22.75	6040217
KAF1624532	506	23.4	24.7	6040217
KAF1624533	98	22.42	23.69	6040217
KAF1624534	87	25.76	26.87	6040217
KAF1624535	125	24.66	27.45	6040217
KAF1624536	169	24.1	26.36	6040217
KAF1624537	497	23.17	24.34	6040217
KAF1624538	78	25.41	27.4	6040217
KAF1624539	519	24.28	27.27	6040217
KAF1624540	810	24.76	27.64	6040217
KAF1624541	116	22.61	24.89	6040217
KAF1624542	242	23.84	25.82	6040217
KAF1624543	220	23.72	26.26	6040217
KAF1624544	316	24.12	27.05	6040217
KAF1624545	183	23.22	25.3	6040217
KAF1624546	178	22.64	24.57	6040217
KAF1624547	505	23.28	25.46	6040217
KAF1624548	267	25.63	27.58	6040217
KAF1624549	166	25.49	27.93	6040217
KAF1624550	97	23.75	25.48	6040217
KAF1624551	486	22.21	23.68	6040217
KAF1624552	186	24.5	25.91	6040217
KAF1624553	258	22.15	23.43	6040217
KAF1624554	88	22.79	25.51	6040217
KAF1624555	89	22.81	24.94	6040217
KAF1624556	420	23.61	25.74	6040217
KAF1624557	267	20.62	21.66	6040217
KAF1624558	359	21.99	23.91	6040217
KAF1624559	147	23.23	25.63	6040217
KAF1624560	448	21.24	22.98	6040217
KAF1624561	63	25.72	28.54	6040217
KAF1624562	227	24.62	26.72	6040217
KAF1624563	321	23.68	25.5	6040217
KAF1624564	311	24.38	26.84	6040217
KAF1624565	517	21.92	23.92	6040217
KAF1624566	276	23.79	25.57	6040217
KAF1624567	535	24.47	26.44	6040217
KAF1624568	167	24.22	26.36	6040217
KAF1624569	679	23.25	25.33	6040217
KAF1624570	71	25.68	29.77	6040217
KAF1624571	198	25.39	28.62	6040217
KAF1624572	156	24.38	26.54	6040217
KAF1624573	457	23.82	25.85	6040217
KAF1624574	190	24.59	27.17	6040217
KAF1624575	354	25.02	27.48	6040217
KAF1624576	1525	21.92	24.05	6040217
KAF1624577	53	25.44	26.92	6040217
KAF1624578	6220	22.91	25.48	6040217
KAF1624579	633	22.74	24.34	6040217
KAF1624580	552	23.62	25.82	6040217
KAF1624581	187	23.61	25.72	6040217
KAF1624582	216	22.4	23.83	6040217
KAF1624583	2639	20.86	22.59	6040217
KAF1624584	186	22.96	25.53	6040217
KAF1624585	126	21.55	22.65	6040217
KAF1624586	483	21.58	23.27	6040217
KAF1624587	891	23.22	24.98	6040217
KAF1624588	234	20.68	21.35	6040217
KAF1624589	70	21.99	23.24	6040217
KAF1624590	64	23.24	26.16	6040217
KAF1624591	259	23.45	25.56	6040217
KAF1624592	246	23.71	25.89	6040217
KAF1624593	739	21.54	23.16	6040217
KAF1624594	229	24.51	26.76	6040217
KAF1624595	218	23.2	24.72	6040217
KAF1624603	963	22.74	24.53	6040217
KAF1624604	519	25.38	27.94	6040217
KAF1624605	312	23	25.19	6040217
KAF1624606	579	23.68	25.39	6040217
KAF1624607	95	23.2	25.24	6040217
KAF1624608	166	22.22	23.46	6040217
KAF1624609	1734	21.03	22.69	6040217
KAF1624610	246	23.21	25.31	6040217
KAF1624611	398	24	25.52	6040217
KAF1624612	374	24.07	27.03	6040217
KAF1624613	466	23.15	26.16	6040217
KAF1624614	333	23.83	26.39	6040217
KAF1624615	1125	22.96	24.83	6040217
KAF1624616	391	19.49	20.8	6040217
KAF1624617	111	25.28	26.8	6040217
KAF1624618	263	22.89	24.5	6040217
KAF1624619	626	22.43	24.52	6040217
KAF1624620	708	24.72	26.92	6040217
KAF1624621	1093	23.68	25.77	6040217
KAF1624622	442	23.3	25.6	6040217
KAF1624623	561	22.8	24.37	6040217
KAF1624624	284	24.05	26.36	6040217
KAF1624625	436	22	23.21	6040217
KAF1624626	790	21.59	22.81	6040217
KAF1624627	417	23.55	24.61	6040217
KAF1624628	397	23.99	26.56	6040217
KAF1624629	119	24.25	25.91	6040217
KAF1624630	317	22.91	25.44	6040217
KAF1624631	846	22.85	24.79	6040217
KAF1624632	662	23.42	25.54	6040217
KAF1624633	83	22.08	22.73	6040217
KAF1624634	164	24.72	27.74	6040217
KAF1624635	177	22.64	24.46	6040217
KAF1624636	916	23.25	25.27	6040217
KAF1624637	388	24.56	26.68	6040217
KAF1624638	2825	23.28	25.58	6040217
KAF1624639	343	22.39	23.55	6040217
KAF1624640	327	21.88	23.83	6040217
KAF1624641	126	23.69	24.47	6040217
KAF1624642	254	26.17	29.91	6040217
KAF1624643	637	21.9	23.68	6040217
KAF1624644	494	23.93	26.42	6040217
KAF1624645	289	20.49	22.72	6040217
KAF1624646	793	22.98	24.84	6040217
KAF1624647	102	23.59	25.12	6040217
KAF1624648	1276	22.73	24.13	6040217
KAF1624649	133	23.43	25.17	6040217
KAF1624650	353	24.27	26.66	6040217
KAF1624651	581	25.01	27.77	6040217
KAF1624652	1014	24.31	26.53	6040217
KAF1624653	238	24.94	27.92	6040217
KAF1624654	548	23.38	25.6	6040217
KAF1624655	131	24.25	26.55	6040217
KAF1624656	773	24.69	27.02	6040217
KAF1624657	474	23.97	26.81	6040217
KAF1624658	481	22.89	25.18	6040217
KAF1624659	517	22.8	24.99	6040217
KAF1624660	1001	26.01	28.38	6040217
KAF1624661	1694	23.79	26.27	6040217
KAF1624662	143	23.6	25.91	6040217
KAF1624663	629	24.9	28.46	6040217
KAF1624664	166	24.99	27.67	6040217
KAF1624665	1861	23.65	25.81	6040217
KAF1624666	108	23.25	25.07	6040217
KAF1624667	140	25.04	27.55	6040217
KAF1624668	393	21.93	23.39	6040217
KAF1624669	130	24.38	26.31	6040217
KAF1624670	238	25.47	29.18	6040217
KAF1624671	75	23.33	25.15	6040217
KAF1624672	491	23.97	25.89	6040217
KAF1624673	427	24.3	27.88	6040217
KAF1624674	618	24.58	26.81	6040217
KAF1624675	281	25.27	27.48	6040217
KAF1624676	138	22.11	24.38	6040217
KAF1624677	1197	22.48	23.72	6040217
KAF1624678	89	26.1	30.38	6040217
KAF1624679	314	23.45	25.53	6040217
KAF1624680	272	22.77	24.1	6040217
KAF1624681	426	23.81	25.67	6040217
KAF1624682	1608	24.36	27.22	6040217
KAF1624683	376	23.11	24.98	6040217
KAF1624684	148	24.36	27.13	6040217
KAF1624685	952	23.2	25.8	6040217
KAF1624686	346	20.79	22.56	6040217
KAF1624687	617	26.63	30.23	6040217
KAF1624688	327	21.54	22.71	6040217
KAF1624689	444	24.2	26.46	6040217
KAF1624690	246	22.81	24.53	6040217
KAF1624691	870	26.39	28.96	6040217
KAF1624692	942	23.14	25.09	6040217
KAF1624693	97	23.04	24.76	6040217
KAF1624694	182	22.75	24.21	6040217
KAF1624695	2429	21.05	22.93	6040217
KAF1624696	242	22.14	24.49	6040217
KAF1624697	831	24.25	26.47	6040217
KAF1624698	231	24.78	27.36	6040217
KAF1624699	303	23.94	26.74	6040217
KAF1624700	294	25.03	27.17	6040217
KAF1624701	483	22.88	24.56	6040217
KAF1624702	110	22.75	23.84	6040217
KAF1624703	230	27	30.76	6040217
KAF1624704	816	24.28	27.32	6040217
KAF1624705	1092	22.62	24.22	6040217
KAF1624706	223	24.22	26.34	6040217
KAF1624707	148	25.03	26.78	6040217
KAF1624708	397	24.87	27.52	6040217
KAF1624709	799	23.97	26.32	6040217
KAF1624710	946	21.62	23.23	6040217
KAF1624711	1085	25.31	27.93	6040217
KAF1624712	147	24.95	26.69	6040217
KAF1624713	804	22.2	23.78	6040217
KAF1624714	149	22.9	23.81	6040217
KAF1624715	128	23.49	25.36	6040217
KAF1624716	260	23.49	25.65	6040217
KAF1624717	342	24.1	26.78	6040217
KAF1624718	1344	23.18	25.28	6040217
KAF1624719	171	23.95	25.45	6040217
KAF1624720	334	20.81	21.31	6040217
KAF1624721	173	20.51	20.95	6040217
KAF1624722	101	23.63	27.09	6040217
KAF1624723	180	22.97	25.23	6040217
KAF1624724	232	23.22	23.92	6040217
KAF1624727	472	24.07	26.49	6040217
KAF1624728	314	23.12	25.31	6040217
KAF1624729	509	23.54	25.47	6040217
KAF1624730	559	24.23	26.26	6040217
KAF1624731	475	22.37	22.92	6040217
KAF1624732	120	22.8	24.89	6040217
KAF1624733	1276	24.82	27.64	6040217
KAF1624734	160	21.12	22.5	6040217
KAF1624735	839	23.8	25.37	6040217
KAF1624736	321	25.96	28.59	6040217
KAF1624737	196	23.85	26.01	6040217
KAF1624738	180	25.09	28.05	6040217
KAF1624739	156	22.45	23.28	6040217
KAF1624740	678	21.93	23.95	6040217
KAF1624741	966	24.21	26.8	6040217
KAF1624742	436	22.79	24.28	6040217
KAF1624743	107	22.16	24.61	6040217
KAF1624744	439	23.49	26.4	6040217
KAF1624745	494	24.44	26.88	6040217
KAF1624746	921	22.43	24.9	6040217
KAF1624747	634	22.23	24.66	6040217
KAF1624748	435	25.12	27.5	6040217
KAF1624749	130	24.51	27.12	6040217
KAF1624750	370	24.31	26.43	6040217
KAF1624751	136	24.83	27.4	6040217
KAF1624752	98	24.16	26.81	6040217
KAF1624753	527	23.38	25.94	6040217
KAF1624754	711	23.44	25.02	6040217
KAF1624755	543	22.44	24.44	6040217
KAF1624756	575	24.32	26.37	6040217
KAF1624757	527	22.75	23.7	6040217
KAF1624758	245	21.7	23.39	6040217
KAF1624759	716	23.46	25.85	6040217
KAF1624760	211	22.34	24.09	6040217
KAF1624761	1093	21.27	22.67	6040217
KAF1624762	133	22.32	23.75	6040217
KAF1624763	195	22.27	24.63	6040217
KAF1624764	433	19.95	19.79	6040217
KAF1624765	1224	24.22	26.58	6040217
KAF1624766	268	23.96	25.14	6040217
KAF1624767	161	23.36	25.79	6040217
KAF1624772	675	22.19	24.71	6040217
KAF1624773	251	22.4	24.68	6040217
KAF1624774	209	20.53	21.33	6040217
KAF1624775	282	23.44	25.36	6040217
KAF1624776	106	24.7	27.75	6040217
KAF1624777	140	21.76	23.99	6040217
KAF1624778	141	21.29	22.7	6040217
KAF1624779	91	21.76	23.96	6040217
KAF1624780	190	22.01	24.15	6040217
KAF1624781	766	23.27	24.94	6040217
KAF1624782	200	25.41	27.97	6040217
KAF1624783	510	22.28	24.11	6040217
KAF1624784	501	23.03	25.43	6040217
KAF1624785	328	24.3	26.38	6040217
KAF1624786	2604	22.72	24.4	6040217
KAF1624787	202	25.1	27.06	6040217
KAF1624788	104	24.82	27.91	6040217
KAF1624789	496	23.74	26	6040217
KAF1624790	677	22.92	25.48	6040217
KAF1624791	1072	24.35	26.82	6040217
KAF1624792	660	23.43	25.84	6040217
KAF1624793	819	23.41	25.5	6040217
KAF1624794	628	26.36	29.92	6040217
KAF1624795	370	25.48	28.28	6040217
KAF1624796	931	22.1	23.44	6040217
KAF1624797	302	24.45	26.92	6040217
KAF1624798	122	26.17	28.73	6040217
KAF1624799	123	26.49	31.05	6040217
KAF1624800	416	20.85	22.13	6040217
KAF1624801	97	25.11	27.64	6040217
KAF1624802	2393	22.84	25.24	6040217
KAF1624803	640	22.56	24.53	6040217
KAF1624804	289	22.51	24.75	6040217
KAF1624805	111	20.7	22.85	6040217
KAF1624806	532	23.87	25.99	6040217
KAF1624807	244	24.81	27.3	6040217
KAF1624808	229	23.44	25.99	6040217
KAF1624809	796	23.75	25.96	6040217
KAF1624810	417	25.21	28.34	6040217
KAF1624811	259	22.32	23.89	6040217
KAF1624812	307	22.85	25.23	6040217
KAF1624813	229	25.26	27.34	6040217
KAF1624814	478	22.92	25.75	6040217
KAF1624815	716	25.95	29.23	6040217
KAF1624816	474	23.88	26.28	6040217
KAF1624817	201	21.3	22.57	6040217
KAF1624818	166	23.04	25.05	6040217
KAF1624819	540	23.41	25.61	6040217
KAF1624820	211	23.72	26.37	6040217
KAF1624821	573	21.28	22.13	6040217
KAF1624822	929	22.17	23.92	6040217
KAF1624823	738	22.51	23.95	6040217
KAF1624824	106	20.8	20.21	6040217
KAF1624825	488	23.88	25.54	6040217
KAF1624826	133	27.66	31.71	6040217
KAF1624827	685	24.62	26.88	6040217
KAF1624828	388	23.01	25.81	6040217
KAF1624829	196	23.08	25.53	6040217
KAF1624830	325	22.19	22.81	6040217
KAF1624831	63	19.54	20.8	6040217
KAF1624832	958	23.07	25.48	6040217
KAF1624833	1046	24.4	27.31	6040217
KAF1624834	1060	24.16	26.34	6040217
KAF1624835	137	24.72	28.97	6040217
KAF1624836	159	24.28	26.95	6040217
KAF1624837	274	26.73	29.11	6040217
KAF1624838	662	23.01	25.4	6040217
KAF1624839	925	22.22	23.97	6040217
KAF1624840	150	20.68	22.23	6040217
KAF1624841	273	23.95	25.65	6040217
KAF1624842	424	24.85	27.08	6040217
KAF1624843	343	25.16	27.68	6040217
KAF1624844	273	22.3	24.54	6040217
KAF1624845	88	20.72	23.02	6040217
KAF1624846	66	26.01	27.78	6040217
KAF1624847	342	23.5	26.14	6040217
KAF1624848	415	25.22	27.58	6040217
KAF1624849	293	24.94	27.13	6040217
KAF1624850	289	23.01	24.78	6040217
KAF1624851	379	24.53	26.9	6040217
KAF1624852	113	25.84	27.78	6040217
KAF1624853	140	23.61	26.39	6040217
KAF1624854	224	23.44	24.88	6040217
KAF1624855	500	25.09	28.6	6040217
KAF1624856	237	22.73	25.34	6040217
KAF1624857	776	23.08	25.39	6040217
KAF1624858	326	21.87	23.13	6040217
KAF1624859	522	23.52	25.95	6040217
KAF1624860	252	24.45	26.47	6040217
KAF1624861	794	22.64	24.94	6040217
KAF1624862	146	24.87	26.95	6040217
KAF1624863	583	22.38	24.27	6040217
KAF1624864	457	22.85	24.82	6040217
KAF1624865	95	23.38	25.74	6040217
KAF1624866	49	23.53	25.35	6040217
