Protein.ID	protein_ZT0	protein_ZT4	protein_ZT8	protein_ZT12	protein_ZT16	protein_ZT20	protein_ZT24	protein_ZT28	protein_ZT32	protein_ZT36	protein_ZT40	protein_ZT44	protein_ZT48	protein_ZT52	protein_ZT56	protein_ZT60	protein_ZT64	protein_ZT68	protein_ZT72	protein_ZT76	protein_ZT80	protein_ZT84	protein_ZT88	protein_ZT92	protein_ZT96	protein_ZT100	protein_ZT104	protein_ZT108	protein_ZT112	protein_ZT116	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost	Mass	Uniprot.ID	RNA_LD03	RNA_LD03	RNA_LD03	RNA_LD06	RNA_LD06	RNA_LD06	RNA_LD09	RNA_LD09	RNA_LD09	RNA_LD12	RNA_LD12	RNA_LD12	RNA_LD15	RNA_LD15	RNA_LD15	RNA_LD18	RNA_LD18	RNA_LD18	RNA_LD21	RNA_LD21	RNA_LD21	RNA_LD24	RNA_LD24	RNA_LD24	RNA_mean.level	RNA_max.level	RNA_rhythm.pvalue_original	RNA_rhythm.pvalue_Brown
Ot01g03450	5847073.766	6053679.383	7660543.214	7455307.407	8133715.383	6800569.065	6453018.307	7928960.474	7606173.974	8934900.87	7002690.017	7856121.26	5274918.331	4888050.065	7053833.815	6332391.889	6034265.505	5708226.206	5064706.045	6567336.605	6662553.069	7259261.924	7383030.948	7674748.797	5978022.36	6033387.615	7065140.668	5891712.784	6125222.542	5389218.436	6670626.02413333	8934900.87	0.0398303214622956	252	20.1	28.203	NA	6.277249856	6.282904488	6.186097216	7.617346544	7.7015012	7.781092727	7.769319629	8.116668474	7.841553028	7.804918829	8.202942457	8.390129415	6.763524104	6.743546976	6.900493855	5.577770836	5.869545519	6.029904297	4.738710419	4.995327708	4.406622625	5.412452378	5.509551082	5.315281722	6.59310230766667	8.390129415	8.2007397765618e-07	8.2007397765618e-07
Ot01g04920	7220234.075	7181822.317	7997488.691	7454243.468	7469924.156	7539832.104	7108443.907	7881214.492	7148477.919	7787850.167	6794729.129	8523983.851	6617671.257	7425274.01	6576799.931	7823259.898	6941314.695	6352148.49	6488831.608	7657138.591	6471971.391	6961285.709	7661534.856	7856152.209	6855439.96	8388930.848	6536859.534	6091035.07	6275265.051	6983112.724	7202409.0036	8523983.851	0.869622676272544	680	18.54	72.946	NA	6.775342067	6.576566898	6.616424151	6.876819272	6.740306158	6.855123794	7.387152237	7.42306351	7.706721417	7.574126225	7.56823154	8.062470799	7.891561746	7.725406269	7.831091362	7.99602622	8.358365923	8.573289668	7.950680223	7.989053791	8.219704581	7.279684372	7.029911371	7.152575538	7.5066541305	8.573289668	7.56833305182342e-07	7.56833305182342e-07
Ot01g05020	39891391.48	35442849.37	42333983.55	39761913.78	37408557.05	41491706.44	38559344.44	39870158.33	38091083.81	42027428.96	36713582.74	46202674.69	33235823.43	38935459.87	39470809.38	42857811.6	36966244.6	37983752.37	34752649.9	35977601.07	36177549.18	38722451.83	45194473.27	42640368.95	39291251.75	38049592.4	40191008.31	34642587.42	34922001.24	35025935.37	38761068.2193333	46202674.69	0.669105665280855	725	19.56	79.055	NA	8.129235194	8.641428862	8.733167259	7.16979065	8.164030015	8.265208906	6.643861476	7.159739312	7.376379324	3.593872805	5.013559148	4.949611998	3.258128774	2.604111851	3.051250059	3.192673441	3.216665884	3.254252404	6.578110068	6.673364372	6.421987109	8.142767332	8.221466889	8.253059601	6.11282178054167	8.733167259	8.41674839673858e-07	8.41674839673858e-07
Ot01g05260	1724083.579	1741745.008	1931315.954	1579563.655	1574030.661	1588066.968	1477349.344	1629090.546	1520840.072	1465881.304	1414421.866	1665047.466	1259608.433	1517980.645	1587624.042	1474664.16	1128426.991	1233562.569	1264868.567	1712249.712	1288868.205	1459280.982	1661437.161	1482634.242	1503250.678	1851280.995	1448446.924	1171742.294	1152508.255	1314440.143	1494143.71403333	1931315.954	0.127390610917731	642	18.59	68.51	NA	7.826840917	7.55885182	7.341926069	7.994039309	7.607672402	7.699341942	8.458643544	8.784447759	8.353545807	8.064844417	8.103265098	7.485653167	7.862610167	7.764075489	8.301308837	7.750994164	7.481349568	7.981474962	7.561957992	7.521054962	7.20173823	7.733822896	7.800104176	7.39514889	7.81811302433333	8.784447759	0.00226444777912744	0.00226444777912744
Ot01g05350	3198.630389	28354.51226	5661.660606	8347.932072	39805.84631	1446.834808	89140.79477	13039.94433	6734.753631	6364.562038	68406.02904	102056.1123	35606.33462	5056.037801	9816.020157	NA	3631.167413	12049.11919	18240.68632	1607.780056	6909.662455	7990.807024	2653.972219	11704.91268	4776.138513	11481.24333	2710.44283	3393.790137	8306.91235	9510.515943	18207.0053652414	102056.1123	0.270978155660117	356	20.15	39.1	NA	8.12292875	8.089569665	8.022968209	8.120274755	8.433406984	8.335858217	7.38075694	7.432475845	7.385840271	7.385084839	7.463023565	7.414348436	7.276623885	7.341681637	7.352144822	7.293207544	7.506202246	7.569467401	7.467095657	7.8044811	7.830840841	7.669470373	7.771351695	7.594394887	7.66931244016667	8.433406984	1.24908174717223e-05	1.82925314223931e-05
Ot01g05560	114581.4353	120751.4189	98195.41164	66879.00902	123995.3774	83629.68351	127779.5877	134419.4151	93582.33583	132232.9768	83087.34354	99926.07093	137463.6696	29325.42727	87522.85463	26518.63828	111546.0194	113107.8393	116038.8618	117394.4132	87204.20811	137541.7158	117470.5105	125781.7816	126878.2078	114717.7003	82529.21874	141021.3615	104229.7906	118645.8771	105799.938706667	141021.3615	0.260514573529451	358	19.91	39.765	NA	5.575513156	4.776738928	4.520231054	5.128120321	4.979002534	4.841265235	5.583246332	5.184314742	4.607297308	7.651128543	7.710411845	7.785862287	8.244015032	8.512274628	8.431602723	8.253431851	8.623870438	8.492805881	8.23595649	8.270802764	8.468692485	7.306828396	6.219292959	6.199084999	6.81674128879167	8.623870438	8.4672956683254e-07	8.4672956683254e-07
Ot02g00100	2014511.8	1806502.862	2217801.051	3108876.042	2818546.835	2451634.081	1887632.179	2423386.807	1635285.169	2433932.932	2474408.685	2842985.382	3185422.649	2218725.669	1985900.628	2801244.816	2612010.839	2157405.934	2169205.088	1864738.228	2038058.069	2537116.441	3132373.691	2516810.159	2419638.439	2811671.365	2185390.245	2416580.554	2692953.92	2253258.737	2403800.30986667	3185422.649	0.00563298040824412	143	18.57	14.945	NA	7.379758798	7.014944755	7.122151827	7.637960102	7.204412265	7.100203679	7.64755022	7.372791332	7.743496282	8.159328217	7.623966967	7.4161933	8.358427488	8.40753239	8.450036626	8.432037124	8.21595794	8.307562987	7.325108364	7.062259177	6.953471922	7.268353856	6.879540604	6.837767779	7.58003391670833	8.450036626	5.85574119442328e-05	5.85574119442328e-05
Ot02g00380	382068.3382	341421.9651	326709.5588	249883.8431	286704.1814	300082.9425	416859.8601	353923.1275	296384.3678	329724.0399	293097.5931	319609.4586	320705.0398	487381.478	319906.5117	297780.1113	314558.406	360843.1392	294060.0288	440237.5277	271180.7695	398911.7579	230932.6427	415534.5243	347371.4973	370288.1116	235066.0685	331653.124	334764.6456	354088.3356	334057.76652	487381.478	0.0510850141831999	246	20.13	27.671	NA	7.456829973	7.878269504	7.970681504	7.723133187	8.349652625	7.683422827	8.14476654	8.141223805	8.330185934	7.636675339	7.764133629	7.782818515	6.327058256	6.52972375	6.566307052	6.029330791	6.347323578	6.623033149	6.940666701	6.908914241	6.796497735	7.033367815	7.360189137	NA	7.31844372117391	8.349652625	0.00327873312020745	0.00327873312020745
Ot02g01020	12467232.68	9891786.851	11974337.48	12367256.33	12772085.54	12701036.37	12316061.27	11840559.65	10441326.29	13859818.75	11352167	14273383.79	10842429.83	12025329.24	11122674.93	11491088.65	11341456.04	11188371.24	11643062.59	10212652.11	9906852.451	12005304.36	14573203.85	12922038.43	13075045.11	9691872.649	11436403.08	10071474.2	9882709.317	9622959.267	11643732.6448333	14573203.85	0.182343815825211	656	18.88	72.448	NA	8.240079507	8.680213581	8.579507718	7.889893507	8.423249905	8.338095648	6.317761572	6.631000577	6.740013224	6.048768433	6.407105636	6.151241009	5.296794386	5.456153414	5.364617962	6.221818666	6.380858586	6.307431495	7.222674425	7.436909382	7.394637139	7.873197436	8.380151026	8.38587537	7.09033540016667	8.680213581	6.92879745973676e-07	1.00383124376878e-06
Ot02g01100	166539.5476	200946.2548	162932.8458	174896.8139	215603.9186	186627.7356	214561.8752	203437.1985	200866.0261	234058.9903	181497.8713	155276.0291	151268.8825	278047.5195	164828.934	180542.5723	175110.9001	175086.601	150843.0914	200882.1816	183612.9489	198619.6377	234844.9132	285609.9485	223293.1392	129963.5828	194545.6218	192853.9723	189700.9106	195134.0229	193401.14957	285609.9485	0.794330296833658	473	20.58	50.394	NA	6.999457801	6.662660155	6.57605927	7.321471502	7.099621125	7.161481212	7.522368708	6.961712538	6.897271877	8.186828364	8.05936986	8.036991672	8.396933211	8.006153744	8.105479759	8.246086467	7.86016429	7.955154779	7.174528903	6.224975057	6.471814436	6.340991608	5.753656392	5.788265161	7.242062412125	8.396933211	0.00254823254565622	1.23504521919427e-06
Ot02g01330	55085.70457	43993.73622	75139.28664	100335.9288	96120.57931	107060.2438	14491.32419	134462.2143	91088.97193	115150.0594	39878.77721	70774.34611	62563.66981	91895.27925	41836.0502	50753.32735	43640.1135	113437.5928	20909.34424	64094.33826	48387.64964	79896.7648	68076.03164	53230.65325	63405.4523	84438.26343	78359.18495	53316.18572	73883.96068	29126.78426	68827.7272853333	134462.2143	0.576330303280569	177	18.69	18.927	NA	7.073753913	6.47682322	6.647455042	6.425546982	5.805070393	5.664464555	7.271231517	6.65211397	7.320676503	7.064602845	7.050011515	7.183749402	7.070939285	6.751506346	6.895283448	7.238414562	7.189508652	7.233955041	7.899489227	8.081047585	8.050008141	7.635115892	7.373639762	7.577126225	7.06798058429167	8.081047585	0.000183580558893557	0.000183580558893557
Ot02g01490	265936.7293	253299.4771	250263.8173	261507.2271	309117.0962	285088.5268	305045.6284	311059.5157	227746.5644	277574.2776	232292.9559	266105.5989	271515.6629	297424.0042	208582.8782	311450.2192	263981.2979	273055.6258	236470.3699	265269.8225	231753.3256	296442.658	291008.7065	311929.0384	282730.9922	172791.3976	224658.3114	193009.8351	257213.4828	163859.6602	259939.490103333	311929.0384	0.290838726071878	214	19.32	23.713	NA	7.708588623	7.904170098	7.956582037	8.200194044	8.365867708	8.253843329	7.805772876	7.837764307	7.911536306	7.736029577	7.23798942	7.064419923	6.8474208	6.899195743	7.126551477	6.874105766	6.77414488	6.941986247	7.000341632	6.866546884	6.613627446	7.153798723	7.346945592	7.164714363	7.399672408375	8.365867708	8.87557763535137e-07	8.87557763535137e-07
Ot02g01690	606493.7716	513706.6201	565937.34	470868.1391	467165.781	581401.1621	470239.3659	401611.5208	530677.712	446863.6862	503027.7768	565374.2281	447116.776	415815.9487	509286.4313	453085.5017	529595.5911	527030.4425	385482.6861	391800.2548	459774.4278	425516.3397	588237.2919	417175.0165	587031.4412	507123.4355	548277.384	388265.6748	341752.0047	483158.8401	484296.419736667	606493.7716	0.741862659118393	414	19.81	46.273	NA	7.85756235	8.044294037	8.086049156	8.257169462	8.405374373	8.305443442	7.273896068	7.386352617	7.394714906	7.861156781	7.756537345	7.994142517	7.497083246	7.499732799	7.656858492	7.291541969	7.193522789	7.541793697	6.787488617	6.440912752	6.278359429	7.171605262	7.26851616	7.422553343	7.52802756704167	8.405374373	1.08403452903817e-06	1.08403452903817e-06
Ot02g02380	3078463.723	3330425.947	4227601.033	2665526.651	3041886.167	2786508.369	2818436.652	3603561.151	3055629.974	3199088.704	2879584.266	3099528.372	3030392.021	3115831.52	3475482.679	3230692.512	3278899.074	2846578.605	3124170.185	3116980.439	3183242.057	3462967.102	3818123.034	2974059.225	2880682.101	3606392.055	3778889.588	3107177.814	2562452.061	3043077.802	3180744.36276667	4227601.033	0.006455709461754	401	19.01	44.398	NA	7.965651678	8.031500779	8.18034606	8.015672622	7.9251377515	7.918342438	8.334651332	8.152977231	NA	7.051304778	6.915636277	6.919018486	4.750032253	3.962593212	4.053128663	4.706041716	4.101412058	4.220253213	6.239542251	5.91969952	6.017918387	7.185665101	7.417270505	7.486662772	6.58567213406522	8.334651332	0.00200389575195056	0.00200389575195056
Ot02g02420	39335.15096	36744.00986	28341.38386	46625.43593	43149.67303	40714.10371	48017.26629	52069.1778	37770.24938	50692.41644	44538.40292	45075.47273	41695.22862	42878.84815	45878.39796	39297.83852	49247.63028	37677.2368	40623.9271	35955.88211	46386.55957	42391.77777	50873.14583	45992.9817	50724.8119	70862.64673	42874.08171	43990.45414	48030.31363	55848.06998	44810.085847	70862.64673	0.250551392050104	864	19.74	96.849	NA	7.585474758	7.624923703	7.617812446	7.95796033	7.955229666	7.930194266	7.414355855	6.953556896	7.022814127	8.134208011	7.694577481	7.569656645	7.922883648	7.773834614	7.963241616	7.51947715	7.344196882	7.727397799	7.077573399	7.082283593	7.093338227	7.141771776	7.293673078	7.288848768	7.52872019725	8.134208011	6.38485980922528e-07	6.38485980922528e-07
Ot02g02570	351373.6607	285897.629	399299.3963	277058.0757	365291.3472	333662.7254	419910.4986	370547.9126	324318.5882	383547.5454	311763.1492	376924.5805	400288.8197	243389.6119	337901.4326	220763.7185	329023.0344	284213.773	338628.6474	387288.7733	287104.1583	388805.3509	227012.645	430416.4916	339068.6961	356849.7105	330716.8731	336887.5343	283550.7262	311131.093	334421.20662	430416.4916	0.324436013421737	858	19.21	96.637	NA	8.003744918	8.126905698	8.189766222	8.209030235	8.335117339	8.386024384	6.720145769	5.838218777	5.931518374	7.852536574	7.655983408	7.957010653	7.037819673	7.34533231	7.403535363	6.485990566	6.808456411	6.908098967	6.902419609	7.046545053	6.848638858	7.412317046	7.791945602	7.991656968	7.38286494904167	8.386024384	0.000472695721027815	0.000472695721027815
Ot02g02650	194882.2263	119257.1234	145317.0994	162354.9514	160479.1583	200298.8467	152650.5515	159073.5208	196525.1042	214656.6249	170950.3937	170547.644	196269.868	108517.6349	187194.8403	84571.03449	162554.4595	187091.6656	198252.16	195754.0293	188809.0631	175136.5255	176340.1771	247787.701	222322.9891	142399.7696	152061.8458	169715.9475	182966.7094	161400.8551	172871.350663	247787.701	0.412929936531854	918	19.36	99.592	NA	7.377305129	7.166285062	7.306185943	7.066583664	7.291204935	7.346852204	7.49858318	7.55811872	7.440368976	6.997915378	6.864639192	6.738441324	6.859449733	6.894328851	6.869562389	6.914849905	6.741304024	6.890937661	7.205136273	7.069205864	7.183631383	7.30789332	7.234072393	7.341289775	7.13183938658333	7.55811872	0.00123064585430975	6.87255447271373e-06
Ot02g02700	863580.8542	946855.0425	860794.4149	785881.2824	786645.6698	950325.3116	996805.5204	1005866.788	969242.5405	904215.5224	739765.9746	860945.888	903130.5322	1342192.502	994981.4318	895087.487	842662.6288	793562.3166	722748.3131	1201438.307	913065.6464	985205.2232	785752.5836	894972.1614	857654.3049	907748.8784	748291.7876	816179.7828	826657.7552	895282.0699	899917.950706667	1342192.502	0.0275909896520364	193	20.45	22.425	NA	6.836234911	6.697192293	6.752356831	7.626739736	7.927367763	7.746169229	7.597396307	7.440148601	7.618815966	8.29060365	8.186932369	8.046551186	7.443762325	7.541766673	7.600556066	5.010148902	5.061997043	5.507660792	3.96663358	3.636005936	3.062035055	5.568310249	5.545497516	5.484514061	6.50814154333333	8.29060365	6.30177336577408e-07	6.30177336577408e-07
Ot02g02800	837590.7876	934703.633	1145079.228	1033840.871	893546.1166	971086.0406	874466.5623	1154550.45	1159097.445	938998.8121	730523.9493	937579.5468	613496.6108	915203.5664	1144587.984	1127965.908	668433.6113	926082.3923	567864.835	921671.439	897663.0376	996243.3097	826189.9978	1112687.001	758626.5765	790913.3673	1019059.32	654095.5915	627373.2269	817263.0083	899882.807523333	1159097.445	0.0664464028460887	114	20.32	13.103	NA	7.391453533	7.153633855	7.337958941	7.114234002	6.94169092	7.120069569	7.419818376	6.69560272	6.774728609	7.741200329	7.369885293	7.372241503	7.502368178	7.36931862	7.429474928	7.28362874	7.240064682	7.300334133	7.401534903	7.268478714	7.126326643	7.561045567	7.695306296	7.63375768	7.30183986391667	7.741200329	0.208815642597926	0.208815642597926
Ot02g02870	175295.43	155921.1477	192351.7472	166005.4833	186348.6349	163596.5646	138289.4742	151933.0209	147528.766	150291.4023	189924.5553	172815.2015	122873.7239	159870.6675	140567.7663	192493.2884	137109.286	143920.8856	104316.9947	162603.8506	147955.3038	127947.8956	154675.0557	158113.7278	145450.19	182882.825	141241.9682	106141.2409	127520.6923	175207.1281	154039.797276667	192493.2884	0.922337429519649	350	19.36	37.888	NA	7.473230477	7.889003174	7.849650565	7.799064231	8.223447023	7.905230687	7.908279782	8.231347007	8.186574786	7.632755794	7.914952284	7.880672943	5.113358344	4.788910154	5.085153842	4.230287071	4.152258027	4.491338135	4.703665322	5.052788271	4.736630843	6.615982763	7.336915594	7.322769625	6.605177781	8.231347007	8.33893726420585e-07	8.33893726420585e-07
Ot02g03330	19877390.08	16418420.62	21479993.8	20018823.78	19194784.72	20080050.39	17345091.47	17734542.03	17706119.81	21384881.87	17933768.37	21600654.48	14043841.87	18262356.97	20117024.83	22161154.18	20139724.8	16775891.28	13455402.07	15393477.22	16847488.14	17994035.54	24249343.12	18887372.85	17098608.94	16757916.4	20124911.42	16201500.81	16830094.65	20864235.17	18565963.3893333	24249343.12	0.0349060802098176	236	20.51	25.897	NA	7.902216128	8.156332288	8.413176655	8.102955885	8.17190566	8.118350164	8.154136062	8.092911462	8.465888963	7.588813132	8.126481183	8.621700043	7.508611743	8.023036465	7.9270785245	7.4512459	7.956532192	7.821552979	7.580449263	7.962011016	7.690191839	7.815011698	7.9231425	7.736330308	7.97125258552083	8.621700043	0.0184168003318774	0.0184168003318774
Ot02g03360	201264.1444	176228.9962	249907.2182	244516.6449	227719.4803	239072.2792	186986.9139	182580.9864	187846.1111	208757.7299	206467.8657	282628.1734	250464.5136	179051.4816	243220.5202	216742.4024	206599.2801	202815.7367	287539.8517	168176.3252	198147.4422	235351.1257	278372.9149	224310.2081	343087.0419	166184.5269	239337.0703	195569.5123	224542.2857	247095.0091	223352.793073333	343087.0419	0.109050916226463	601	20.17	66.176	NA	7.545592258	7.628898805	7.713856207	5.502685372	5.675748948	5.888733126	4.337459028	5.112460528	5.480512393	4.325004843	4.67672314	4.777202648	5.457105758	5.736996767	5.834051863	7.982552213	8.530739864	8.499419893	8.917111493	8.689281887	8.853385092	8.233115817	8.514994677	8.336129213	6.76040674304167	8.917111493	7.61898009818788e-07	5.78708991959126e-11
